family_id	monomer_length	diagnostic_kmer_count	median_kmer_depth	haploid_depth	estimated_copy_number	estimated_bp	depth_mad	copy_number_interval_low	copy_number_interval_high	confidence	warning
f001	61	61	367.0000	20.0010	18.3491	1119.2941	6.0000	17.8991	18.6991	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f002	61	61	199.0000	20.0010	9.9495	606.9197	31.0000	7.3996	12.2494	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f003	61	61	455.0000	20.0010	22.7489	1387.6807	10.0000	21.9489	23.4988	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f004	61	61	278.0000	20.0010	13.8993	847.8576	25.0000	12.5994	15.7992	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f005	61	61	374.0000	20.0010	18.6991	1140.6430	3.0000	17.6491	18.9491	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f006	61	61	205.0000	20.0010	10.2495	625.2188	17.0000	9.3495	12.7494	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f007	61	61	1915.0000	20.0010	95.7452	5840.4582	9.0000	94.6953	96.2452	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f008	61	61	1359.0000	20.0010	67.9466	4144.7429	41.0000	65.2467	73.3963	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f009	61	61	859.0000	20.0010	42.9479	2619.8191	7.0000	41.7979	43.2978	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f010	61	61	883.0000	20.0010	44.1478	2693.0154	35.0000	40.8980	47.8476	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f011	61	61	1428.0000	20.0010	71.3964	4355.1824	5.0000	70.4465	71.8464	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f012	61	61	934.0000	20.0010	46.6977	2848.5577	75.0000	42.1479	51.1974	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f013	61	61	3116.0000	20.0010	155.7922	9503.3251	8.0000	154.8923	156.3922	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f014	61	61	2544.0000	20.0010	127.1936	7758.8123	62.0000	123.6438	136.9932	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f015	61	61	4202.0000	20.0010	210.0895	12815.4596	6.0000	208.6396	210.4895	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f016	61	61	2793.0000	20.0010	139.6430	8518.2243	66.0000	134.4433	144.4428	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f017	61	61	5185.0000	20.0010	259.2370	15813.4598	7.0000	258.4871	260.4370	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f018	61	61	1724.0000	20.0010	86.1957	5257.9373	47.0000	82.4459	90.4455	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f019	171	171	419.0000	20.0010	20.9490	3582.2710	3.0000	20.1990	21.1989	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f020	171	171	297.0000	20.0010	14.8493	2539.2231	29.0000	10.2995	17.1491	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f021	171	171	508.0000	20.0010	25.3987	4343.1830	4.0000	24.4988	25.6987	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f022	171	171	199.0000	20.0010	9.9495	1701.3650	15.0000	7.9996	11.2994	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f023	171	171	405.0000	20.0010	20.2490	3462.5770	5.0000	19.7490	20.6490	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f024	171	171	214.0000	20.0010	10.6995	1829.6086	25.0000	8.5496	13.0493	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f025	171	171	965.0000	20.0010	48.2476	8250.3377	4.0000	47.7976	48.5976	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f026	171	171	1039.0000	20.0010	51.9474	8883.0061	47.0000	48.7476	57.3971	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f027	171	171	1746.0000	20.0010	87.2956	14927.5541	9.0000	86.3457	87.7956	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f028	171	171	1080.0000	20.0010	53.9973	9233.5386	42.0000	48.5976	57.7971	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f029	171	171	1765.0000	20.0010	88.2456	15089.9960	7.0000	87.3956	88.8456	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f030	171	171	1073.0000	20.0010	53.6473	9173.6916	35.0000	49.9975	56.8972	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f031	171	171	4274.0000	20.0010	213.6893	36540.8741	14.0000	212.0394	214.6893	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f032	171	167	2514.0000	20.0010	125.6937	21493.6260	104.0000	117.5741	133.7833	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f033	171	171	4349.0000	20.0010	217.4391	37182.0920	11.0000	216.3892	218.3891	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f034	171	171	2149.0000	20.0010	107.4446	18373.0319	51.0000	103.1448	112.4444	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f035	171	171	3782.0000	20.0010	189.0906	32334.4842	10.0000	187.7406	189.8905	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f036	171	171	2445.0000	20.0010	122.2439	20903.7054	83.0000	112.9944	128.4936	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f037	421	421	437.0000	20.0010	21.8489	9198.3904	5.0000	21.3989	22.2489	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f038	421	421	238.0000	20.0010	11.8994	5009.6497	26.0000	9.8495	14.3993	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f039	421	421	391.0000	20.0010	19.5490	8230.1387	3.0000	19.1990	19.7990	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f040	421	421	201.0000	20.0010	10.0495	4230.8386	26.0000	7.2996	11.8494	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f041	421	421	407.0000	20.0010	20.3490	8566.9219	5.0000	19.8990	20.7490	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f042	421	421	236.0000	20.0010	11.7994	4967.5518	27.0000	9.4995	15.0992	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f043	421	421	1937.0000	20.0010	96.8452	40771.8126	7.0000	96.2452	97.6951	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f044	421	421	1097.0000	20.0010	54.8473	23090.6962	48.0000	50.2475	59.8970	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f045	421	421	1443.0000	20.0010	72.1464	30373.6322	9.0000	71.2964	72.9464	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f046	421	421	953.0000	20.0010	47.6476	20059.6476	55.0000	42.9479	52.2474	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f047	421	418	1703.0000	20.0010	85.1457	35846.3588	9.0000	84.0458	86.1607	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f048	421	421	870.0000	20.0010	43.4978	18312.5849	53.0000	39.1980	48.3976	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f049	421	421	4210.0000	20.0010	210.4895	88616.0719	13.0000	209.1895	211.4894	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f050	421	421	2849.0000	20.0010	142.4429	59968.4534	100.0000	128.8936	150.4425	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f051	421	421	3779.0000	20.0010	188.9406	79543.9752	10.0000	187.9406	190.1905	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f052	421	421	2255.0000	20.0010	112.7444	47465.3782	67.0000	106.2447	118.9441	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f053	421	421	3663.0000	20.0010	183.1408	77102.2972	12.0000	182.0909	184.4408	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f054	421	421	2331.0000	20.0010	116.5442	49065.0982	94.0000	109.6445	125.3437	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
megabase_171	171	171	89689.0000	20.0010	4484.2259	766802.6329	391.0000	4454.0274	4528.5237	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
