seed	condition_id	family_id	estimated_copy_number	log_sampling_variance	sampling_interval_low	sampling_interval_high	minimum_effective_reads	positive_reads_by_k	fit_status	interval_status	warning	coverage	error_model	unit_substitution_rate	array_scope	period	truth_copies	truth_covered	relative_interval_width	signed_relative_error
6301	condition_001	f015	53.821370570169485	NA	NA	NA	1.0	2,1,1,1	experimental_log_linear_extrapolation	insufficient_effective_reads	experimental_joint_read_delta_method;k_values_are_correlated_not_replicates;requires_independent_reads;model_bias_not_calibrated;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed	1	error_free	0.0	factorial	61	200.0	NA	NA	-0.7308931471491527
6301	condition_001	f016	113.01815281515437	NA	NA	NA	1.0	2,1,1,1	experimental_log_linear_extrapolation	insufficient_effective_reads	experimental_joint_read_delta_method;k_values_are_correlated_not_replicates;requires_independent_reads;model_bias_not_calibrated;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed	1	error_free	0.02	factorial	61	200.0	NA	NA	-0.43490923592422814
6301	condition_001	f017	NA	NA	NA	NA	0.0	0,0,0,0	zero_support_at_one_or_more_k_not_absence	no_finite_extrapolation	experimental_joint_read_delta_method;k_values_are_correlated_not_replicates;requires_independent_reads;model_bias_not_calibrated;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed	1	error_free	0.0	factorial	61	200.0	NA	NA	NA
6301	condition_001	f018	241.21956377876225	NA	NA	NA	1.8088339649496907	4,2,2,2	experimental_log_linear_extrapolation	insufficient_effective_reads	experimental_joint_read_delta_method;k_values_are_correlated_not_replicates;requires_independent_reads;model_bias_not_calibrated;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed	1	error_free	0.02	factorial	61	200.0	NA	NA	0.20609781889381126
6301	condition_001	f019	NA	NA	NA	NA	0.0	1,0,0,0	zero_support_at_one_or_more_k_not_absence	no_finite_extrapolation	experimental_joint_read_delta_method;k_values_are_correlated_not_replicates;requires_independent_reads;model_bias_not_calibrated;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed	1	error_free	0.0	factorial	171	20.0	NA	NA	NA
6301	condition_001	f020	38.39169704317403	NA	NA	NA	2.0	6,2,2,2	experimental_log_linear_extrapolation	insufficient_effective_reads	experimental_joint_read_delta_method;k_values_are_correlated_not_replicates;requires_independent_reads;model_bias_not_calibrated;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed	1	error_free	0.02	factorial	171	20.0	NA	NA	0.9195848521587013
6301	condition_001	f021	38.97374760595376	NA	NA	NA	1.9986134033281622	3,2,2,2	experimental_log_linear_extrapolation	insufficient_effective_reads	experimental_joint_read_delta_method;k_values_are_correlated_not_replicates;requires_independent_reads;model_bias_not_calibrated;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed	1	error_free	0.0	factorial	171	20.0	NA	NA	0.9486873802976881
6301	condition_001	f022	54.570531801570745	NA	NA	NA	2.915296452188677	10,3,3,3	experimental_log_linear_extrapolation	insufficient_effective_reads	experimental_joint_read_delta_method;k_values_are_correlated_not_replicates;requires_independent_reads;model_bias_not_calibrated;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed	1	error_free	0.02	factorial	171	20.0	NA	NA	1.7285265900785372
6301	condition_001	f023	39.98102361981646	NA	NA	NA	2.0	2,2,2,2	experimental_log_linear_extrapolation	insufficient_effective_reads	experimental_joint_read_delta_method;k_values_are_correlated_not_replicates;requires_independent_reads;model_bias_not_calibrated;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed	1	error_free	0.0	factorial	171	20.0	NA	NA	0.9990511809908231
6301	condition_001	f024	19.72332989450474	NA	NA	NA	1.0	4,1,1,1	experimental_log_linear_extrapolation	insufficient_effective_reads	experimental_joint_read_delta_method;k_values_are_correlated_not_replicates;requires_independent_reads;model_bias_not_calibrated;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed	1	error_free	0.02	factorial	171	20.0	NA	NA	-0.013833505274762991
6301	condition_001	f025	93.26062940614257	NA	NA	NA	1.798906978419667	3,3,3,3	experimental_log_linear_extrapolation	insufficient_effective_reads	experimental_joint_read_delta_method;k_values_are_correlated_not_replicates;requires_independent_reads;model_bias_not_calibrated;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed	1	error_free	0.0	factorial	171	80.0	NA	NA	0.16575786757678213
6301	condition_001	f026	50.14052353561312	NA	NA	NA	1.0	2,1,1,1	experimental_log_linear_extrapolation	insufficient_effective_reads	experimental_joint_read_delta_method;k_values_are_correlated_not_replicates;requires_independent_reads;model_bias_not_calibrated;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed	1	error_free	0.02	factorial	171	80.0	NA	NA	-0.373243455804836
6301	condition_001	f027	NA	NA	NA	NA	0.0	3,0,0,0	zero_support_at_one_or_more_k_not_absence	no_finite_extrapolation	experimental_joint_read_delta_method;k_values_are_correlated_not_replicates;requires_independent_reads;model_bias_not_calibrated;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed	1	error_free	0.0	factorial	171	80.0	NA	NA	NA
6301	condition_001	f028	35.3758502326841	NA	NA	NA	1.0	27,1,1,1	experimental_log_linear_extrapolation	insufficient_effective_reads	experimental_joint_read_delta_method;k_values_are_correlated_not_replicates;requires_independent_reads;model_bias_not_calibrated;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed	1	error_free	0.02	factorial	171	80.0	NA	NA	-0.5578018720914487
6301	condition_001	f029	68.23476875598053	NA	NA	NA	1.0	1,1,1,1	experimental_log_linear_extrapolation	insufficient_effective_reads	experimental_joint_read_delta_method;k_values_are_correlated_not_replicates;requires_independent_reads;model_bias_not_calibrated;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed	1	error_free	0.0	factorial	171	80.0	NA	NA	-0.14706539055024342
