species	family_id	k	diagnostic_kmer_count	observed_at_least_twice	observed_fraction	median_depth	depth_mad	mad_over_median	depth_below_2_count	depth_below_100_count	depth_below_1000_count	depth_below_10000_count	depth_50000_to_99999_count	orthogonal_estimated_bp
macadamia	TXF000695	21	467	381	0.8158458244111349	77091	18812	0.2440227789225728	86	148	178	208	259	1104858.9368630063
macadamia	TXF000695	31	467	299	0.6402569593147752	101	101	1.0	168	231	246	265	202	1648.6481763050735
