coverage	substitution_rate	family_observations	mean_signed_relative_error	median_absolute_relative_error	mean_absolute_relative_error	interval_empirical_coverage	mean_interval_relative_width	mean_oracle_relative_error	mean_estimator_minus_oracle
1	0	9	0.00020097222222222294	0.19957750000000005	0.4189926388888889	0	0.023781388888888894	0.0046503764185800945	-0.0044494041963578645
1	0.001	9	-0.01915597222222222	0.17468999999999993	0.41169680555555555	0.1111111111111111	0.04839236111111112	0.0046503764185800945	-0.023806348640802312
1	0.01	9	-0.1947511111111111	0.20359999999999995	0.4034652777777778	0.2222222222222222	0.09070111111111116	0.0046503764185800945	-0.1994014875296912
5	0	9	-0.044964583333333356	0.08754149999999995	0.1602475277777778	0	0.024178750000000027	-0.039120155687013866	-0.005844427646319485
5	0.001	9	-0.06636422222222223	0.10555099999999996	0.15863566666666665	0.1111111111111111	0.0332394444444444	-0.039120155687013866	-0.02724406653520836
5	0.01	9	-0.2247773888888889	0.2296125	0.25379294444444445	0	0.0601968888888889	-0.039120155687013866	-0.18565723320187502
20	0	9	0.013008999999999986	0.03889250000000004	0.06411549999999999	0.1111111111111111	0.02363694444444445	0.017963303978840377	-0.004954303978840393
20	0.001	9	-0.009627972222222208	0.05827749999999998	0.07418908333333334	0	0.02540150000000002	0.017963303978840377	-0.027591276201062588
20	0.01	9	-0.18132497222222224	0.19284450000000006	0.18132497222222224	0.1111111111111111	0.03389249999999999	0.017963303978840377	-0.19928827620106263
