seed	coverage	substitution_rate	read_length	family_id	truth_copies	estimate	signed_relative_error	absolute_relative_error	interval_low	interval_high	interval_contains_truth	interval_relative_width	sampling_oracle_copy_estimate	oracle_relative_error	estimator_minus_sampling_oracle	interval_kind
5101	1	0	5000	f1	20	19.91	-0.004499999999999993	0.004499999999999993	18.9145	19.91	False	0.04977499999999999	19.91	-0.004499999999999993	0.0	diagnostic_kmer_10_90_spread_not_sampling_CI
5101	1	0	5000	f2	80	80.6355	0.007943749999999916	0.007943749999999916	80.6355	81.631	False	0.012443750000000087	81.25259356725147	0.015657419590643328	-0.007713669590643413	diagnostic_kmer_10_90_spread_not_sampling_CI
5101	1	0	5000	f3	200	249.8705	0.24935249999999998	0.24935249999999998	247.8795	252.857	False	0.024887499999999962	251.3389216152019	0.2566946080760096	-0.007342108076009594	diagnostic_kmer_10_90_spread_not_sampling_CI
5101	1	0.001	5000	f1	20	18.9145	-0.05427499999999998	0.05427499999999998	16.9235	19.91	False	0.14932499999999999	19.91	-0.004499999999999993	-0.04977499999999999	diagnostic_kmer_10_90_spread_not_sampling_CI
5101	1	0.001	5000	f2	80	79.64	-0.004499999999999993	0.004499999999999993	78.6445	80.6355	True	0.024887499999999996	81.25259356725147	0.015657419590643328	-0.020157419590643322	diagnostic_kmer_10_90_spread_not_sampling_CI
5101	1	0.001	5000	f3	200	243.8975	0.21948750000000003	0.21948750000000003	240.911	247.8795	False	0.034842500000000026	251.3389216152019	0.2566946080760096	-0.03720710807600952	diagnostic_kmer_10_90_spread_not_sampling_CI
5101	1	0.01	5000	f1	20	15.928	-0.20359999999999995	0.20359999999999995	14.9325	16.9235	False	0.09955000000000007	19.91	-0.004499999999999993	-0.19909999999999997	diagnostic_kmer_10_90_spread_not_sampling_CI
5101	1	0.01	5000	f2	80	66.6985	-0.16626875000000005	0.16626875000000005	60.7255	69.685	False	0.11199375000000007	81.25259356725147	0.015657419590643328	-0.1819261695906434	diagnostic_kmer_10_90_spread_not_sampling_CI
5101	1	0.01	5000	f3	200	202.0865	0.010432500000000004	0.010432500000000004	193.127	208.0595	True	0.07466250000000002	251.3389216152019	0.2566946080760096	-0.24626210807600957	diagnostic_kmer_10_90_spread_not_sampling_CI
5101	5	0	5000	f1	20	21.4108	0.07053999999999991	0.07053999999999991	20.6104	21.6109	False	0.05002500000000012	21.614134607463548	0.0807067303731774	-0.010166730373177479	diagnostic_kmer_10_90_spread_not_sampling_CI
5101	5	0	5000	f2	80	52.4263	-0.34467125000000004	0.34467125000000004	52.2262	52.8265	False	0.007503750000000054	52.715365717476274	-0.3410579285315466	-0.0036133214684534566	diagnostic_kmer_10_90_spread_not_sampling_CI
5101	5	0	5000	f3	200	207.9044	0.03952200000000005	0.03952200000000005	206.9039	208.9049	False	0.010005000000000024	208.75948340276202	0.043797417013810076	-0.004275417013810028	diagnostic_kmer_10_90_spread_not_sampling_CI
5101	5	0.001	5000	f1	20	21.0106	0.050530000000000005	0.050530000000000005	19.8099	21.4108	True	0.08004499999999996	21.614134607463548	0.0807067303731774	-0.030176730373177384	diagnostic_kmer_10_90_spread_not_sampling_CI
5101	5	0.001	5000	f2	80	51.4258	-0.3571775	0.3571775	50.6254	52.0261	False	0.017508750000000007	52.715365717476274	-0.3410579285315466	-0.016119571468453397	diagnostic_kmer_10_90_spread_not_sampling_CI
5101	5	0.001	5000	f3	200	203.7023	0.018511500000000042	0.018511500000000042	202.3016	204.9029	False	0.013006499999999904	208.75948340276202	0.043797417013810076	-0.025285917013810034	diagnostic_kmer_10_90_spread_not_sampling_CI
5101	5	0.01	5000	f1	20	17.2086	-0.13956999999999997	0.13956999999999997	15.8079	18.009	False	0.11005500000000001	21.614134607463548	0.0807067303731774	-0.22027673037317735	diagnostic_kmer_10_90_spread_not_sampling_CI
5101	5	0.01	5000	f2	80	42.2212	-0.47223499999999996	0.47223499999999996	41.2207	43.822	False	0.032516250000000024	52.715365717476274	-0.3410579285315466	-0.1311770714684534	diagnostic_kmer_10_90_spread_not_sampling_CI
5101	5	0.01	5000	f3	200	168.2845	-0.15857749999999995	0.15857749999999995	165.283	171.286	False	0.030015000000000073	208.75948340276202	0.043797417013810076	-0.20237491701381002	diagnostic_kmer_10_90_spread_not_sampling_CI
5101	20	0	5000	f1	20	24.0121	0.200605	0.200605	22.9115	24.0621	False	0.05753000000000004	24.11047038471044	0.20552351923552195	-0.004918519235521934	diagnostic_kmer_10_90_spread_not_sampling_CI
5101	20	0	5000	f2	80	71.8361	-0.10204874999999998	0.10204874999999998	71.0357	72.0362	False	0.012506249999999853	72.15436892062652	-0.09807038849216845	-0.003978361507831529	diagnostic_kmer_10_90_spread_not_sampling_CI
5101	20	0	5000	f3	200	197.5992	-0.01200400000000002	0.01200400000000002	196.8989	198.0495	False	0.0057529999999999856	198.36875386433354	-0.008156230678332292	-0.0038477693216677268	diagnostic_kmer_10_90_spread_not_sampling_CI
5101	20	0.001	5000	f1	20	23.5118	0.17559000000000005	0.17559000000000005	22.3612	23.862	False	0.07503999999999991	24.11047038471044	0.20552351923552195	-0.0299335192355219	diagnostic_kmer_10_90_spread_not_sampling_CI
5101	20	0.001	5000	f2	80	70.3353	-0.12080874999999995	0.12080874999999995	69.4349	70.6855	False	0.01563250000000007	72.15436892062652	-0.09807038849216845	-0.022738361507831505	diagnostic_kmer_10_90_spread_not_sampling_CI
5101	20	0.001	5000	f3	200	193.4472	-0.03276399999999995	0.03276399999999995	192.5467	194.2476	False	0.008504500000000092	198.36875386433354	-0.008156230678332292	-0.02460776932166766	diagnostic_kmer_10_90_spread_not_sampling_CI
5101	20	0.01	5000	f1	20	19.1096	-0.04451999999999998	0.04451999999999998	18.2592	20.2102	True	0.09755000000000003	24.11047038471044	0.20552351923552195	-0.2500435192355219	diagnostic_kmer_10_90_spread_not_sampling_CI
5101	20	0.01	5000	f2	80	57.829	-0.2771375	0.2771375	56.6785	58.8796	False	0.02751375000000005	72.15436892062652	-0.09807038849216845	-0.17906711150783156	diagnostic_kmer_10_90_spread_not_sampling_CI
5101	20	0.01	5000	f3	200	159.6302	-0.201849	0.201849	158.2295	161.4811	False	0.01625799999999998	198.36875386433354	-0.008156230678332292	-0.1936927693216677	diagnostic_kmer_10_90_spread_not_sampling_CI
5102	1	0	5000	f1	20	19.91	-0.004499999999999993	0.004499999999999993	18.9145	19.91	False	0.04977499999999999	19.91	-0.004499999999999993	0.0	diagnostic_kmer_10_90_spread_not_sampling_CI
5102	1	0	5000	f2	80	9.955	-0.8755625	0.8755625	9.955	10.9505	False	0.012443749999999998	10.391622807017544	-0.8701047149122807	-0.005457785087719302	diagnostic_kmer_10_90_spread_not_sampling_CI
5102	1	0	5000	f3	200	239.9155	0.19957750000000005	0.19957750000000005	235.9335	240.911	False	0.024887499999999962	240.414432304038	0.20207216152019	-0.0024946615201899645	diagnostic_kmer_10_90_spread_not_sampling_CI
5102	1	0.001	5000	f1	20	19.91	-0.004499999999999993	0.004499999999999993	17.919	19.91	False	0.09954999999999999	19.91	-0.004499999999999993	0.0	diagnostic_kmer_10_90_spread_not_sampling_CI
5102	1	0.001	5000	f2	80	9.955	-0.8755625	0.8755625	9.955	10.9505	False	0.012443749999999998	10.391622807017544	-0.8701047149122807	-0.005457785087719302	diagnostic_kmer_10_90_spread_not_sampling_CI
5102	1	0.001	5000	f3	200	234.938	0.17468999999999993	0.17468999999999993	230.956	236.929	False	0.029865000000000065	240.414432304038	0.20207216152019	-0.027382161520190067	diagnostic_kmer_10_90_spread_not_sampling_CI
5102	1	0.01	5000	f1	20	14.9325	-0.253375	0.253375	13.937	16.9235	False	0.14932500000000007	19.91	-0.004499999999999993	-0.24887500000000004	diagnostic_kmer_10_90_spread_not_sampling_CI
5102	1	0.01	5000	f2	80	7.964	-0.90045	0.90045	5.973	10.9505	False	0.06221875	10.391622807017544	-0.8701047149122807	-0.030345285087719297	diagnostic_kmer_10_90_spread_not_sampling_CI
5102	1	0.01	5000	f3	200	194.1225	-0.02938749999999999	0.02938749999999999	184.1675	201.091	True	0.0846175000000001	240.414432304038	0.20207216152019	-0.23145966152018999	diagnostic_kmer_10_90_spread_not_sampling_CI
5102	5	0	5000	f1	20	27.4138	0.3706899999999999	0.3706899999999999	26.2132	27.6139	False	0.07003500000000003	27.64339237169454	0.3821696185847269	-0.011479618584727014	diagnostic_kmer_10_90_spread_not_sampling_CI
5102	5	0	5000	f2	80	76.2383	-0.047021250000000056	0.047021250000000056	75.638	76.4384	False	0.010004999999999953	76.49339034353052	-0.043832620705868484	-0.003188629294131573	diagnostic_kmer_10_90_spread_not_sampling_CI
5102	5	0	5000	f3	200	182.4917	-0.08754149999999995	0.08754149999999995	181.8914	183.092	False	0.006003000000000043	183.23502452881988	-0.0838248773559006	-0.0037166226440993456	diagnostic_kmer_10_90_spread_not_sampling_CI
5102	5	0.001	5000	f1	20	26.6134	0.3306699999999999	0.3306699999999999	25.2127	27.0136	False	0.09004499999999993	27.64339237169454	0.3821696185847269	-0.051499618584727	diagnostic_kmer_10_90_spread_not_sampling_CI
5102	5	0.001	5000	f2	80	74.4374	-0.06953250000000004	0.06953250000000004	73.8371	75.2378	False	0.01750874999999983	76.49339034353052	-0.043832620705868484	-0.025699879294131554	diagnostic_kmer_10_90_spread_not_sampling_CI
5102	5	0.001	5000	f3	200	178.8898	-0.10555099999999996	0.10555099999999996	177.8893	179.4902	False	0.008004499999999979	183.23502452881988	-0.0838248773559006	-0.021726122644099347	diagnostic_kmer_10_90_spread_not_sampling_CI
5102	5	0.01	5000	f1	20	22.6114	0.13057	0.13057	20.8105	23.0116	False	0.11005500000000001	27.64339237169454	0.3821696185847269	-0.25159961858472696	diagnostic_kmer_10_90_spread_not_sampling_CI
5102	5	0.01	5000	f2	80	61.631	-0.2296125	0.2296125	59.6299	63.4319	False	0.047525	76.49339034353052	-0.043832620705868484	-0.1857798792941315	diagnostic_kmer_10_90_spread_not_sampling_CI
5102	5	0.01	5000	f3	200	148.8748	-0.255626	0.255626	145.8733	151.8763	False	0.03001499999999993	183.23502452881988	-0.0838248773559006	-0.1718011226440994	diagnostic_kmer_10_90_spread_not_sampling_CI
5102	20	0	5000	f1	20	18.5093	-0.07453500000000002	0.07453500000000002	17.6088	18.5593	False	0.04752500000000008	18.612627069775108	-0.0693686465112446	-0.005166353488755426	diagnostic_kmer_10_90_spread_not_sampling_CI
5102	20	0	5000	f2	80	90.9957	0.13744625	0.13744625	90.0953	91.1958	False	0.013756250000000136	91.39327162126422	0.14241589526580273	-0.004969645265802747	diagnostic_kmer_10_90_spread_not_sampling_CI
5102	20	0	5000	f3	200	200.7008	0.003503999999999934	0.003503999999999934	200.3006	201.2511	False	0.004752500000000026	201.57844197233197	0.007892209861659864	-0.004388209861659931	diagnostic_kmer_10_90_spread_not_sampling_CI
5102	20	0.001	5000	f1	20	17.909	-0.10455000000000006	0.10455000000000006	17.3587	18.2091	False	0.04252000000000002	18.612627069775108	-0.0693686465112446	-0.035181353488755465	diagnostic_kmer_10_90_spread_not_sampling_CI
5102	20	0.001	5000	f2	80	89.1948	0.11493500000000001	0.11493500000000001	88.5445	89.595	False	0.013131249999999994	91.39327162126422	0.14241589526580273	-0.02748089526580273	diagnostic_kmer_10_90_spread_not_sampling_CI
5102	20	0.001	5000	f3	200	196.5487	-0.01725650000000002	0.01725650000000002	195.8984	197.199	False	0.006503000000000014	201.57844197233197	0.007892209861659864	-0.02514870986165988	diagnostic_kmer_10_90_spread_not_sampling_CI
5102	20	0.01	5000	f1	20	14.9075	-0.254625	0.254625	14.3572	15.1576	False	0.040019999999999986	18.612627069775108	-0.0693686465112446	-0.18525635348875538	diagnostic_kmer_10_90_spread_not_sampling_CI
5102	20	0.01	5000	f2	80	73.4369	-0.08203875000000008	0.08203875000000008	72.1863	74.3874	False	0.02751374999999996	91.39327162126422	0.14241589526580273	-0.2244546452658028	diagnostic_kmer_10_90_spread_not_sampling_CI
