dataset	minimum_count	status	workflow_wall_seconds	external_stage_wall_seconds	maximum_external_stage_peak_rss_mib	memory_method	input_sha256	total_input_bases	k	threads_parameter	temporary_and_output_bytes_after_run	warning	truth_array_count	predicted_array_count	matched_array_count	array_recall	array_precision	array_f1	read_detection_recall	read_detection_precision	negative_read_count	false_positive_read_count	negative_read_call_rate	matched_period_mae_bp	matched_boundary_mae_bp	base_union_recall	base_union_precision	base_union_f1	predicted_union_bp	truth_union_bp	duplicated_prediction_bp	duplicate_bp_fraction	array_recall_ci_low	array_recall_ci_high	array_precision_ci_low	array_precision_ci_high	negative_read_call_rate_ci_low	negative_read_call_rate_ci_high	cyclic_monomer_recall	distinct_consensus_count	homologous_consensus_fraction	unmatched_distinct_consensus_count	mean_best_cyclic_edit_similarity	native_catalogue_size	native_motif_lengths	out_of_scope_catalogue_count	out_of_scope_array_count	scoring_scope	truth_arrays_sha256	truth_reads_sha256
low_complexity_control_s1101	100	no_catalogue	1.8056930000893772	1.8006273759528995	53.0	max direct-child wait4 RSS across sequential native stages; benchmark controller excluded	74a5ccaf4b5639fb92c8a02e053696091041bc70fe6007f593ba35c341d8053c	500000	151	1	1342096	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	0	0	0	NA	NA	NA	NA	NA	100	0	0.0	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0.0	0.03699349820698568	NA	0	NA	0	NA	0		0	0	period_30_1000_span_ge_100;native_keep_flag_positive;HORs_not_decomposed	717c100a73298ee9f39abd124523ecd2bea30990de51bc3325e1ddc5aa827a10	fbc19ea4f48b2feb8f45f6803a30ed503200bb1d2cc3ec580ff52a4d6832501c
low_complexity_control_s1101	20	no_catalogue	1.802608290920034	1.8002985010389239	53.015625	max direct-child wait4 RSS across sequential native stages; benchmark controller excluded	74a5ccaf4b5639fb92c8a02e053696091041bc70fe6007f593ba35c341d8053c	500000	151	1	1342088	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	0	0	0	NA	NA	NA	NA	NA	100	0	0.0	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0.0	0.03699349820698568	NA	0	NA	0	NA	0		0	0	period_30_1000_span_ge_100;native_keep_flag_positive;HORs_not_decomposed	717c100a73298ee9f39abd124523ecd2bea30990de51bc3325e1ddc5aa827a10	fbc19ea4f48b2feb8f45f6803a30ed503200bb1d2cc3ec580ff52a4d6832501c
related_families_s1101	100	ok	1.9595616671722382	1.9481626676861197	48.25	max direct-child wait4 RSS across sequential native stages; benchmark controller excluded	288d05ce4ef6e11c16585020136d23f7ef2898078b977346376c67173e539ac2	500000	151	1	1541308	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	51.542857142857144	0.9499651907546645	0.9997875177679107	0.9742397955176673	136482	143640	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	1.0	3	1.0	0	1.0	3	171;171;171	0	0	period_30_1000_span_ge_100;native_keep_flag_positive;HORs_not_decomposed	7fa309bcc7d9035f96f098d666b003292edcf50b22490f5e7df80daad39b6bf5	0d9ad4c2ab1536a4da42e2ff7523a59072da58b0e268f64c410b11322d0b7aca
related_families_s1101	20	ok	1.9201935410965234	1.9116964591667056	49.625	max direct-child wait4 RSS across sequential native stages; benchmark controller excluded	288d05ce4ef6e11c16585020136d23f7ef2898078b977346376c67173e539ac2	500000	151	1	1541297	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	51.542857142857144	0.9499651907546645	0.9997875177679107	0.9742397955176673	136482	143640	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	1.0	3	1.0	0	1.0	3	171;171;171	0	0	period_30_1000_span_ge_100;native_keep_flag_positive;HORs_not_decomposed	7fa309bcc7d9035f96f098d666b003292edcf50b22490f5e7df80daad39b6bf5	0d9ad4c2ab1536a4da42e2ff7523a59072da58b0e268f64c410b11322d0b7aca
short_arrays_s1101	100	failed	1.7925666249357164	1.7862680819816887	46.34375	max direct-child wait4 RSS across sequential native stages; benchmark controller excluded	31e5e1c67ae81e0114181038fa1780c97adfa0ce1963e8a01a65fff1833ac530	500000	151	1	1312568	illustrative_readme_k151_count_preset;library_coverage_not_known;no_default_optimality_claim	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
short_arrays_s1101	20	ok	1.863048209110275	1.8571056677028537	45.234375	max direct-child wait4 RSS across sequential native stages; benchmark controller excluded	31e5e1c67ae81e0114181038fa1780c97adfa0ce1963e8a01a65fff1833ac530	500000	151	1	1444666	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	45.7	0.822333611807296	0.9993908217138215	0.9022579363866907	29548	35910	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	1.0	3	1.0	0	1.0	3	171;171;171	0	0	period_30_1000_span_ge_100;native_keep_flag_positive;HORs_not_decomposed	cab3703bf533bbe7ce717deabf362f068aa931efeea9577b818bf2d409c3ae54	d6c67524d845b2fc530d4e6d9e9c7cf76c9fbc3047019251c094062753e238b6
substitution_1pct_s1101	100	failed	1.7974267501849681	1.7918299590237439	49.109375	max direct-child wait4 RSS across sequential native stages; benchmark controller excluded	4905c821dfd3741bde3da99fc57842a3b228daa3ed9c4e0716ce1b5452ccc3f9	500000	151	1	1312600	illustrative_readme_k151_count_preset;library_coverage_not_known;no_default_optimality_claim	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
substitution_1pct_s1101	20	ok	1.9324908750131726	1.923832957400009	49.84375	max direct-child wait4 RSS across sequential native stages; benchmark controller excluded	4905c821dfd3741bde3da99fc57842a3b228daa3ed9c4e0716ce1b5452ccc3f9	500000	151	1	1541969	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	52.56428571428572	0.9488930659983291	0.9998679548405555	0.9737138203366945	136317	143640	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	1.0	3	1.0	0	1.0	3	171;171;171	0	0	period_30_1000_span_ge_100;native_keep_flag_positive;HORs_not_decomposed	486966c1bbf7ac7ffaa7004b82150d098cdc0f79b69bd968e6ea8a82c2aff502	02c210409ea1dce29f94522ce1f07f738513a77bdd0b21cad100be015a82c846
substitution_5pct_s1101	100	failed	1.7978789159096777	1.7918441260699183	47.640625	max direct-child wait4 RSS across sequential native stages; benchmark controller excluded	ad546af0a64233fcdb6cce230c1648d0242ed414ef70e7bdcb8044d20ae11db1	500000	151	1	1312599	illustrative_readme_k151_count_preset;library_coverage_not_known;no_default_optimality_claim	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
substitution_5pct_s1101	20	failed	1.7642991659231484	1.7621087501756847	47.796875	max direct-child wait4 RSS across sequential native stages; benchmark controller excluded	ad546af0a64233fcdb6cce230c1648d0242ed414ef70e7bdcb8044d20ae11db1	500000	151	1	1312594	illustrative_readme_k151_count_preset;library_coverage_not_known;no_default_optimality_claim	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
two_arrays_s1101	100	ok	1.9436280000954866	1.9326899589505047	51.53125	max direct-child wait4 RSS across sequential native stages; benchmark controller excluded	1e2e802a7350de6893f27623f7aaa233d656710d6ca1538fe7f29c736e9fed12	500000	151	1	1576857	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	140	140	140	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	51.17857142857143	0.925250626566416	0.9999210012526945	0.961137718379988	177218	191520	0	0.0	0.9732937996305869	1.0	0.9732937996305869	1.0	0.0	0.11351339317396876	1.0	3	1.0	0	1.0	3	171;171;171	0	0	period_30_1000_span_ge_100;native_keep_flag_positive;HORs_not_decomposed	84e5ee518babb0540341004d135acc87067e0f693bd67faa7903f094e8b4dcad	a59a769f608f0c68e59f9dbe0b3e655c044b5b9294b162d9930b241ecb0ae981
two_arrays_s1101	20	ok	1.9779814158100635	1.9684900832362473	50.09375	max direct-child wait4 RSS across sequential native stages; benchmark controller excluded	1e2e802a7350de6893f27623f7aaa233d656710d6ca1538fe7f29c736e9fed12	500000	151	1	1576845	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	140	140	140	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	51.17857142857143	0.925250626566416	0.9999210012526945	0.961137718379988	177218	191520	0	0.0	0.9732937996305869	1.0	0.9732937996305869	1.0	0.0	0.11351339317396876	1.0	3	1.0	0	1.0	3	171;171;171	0	0	period_30_1000_span_ge_100;native_keep_flag_positive;HORs_not_decomposed	84e5ee518babb0540341004d135acc87067e0f693bd67faa7903f094e8b4dcad	a59a769f608f0c68e59f9dbe0b3e655c044b5b9294b162d9930b241ecb0ae981
