seed	unit_substitution_rate	array_fragments	fragment_gap_bp	coverage	substitution_rate	read_length	assembly_fraction	family_id	truth_assembly_read_ratio	truth_underrepresented	predicted_assembly_read_ratio	native_status	predicted_underrepresented	outcome
5401	0.01	1	500	5	0	5000	1	f1	1.0	False	3.8474	possible_overexpansion	False	TN
5401	0.01	1	500	5	0	5000	1	f2	1.0	False	1.2205	consistent	False	TN
5401	0.01	1	500	5	0	5000	1	f3	1.0	False	1.2233	consistent	False	TN
5401	0.01	1	500	5	0	5000	0.75	f1	0.75	False	2.8863	possible_overexpansion	False	TN
5401	0.01	1	500	5	0	5000	0.75	f2	0.75	False	0.915	consistent	False	TN
5401	0.01	1	500	5	0	5000	0.75	f3	0.75	False	0.9171	consistent	False	TN
5401	0.01	1	500	5	0	5000	0.5	f1	0.5	True	1.9253	possible_overexpansion	False	FN
5401	0.01	1	500	5	0	5000	0.5	f2	0.5	True	0.0	reads_only	True	TP
5401	0.01	1	500	5	0	5000	0.5	f3	0.5	True	0.6109	consistent	False	FN
5401	0.01	1	500	5	0	5000	0.25	f1	0.25	True	0.9642	consistent	False	FN
5401	0.01	1	500	5	0	5000	0.25	f2	0.25	True	0.0	reads_only	True	TP
5401	0.01	1	500	5	0	5000	0.25	f3	0.25	True	0.3038	possible_collapse	True	TP
5401	0.01	1	500	5	0	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5401	0.01	1	500	5	0	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5401	0.01	1	500	5	0	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5401	0.01	1	500	5	0.001	5000	1	f1	1.0	False	3.8474	possible_overexpansion	False	TN
5401	0.01	1	500	5	0.001	5000	1	f2	1.0	False	1.2511	consistent	False	TN
5401	0.01	1	500	5	0.001	5000	1	f3	1.0	False	1.2478	consistent	False	TN
5401	0.01	1	500	5	0.001	5000	0.75	f1	0.75	False	2.8863	possible_overexpansion	False	TN
5401	0.01	1	500	5	0.001	5000	0.75	f2	0.75	False	0.938	consistent	False	TN
5401	0.01	1	500	5	0.001	5000	0.75	f3	0.75	False	0.9355	consistent	False	TN
5401	0.01	1	500	5	0.001	5000	0.5	f1	0.5	True	1.9253	possible_overexpansion	False	FN
5401	0.01	1	500	5	0.001	5000	0.5	f2	0.5	True	0.0	reads_only	True	TP
5401	0.01	1	500	5	0.001	5000	0.5	f3	0.5	True	0.6231	consistent	False	FN
5401	0.01	1	500	5	0.001	5000	0.25	f1	0.25	True	0.9642	consistent	False	FN
5401	0.01	1	500	5	0.001	5000	0.25	f2	0.25	True	0.0	reads_only	True	TP
5401	0.01	1	500	5	0.001	5000	0.25	f3	0.25	True	0.3099	possible_collapse	True	TP
5401	0.01	1	500	5	0.001	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5401	0.01	1	500	5	0.001	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5401	0.01	1	500	5	0.001	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5401	0.01	1	500	5	0.01	5000	1	f1	1.0	False	4.7634	possible_overexpansion	False	TN
5401	0.01	1	500	5	0.01	5000	1	f2	1.0	False	1.5175	possible_overexpansion	False	TN
5401	0.01	1	500	5	0.01	5000	1	f3	1.0	False	1.5057	possible_overexpansion	False	TN
5401	0.01	1	500	5	0.01	5000	0.75	f1	0.75	False	3.5735	possible_overexpansion	False	TN
5401	0.01	1	500	5	0.01	5000	0.75	f2	0.75	False	1.1377	consistent	False	TN
5401	0.01	1	500	5	0.01	5000	0.75	f3	0.75	False	1.1288	consistent	False	TN
5401	0.01	1	500	5	0.01	5000	0.5	f1	0.5	True	2.3837	possible_overexpansion	False	FN
5401	0.01	1	500	5	0.01	5000	0.5	f2	0.5	True	0.0	reads_only	True	TP
5401	0.01	1	500	5	0.01	5000	0.5	f3	0.5	True	0.7519	consistent	False	FN
5401	0.01	1	500	5	0.01	5000	0.25	f1	0.25	True	1.1938	consistent	False	FN
5401	0.01	1	500	5	0.01	5000	0.25	f2	0.25	True	0.0	reads_only	True	TP
5401	0.01	1	500	5	0.01	5000	0.25	f3	0.25	True	0.3739	possible_collapse	True	TP
5401	0.01	1	500	5	0.01	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5401	0.01	1	500	5	0.01	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5401	0.01	1	500	5	0.01	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5401	0.01	1	500	20	0	5000	1	f1	1.0	False	1.3703	consistent	False	TN
5401	0.01	1	500	20	0	5000	1	f2	1.0	False	1.4152	consistent	False	TN
5401	0.01	1	500	20	0	5000	1	f3	1.0	False	1.1748	consistent	False	TN
5401	0.01	1	500	20	0	5000	0.75	f1	0.75	False	1.028	consistent	False	TN
5401	0.01	1	500	20	0	5000	0.75	f2	0.75	False	1.061	consistent	False	TN
5401	0.01	1	500	20	0	5000	0.75	f3	0.75	False	0.8807	consistent	False	TN
5401	0.01	1	500	20	0	5000	0.5	f1	0.5	True	0.6857	consistent	False	FN
5401	0.01	1	500	20	0	5000	0.5	f2	0.5	True	0.0	reads_only	True	TP
5401	0.01	1	500	20	0	5000	0.5	f3	0.5	True	0.5866	possible_collapse	True	TP
5401	0.01	1	500	20	0	5000	0.25	f1	0.25	True	0.3434	possible_collapse	True	TP
5401	0.01	1	500	20	0	5000	0.25	f2	0.25	True	0.0	reads_only	True	TP
5401	0.01	1	500	20	0	5000	0.25	f3	0.25	True	0.2917	possible_collapse	True	TP
5401	0.01	1	500	20	0	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5401	0.01	1	500	20	0	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5401	0.01	1	500	20	0	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5401	0.01	1	500	20	0.001	5000	1	f1	1.0	False	1.4089	consistent	False	TN
5401	0.01	1	500	20	0.001	5000	1	f2	1.0	False	1.4486	consistent	False	TN
5401	0.01	1	500	20	0.001	5000	1	f3	1.0	False	1.2002	consistent	False	TN
5401	0.01	1	500	20	0.001	5000	0.75	f1	0.75	False	1.057	consistent	False	TN
5401	0.01	1	500	20	0.001	5000	0.75	f2	0.75	False	1.086	consistent	False	TN
5401	0.01	1	500	20	0.001	5000	0.75	f3	0.75	False	0.8998	consistent	False	TN
5401	0.01	1	500	20	0.001	5000	0.5	f1	0.5	True	0.705	consistent	False	FN
5401	0.01	1	500	20	0.001	5000	0.5	f2	0.5	True	0.0	reads_only	True	TP
5401	0.01	1	500	20	0.001	5000	0.5	f3	0.5	True	0.5993	possible_collapse	True	TP
5401	0.01	1	500	20	0.001	5000	0.25	f1	0.25	True	0.3531	possible_collapse	True	TP
5401	0.01	1	500	20	0.001	5000	0.25	f2	0.25	True	0.0	reads_only	True	TP
5401	0.01	1	500	20	0.001	5000	0.25	f3	0.25	True	0.298	possible_collapse	True	TP
5401	0.01	1	500	20	0.001	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5401	0.01	1	500	20	0.001	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5401	0.01	1	500	20	0.001	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5401	0.01	1	500	20	0.01	5000	1	f1	1.0	False	1.6955	possible_overexpansion	False	TN
5401	0.01	1	500	20	0.01	5000	1	f2	1.0	False	1.7679	possible_overexpansion	False	TN
5401	0.01	1	500	20	0.01	5000	1	f3	1.0	False	1.4525	consistent	False	TN
5401	0.01	1	500	20	0.01	5000	0.75	f1	0.75	False	1.2719	consistent	False	TN
5401	0.01	1	500	20	0.01	5000	0.75	f2	0.75	False	1.3254	consistent	False	TN
5401	0.01	1	500	20	0.01	5000	0.75	f3	0.75	False	1.0889	consistent	False	TN
5401	0.01	1	500	20	0.01	5000	0.5	f1	0.5	True	0.8484	consistent	False	FN
5401	0.01	1	500	20	0.01	5000	0.5	f2	0.5	True	0.0	reads_only	True	TP
5401	0.01	1	500	20	0.01	5000	0.5	f3	0.5	True	0.7254	consistent	False	FN
5401	0.01	1	500	20	0.01	5000	0.25	f1	0.25	True	0.4249	possible_collapse	True	TP
5401	0.01	1	500	20	0.01	5000	0.25	f2	0.25	True	0.0	reads_only	True	TP
5401	0.01	1	500	20	0.01	5000	0.25	f3	0.25	True	0.3607	possible_collapse	True	TP
5401	0.01	1	500	20	0.01	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5401	0.01	1	500	20	0.01	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5401	0.01	1	500	20	0.01	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5401	0.01	3	500	1	0	5000	1	f1	1.0	False	0.0	assembly_only	False	TN
5401	0.01	3	500	1	0	5000	1	f2	1.0	False	0.9703	consistent	False	TN
5401	0.01	3	500	1	0	5000	1	f3	1.0	False	1.4862	consistent	False	TN
5401	0.01	3	500	1	0	5000	0.75	f1	0.75	False	0.0	assembly_only	False	TN
5401	0.01	3	500	1	0	5000	0.75	f2	0.75	False	0.7329	consistent	False	TN
5401	0.01	3	500	1	0	5000	0.75	f3	0.75	False	1.1132	consistent	False	TN
5401	0.01	3	500	1	0	5000	0.5	f1	0.5	True	0.0	assembly_only	False	FN
5401	0.01	3	500	1	0	5000	0.5	f2	0.5	True	0.2374	possible_collapse	True	TP
5401	0.01	3	500	1	0	5000	0.5	f3	0.5	True	0.7422	consistent	False	FN
5401	0.01	3	500	1	0	5000	0.25	f1	0.25	True	0.0	assembly_only	False	FN
5401	0.01	3	500	1	0	5000	0.25	f2	0.25	True	0.0	reads_only	True	TP
5401	0.01	3	500	1	0	5000	0.25	f3	0.25	True	0.3692	possible_collapse	True	TP
5401	0.01	3	500	1	0	5000	0	f1	0.0	True	0.0	low_confidence	False	FN
5401	0.01	3	500	1	0	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5401	0.01	3	500	1	0	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5401	0.01	3	500	1	0.001	5000	1	f1	1.0	False	0.0	assembly_only	False	TN
5401	0.01	3	500	1	0.001	5000	1	f2	1.0	False	0.9886	consistent	False	TN
5401	0.01	3	500	1	0.001	5000	1	f3	1.0	False	1.5205	possible_overexpansion	False	TN
5401	0.01	3	500	1	0.001	5000	0.75	f1	0.75	False	0.0	assembly_only	False	TN
5401	0.01	3	500	1	0.001	5000	0.75	f2	0.75	False	0.7468	consistent	False	TN
5401	0.01	3	500	1	0.001	5000	0.75	f3	0.75	False	1.1389	consistent	False	TN
5401	0.01	3	500	1	0.001	5000	0.5	f1	0.5	True	0.0	assembly_only	False	FN
5401	0.01	3	500	1	0.001	5000	0.5	f2	0.5	True	0.2419	possible_collapse	True	TP
5401	0.01	3	500	1	0.001	5000	0.5	f3	0.5	True	0.7593	consistent	False	FN
5401	0.01	3	500	1	0.001	5000	0.25	f1	0.25	True	0.0	assembly_only	False	FN
5401	0.01	3	500	1	0.001	5000	0.25	f2	0.25	True	0.0	reads_only	True	TP
5401	0.01	3	500	1	0.001	5000	0.25	f3	0.25	True	0.3777	possible_collapse	True	TP
5401	0.01	3	500	1	0.001	5000	0	f1	0.0	True	0.0	low_confidence	False	FN
5401	0.01	3	500	1	0.001	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5401	0.01	3	500	1	0.001	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5401	0.01	3	500	1	0.01	5000	1	f1	1.0	False	0.0	assembly_only	False	TN
5401	0.01	3	500	1	0.01	5000	1	f2	1.0	False	1.1908	consistent	False	TN
5401	0.01	3	500	1	0.01	5000	1	f3	1.0	False	1.8474	possible_overexpansion	False	TN
5401	0.01	3	500	1	0.01	5000	0.75	f1	0.75	False	0.0	assembly_only	False	TN
5401	0.01	3	500	1	0.01	5000	0.75	f2	0.75	False	0.8995	consistent	False	TN
5401	0.01	3	500	1	0.01	5000	0.75	f3	0.75	False	1.3837	consistent	False	TN
5401	0.01	3	500	1	0.01	5000	0.5	f1	0.5	True	0.0	assembly_only	False	FN
5401	0.01	3	500	1	0.01	5000	0.5	f2	0.5	True	0.2913	possible_collapse	True	TP
5401	0.01	3	500	1	0.01	5000	0.5	f3	0.5	True	0.9225	consistent	False	FN
5401	0.01	3	500	1	0.01	5000	0.25	f1	0.25	True	0.0	assembly_only	False	FN
5401	0.01	3	500	1	0.01	5000	0.25	f2	0.25	True	0.0	reads_only	True	TP
5401	0.01	3	500	1	0.01	5000	0.25	f3	0.25	True	0.4589	possible_collapse	True	TP
5401	0.01	3	500	1	0.01	5000	0	f1	0.0	True	0.0	low_confidence	False	FN
5401	0.01	3	500	1	0.01	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5401	0.01	3	500	1	0.01	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5401	0.01	3	500	5	0	5000	1	f1	1.0	False	1.9712	possible_overexpansion	False	TN
5401	0.01	3	500	5	0	5000	1	f2	1.0	False	0.8142	consistent	False	TN
5401	0.01	3	500	5	0	5000	1	f3	1.0	False	1.2309	consistent	False	TN
5401	0.01	3	500	5	0	5000	0.75	f1	0.75	False	1.5194	possible_overexpansion	False	TN
5401	0.01	3	500	5	0	5000	0.75	f2	0.75	False	0.615	consistent	False	TN
5401	0.01	3	500	5	0	5000	0.75	f3	0.75	False	0.9219	consistent	False	TN
5401	0.01	3	500	5	0	5000	0.5	f1	0.5	True	1.0526	consistent	False	FN
5401	0.01	3	500	5	0	5000	0.5	f2	0.5	True	0.1992	possible_collapse	True	TP
5401	0.01	3	500	5	0	5000	0.5	f3	0.5	True	0.6147	consistent	False	FN
5401	0.01	3	500	5	0	5000	0.25	f1	0.25	True	0.4494	possible_collapse	True	TP
5401	0.01	3	500	5	0	5000	0.25	f2	0.25	True	0.0	reads_only	True	TP
5401	0.01	3	500	5	0	5000	0.25	f3	0.25	True	0.3057	possible_collapse	True	TP
5401	0.01	3	500	5	0	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5401	0.01	3	500	5	0	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5401	0.01	3	500	5	0	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5401	0.01	3	500	5	0.001	5000	1	f1	1.0	False	2.0328	possible_overexpansion	False	TN
5401	0.01	3	500	5	0.001	5000	1	f2	1.0	False	0.8347	consistent	False	TN
5401	0.01	3	500	5	0.001	5000	1	f3	1.0	False	1.2556	consistent	False	TN
5401	0.01	3	500	5	0.001	5000	0.75	f1	0.75	False	1.5668	possible_overexpansion	False	TN
5401	0.01	3	500	5	0.001	5000	0.75	f2	0.75	False	0.6305	consistent	False	TN
5401	0.01	3	500	5	0.001	5000	0.75	f3	0.75	False	0.9405	consistent	False	TN
5401	0.01	3	500	5	0.001	5000	0.5	f1	0.5	True	1.0855	consistent	False	FN
5401	0.01	3	500	5	0.001	5000	0.5	f2	0.5	True	0.2042	possible_collapse	True	TP
5401	0.01	3	500	5	0.001	5000	0.5	f3	0.5	True	0.627	consistent	False	FN
5401	0.01	3	500	5	0.001	5000	0.25	f1	0.25	True	0.4634	possible_collapse	True	TP
5401	0.01	3	500	5	0.001	5000	0.25	f2	0.25	True	0.0	reads_only	True	TP
5401	0.01	3	500	5	0.001	5000	0.25	f3	0.25	True	0.3119	possible_collapse	True	TP
5401	0.01	3	500	5	0.001	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5401	0.01	3	500	5	0.001	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5401	0.01	3	500	5	0.001	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5401	0.01	3	500	5	0.01	5000	1	f1	1.0	False	2.4093	possible_overexpansion	False	TN
5401	0.01	3	500	5	0.01	5000	1	f2	1.0	False	1.0061	consistent	False	TN
5401	0.01	3	500	5	0.01	5000	1	f3	1.0	False	1.5194	possible_overexpansion	False	TN
5401	0.01	3	500	5	0.01	5000	0.75	f1	0.75	False	1.857	possible_overexpansion	False	TN
5401	0.01	3	500	5	0.01	5000	0.75	f2	0.75	False	0.76	consistent	False	TN
5401	0.01	3	500	5	0.01	5000	0.75	f3	0.75	False	1.138	consistent	False	TN
5401	0.01	3	500	5	0.01	5000	0.5	f1	0.5	True	1.2866	consistent	False	FN
5401	0.01	3	500	5	0.01	5000	0.5	f2	0.5	True	0.2461	possible_collapse	True	TP
5401	0.01	3	500	5	0.01	5000	0.5	f3	0.5	True	0.7587	consistent	False	FN
5401	0.01	3	500	5	0.01	5000	0.25	f1	0.25	True	0.5492	possible_collapse	True	TP
5401	0.01	3	500	5	0.01	5000	0.25	f2	0.25	True	0.0	reads_only	True	TP
5401	0.01	3	500	5	0.01	5000	0.25	f3	0.25	True	0.3774	possible_collapse	True	TP
5401	0.01	3	500	5	0.01	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5401	0.01	3	500	5	0.01	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5401	0.01	3	500	5	0.01	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5401	0.01	3	500	20	0	5000	1	f1	1.0	False	0.8394	consistent	False	TN
5401	0.01	3	500	20	0	5000	1	f2	1.0	False	0.8598	consistent	False	TN
5401	0.01	3	500	20	0	5000	1	f3	1.0	False	1.1751	consistent	False	TN
5401	0.01	3	500	20	0	5000	0.75	f1	0.75	False	0.647	consistent	False	TN
5401	0.01	3	500	20	0	5000	0.75	f2	0.75	False	0.6495	consistent	False	TN
5401	0.01	3	500	20	0	5000	0.75	f3	0.75	False	0.8801	consistent	False	TN
5401	0.01	3	500	20	0	5000	0.5	f1	0.5	True	0.4482	possible_collapse	True	TP
5401	0.01	3	500	20	0	5000	0.5	f2	0.5	True	0.2103	possible_collapse	True	TP
5401	0.01	3	500	20	0	5000	0.5	f3	0.5	True	0.5868	possible_collapse	True	TP
5401	0.01	3	500	20	0	5000	0.25	f1	0.25	True	0.1913	possible_collapse	True	TP
5401	0.01	3	500	20	0	5000	0.25	f2	0.25	True	0.0	reads_only	True	TP
5401	0.01	3	500	20	0	5000	0.25	f3	0.25	True	0.2919	possible_collapse	True	TP
5401	0.01	3	500	20	0	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5401	0.01	3	500	20	0	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5401	0.01	3	500	20	0	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5401	0.01	3	500	20	0.001	5000	1	f1	1.0	False	0.8616	consistent	False	TN
5401	0.01	3	500	20	0.001	5000	1	f2	1.0	False	0.8755	consistent	False	TN
5401	0.01	3	500	20	0.001	5000	1	f3	1.0	False	1.1994	consistent	False	TN
5401	0.01	3	500	20	0.001	5000	0.75	f1	0.75	False	0.6641	consistent	False	TN
5401	0.01	3	500	20	0.001	5000	0.75	f2	0.75	False	0.6613	consistent	False	TN
5401	0.01	3	500	20	0.001	5000	0.75	f3	0.75	False	0.8984	consistent	False	TN
5401	0.01	3	500	20	0.001	5000	0.5	f1	0.5	True	0.4601	possible_collapse	True	TP
5401	0.01	3	500	20	0.001	5000	0.5	f2	0.5	True	0.2142	possible_collapse	True	TP
5401	0.01	3	500	20	0.001	5000	0.5	f3	0.5	True	0.599	possible_collapse	True	TP
5401	0.01	3	500	20	0.001	5000	0.25	f1	0.25	True	0.1964	possible_collapse	True	TP
5401	0.01	3	500	20	0.001	5000	0.25	f2	0.25	True	0.0	reads_only	True	TP
5401	0.01	3	500	20	0.001	5000	0.25	f3	0.25	True	0.2979	possible_collapse	True	TP
5401	0.01	3	500	20	0.001	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5401	0.01	3	500	20	0.001	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5401	0.01	3	500	20	0.001	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5401	0.01	3	500	20	0.01	5000	1	f1	1.0	False	1.0325	consistent	False	TN
5401	0.01	3	500	20	0.01	5000	1	f2	1.0	False	1.0563	consistent	False	TN
5401	0.01	3	500	20	0.01	5000	1	f3	1.0	False	1.4557	consistent	False	TN
5401	0.01	3	500	20	0.01	5000	0.75	f1	0.75	False	0.7959	consistent	False	TN
5401	0.01	3	500	20	0.01	5000	0.75	f2	0.75	False	0.7979	consistent	False	TN
5401	0.01	3	500	20	0.01	5000	0.75	f3	0.75	False	1.0903	consistent	False	TN
5401	0.01	3	500	20	0.01	5000	0.5	f1	0.5	True	0.5514	possible_collapse	True	TP
