seed	unit_substitution_rate	array_fragments	fragment_gap_bp	coverage	substitution_rate	read_length	family_id	truth_copies	estimate	signed_relative_error	absolute_relative_error	interval_low	interval_high	interval_contains_truth	interval_relative_width	sampling_oracle_copy_estimate	oracle_relative_error	estimator_minus_sampling_oracle	interval_kind
5401	0.01	1	500	20	0.001	5000	f3	200	166.4336	-0.16783199999999993	0.16783199999999993	159.5301	172.9369	False	0.06703400000000002	207.49827987920602	0.03749139939603012	-0.20532339939603006	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.01	1	500	20	0.01	5000	f1	20	11.8059	-0.40970500000000004	0.40970500000000004	9.2546	12.6564	False	0.17009	17.202082543866876	-0.13989587280665622	-0.2698091271933438	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.01	1	500	20	0.01	5000	f2	80	45.1727	-0.43534125	0.43534125	40.8205	48.0241	False	0.09004499999999993	68.59995209967968	-0.14250059875400395	-0.29284065124599606	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.01	1	500	20	0.01	5000	f3	200	137.5191	-0.3124045	0.3124045	131.7162	142.4215	False	0.053526500000000116	207.49827987920602	0.03749139939603012	-0.34989589939603005	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.01	3	500	1	0	5000	f1	20	0.0	-1.0	1.0	0.0	0.0	False	0.0	0.0	-1.0	0.0	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.01	3	500	1	0	5000	f2	80	54.567	-0.3179125	0.3179125	47.4935	59.6195	False	0.15157500000000007	67.43757894736844	-0.15703026315789453	-0.16088223684210545	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.01	3	500	1	0	5000	f3	200	134.3965	-0.32801749999999996	0.32801749999999996	123.281	141.47	False	0.09094499999999997	164.4978788598575	-0.17751060570071245	-0.1505068942992875	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.01	3	500	1	0.001	5000	f1	20	0.0	-1.0	1.0	0.0	0.0	False	0.0	0.0	-1.0	0.0	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.01	3	500	1	0.001	5000	f2	80	53.5565	-0.33054375	0.33054375	46.483	58.609	False	0.15157500000000007	67.43757894736844	-0.15703026315789453	-0.17351348684210546	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.01	3	500	1	0.001	5000	f3	200	131.365	-0.34317499999999995	0.34317499999999995	121.26	138.4385	False	0.0858925	164.4978788598575	-0.17751060570071245	-0.1656643942992875	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.01	3	500	1	0.01	5000	f1	20	0.0	-1.0	1.0	0.0	0.0	False	0.0	0.0	-1.0	0.0	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.01	3	500	1	0.01	5000	f2	80	44.462	-0.444225	0.444225	36.378	49.5145	False	0.16420624999999997	67.43757894736844	-0.15703026315789453	-0.2871947368421054	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.01	3	500	1	0.01	5000	f3	200	108.1235	-0.45938249999999997	0.45938249999999997	99.029	119.239	False	0.10105000000000004	164.4978788598575	-0.17751060570071245	-0.2818718942992875	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.01	3	500	5	0	5000	f1	20	6.6033	-0.669835	0.669835	5.0025	7.2036	False	0.11005499999999997	7.8694676188930375	-0.6065266190553482	-0.06330838094465188	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.01	3	500	5	0	5000	f2	80	65.0322	-0.18709749999999997	0.18709749999999997	58.4289	68.8341	False	0.1300650000000001	79.5551537258989	-0.005560578426263696	-0.18153692157373627	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.01	3	500	5	0	5000	f3	200	162.2803	-0.18859849999999995	0.18859849999999995	155.4769	167.683	False	0.06103049999999996	197.18592954069754	-0.014070352296512283	-0.17452814770348765	diagnostic_kmer_10_90_spread_not_sampling_CI
