seed	unit_substitution_rate	array_fragments	fragment_gap_bp	assembly_fraction	family_id	true_assembly_bp	predicted_assembly_bp	overlap_bp	base_recall	base_precision	fragments	truth_fragments
5401	0.05	3	500	0.5	f2	6840	0	0	0.0	NA	0	3
5401	0.05	3	500	0.5	f3	42100	0	0	0.0	NA	0	3
5401	0.05	3	500	0.25	f1	305	0	0	0.0	NA	0	3
5401	0.05	3	500	0.25	f2	3420	0	0	0.0	NA	0	3
5401	0.05	3	500	0.25	f3	21050	0	0	0.0	NA	0	3
5401	0.05	3	500	0	f1	0	0	0	NA	NA	0	0
5401	0.05	3	500	0	f2	0	0	0	NA	NA	0	0
5401	0.05	3	500	0	f3	0	0	0	NA	NA	0	0
5402	0.01	1	500	1	f1	1220	0	0	0.0	NA	0	1
5402	0.01	1	500	1	f2	13680	13662	13662	0.9986842105263158	1.0	1	1
5402	0.01	1	500	1	f3	84200	84147	84147	0.9993705463182898	1.0	2	1
5402	0.01	1	500	0.75	f1	915	0	0	0.0	NA	0	1
5402	0.01	1	500	0.75	f2	10260	10216	10216	0.9957115009746589	1.0	1	1
5402	0.01	1	500	0.75	f3	63150	63097	63097	0.9991607284243864	1.0	2	1
5402	0.01	1	500	0.5	f1	610	0	0	0.0	NA	0	1
5402	0.01	1	500	0.5	f2	6840	6822	6822	0.9973684210526316	1.0	1	1
5402	0.01	1	500	0.5	f3	42100	42047	42047	0.9987410926365796	1.0	2	1
5402	0.01	1	500	0.25	f1	305	289	289	0.9475409836065574	1.0	1	1
5402	0.01	1	500	0.25	f2	3420	3402	3402	0.9947368421052631	1.0	1	1
5402	0.01	1	500	0.25	f3	21050	20997	20997	0.9974821852731591	1.0	2	1
5402	0.01	1	500	0	f1	0	0	0	NA	NA	0	0
5402	0.01	1	500	0	f2	0	0	0	NA	NA	0	0
5402	0.01	1	500	0	f3	0	0	0	NA	NA	0	0
5402	0.01	3	500	1	f1	1220	407	407	0.3336065573770492	1.0	1	3
5402	0.01	3	500	1	f2	13680	9045	9045	0.6611842105263158	1.0	2	3
5402	0.01	3	500	1	f3	84200	84107	84106	0.9988836104513064	0.9999881103832023	4	3
5402	0.01	3	500	0.75	f1	915	589	586	0.6404371584699453	0.9949066213921901	2	3
5402	0.01	3	500	0.75	f2	10260	6796	6796	0.6623781676413255	1.0	2	3
5402	0.01	3	500	0.75	f3	63150	63099	63097	0.9991607284243864	0.9999683037766051	4	3
5402	0.01	3	500	0.5	f1	610	244	244	0.4	1.0	1	3
5402	0.01	3	500	0.5	f2	6840	2376	2376	0.3473684210526316	1.0	1	3
5402	0.01	3	500	0.5	f3	42100	35218	35217	0.8365083135391924	0.999971605429042	3	3
5402	0.01	3	500	0.25	f1	305	170	167	0.5475409836065573	0.9823529411764705	2	3
5402	0.01	3	500	0.25	f2	3420	3400	3400	0.9941520467836257	1.0	3	3
5402	0.01	3	500	0.25	f3	21050	13887	13886	0.659667458432304	0.9999279902066681	2	3
5402	0.01	3	500	0	f1	0	0	0	NA	NA	0	0
5402	0.01	3	500	0	f2	0	0	0	NA	NA	0	0
5402	0.01	3	500	0	f3	0	0	0	NA	NA	0	0
5402	0.03	1	500	1	f1	1220	0	0	0.0	NA	0	1
5402	0.03	1	500	1	f2	13680	0	0	0.0	NA	0	1
5402	0.03	1	500	1	f3	84200	0	0	0.0	NA	0	1
5402	0.03	1	500	0.75	f1	915	0	0	0.0	NA	0	1
5402	0.03	1	500	0.75	f2	10260	0	0	0.0	NA	0	1
5402	0.03	1	500	0.75	f3	63150	0	0	0.0	NA	0	1
5402	0.03	1	500	0.5	f1	610	0	0	0.0	NA	0	1
5402	0.03	1	500	0.5	f2	6840	0	0	0.0	NA	0	1
5402	0.03	1	500	0.5	f3	42100	0	0	0.0	NA	0	1
5402	0.03	1	500	0.25	f1	305	0	0	0.0	NA	0	1
5402	0.03	1	500	0.25	f2	3420	0	0	0.0	NA	0	1
5402	0.03	1	500	0.25	f3	21050	0	0	0.0	NA	0	1
5402	0.03	1	500	0	f1	0	0	0	NA	NA	0	0
5402	0.03	1	500	0	f2	0	0	0	NA	NA	0	0
5402	0.03	1	500	0	f3	0	0	0	NA	NA	0	0
5402	0.03	3	500	1	f1	1220	0	0	0.0	NA	0	3
5402	0.03	3	500	1	f2	13680	0	0	0.0	NA	0	3
5402	0.03	3	500	1	f3	84200	0	0	0.0	NA	0	3
5402	0.03	3	500	0.75	f1	915	0	0	0.0	NA	0	3
5402	0.03	3	500	0.75	f2	10260	0	0	0.0	NA	0	3
5402	0.03	3	500	0.75	f3	63150	0	0	0.0	NA	0	3
5402	0.03	3	500	0.5	f1	610	0	0	0.0	NA	0	3
5402	0.03	3	500	0.5	f2	6840	0	0	0.0	NA	0	3
5402	0.03	3	500	0.5	f3	42100	0	0	0.0	NA	0	3
5402	0.03	3	500	0.25	f1	305	0	0	0.0	NA	0	3
5402	0.03	3	500	0.25	f2	3420	0	0	0.0	NA	0	3
5402	0.03	3	500	0.25	f3	21050	0	0	0.0	NA	0	3
5402	0.03	3	500	0	f1	0	0	0	NA	NA	0	0
5402	0.03	3	500	0	f2	0	0	0	NA	NA	0	0
5402	0.03	3	500	0	f3	0	0	0	NA	NA	0	0
5402	0.05	1	500	1	f1	1220	0	0	0.0	NA	0	1
5402	0.05	1	500	1	f2	13680	0	0	0.0	NA	0	1
5402	0.05	1	500	1	f3	84200	0	0	0.0	NA	0	1
5402	0.05	1	500	0.75	f1	915	0	0	0.0	NA	0	1
5402	0.05	1	500	0.75	f2	10260	0	0	0.0	NA	0	1
5402	0.05	1	500	0.75	f3	63150	0	0	0.0	NA	0	1
5402	0.05	1	500	0.5	f1	610	0	0	0.0	NA	0	1
5402	0.05	1	500	0.5	f2	6840	0	0	0.0	NA	0	1
5402	0.05	1	500	0.5	f3	42100	0	0	0.0	NA	0	1
5402	0.05	1	500	0.25	f1	305	0	0	0.0	NA	0	1
5402	0.05	1	500	0.25	f2	3420	0	0	0.0	NA	0	1
5402	0.05	1	500	0.25	f3	21050	0	0	0.0	NA	0	1
5402	0.05	1	500	0	f1	0	0	0	NA	NA	0	0
5402	0.05	1	500	0	f2	0	0	0	NA	NA	0	0
5402	0.05	1	500	0	f3	0	0	0	NA	NA	0	0
5402	0.05	3	500	1	f1	1220	0	0	0.0	NA	0	3
5402	0.05	3	500	1	f2	13680	0	0	0.0	NA	0	3
5402	0.05	3	500	1	f3	84200	0	0	0.0	NA	0	3
5402	0.05	3	500	0.75	f1	915	0	0	0.0	NA	0	3
