variant	full_child_seconds	peak_rss_mib	native_alignment_seconds	native_calls	all_seven_products_identical	elastic_source_sha256	profile_sha256
reused_rows	139.01486912486143	173.359375	104.133799257	39438	True	1356870c1ab7ff2dfbbca39b88d26682ec1496a86d51672f01c033dc2400052a	35732245ef08aaf3fe58e495262c3803f2997b9bc9f36bab10171d511f4d3692
inplace_rows	124.86047654086724	184.21875	93.374260011	39438	True	050987f40298ab7262c7e2b5f1e21c03e861c4eb1f8be456d352e4fb3d490457	9542300aff534c6ccc71482e992dd7d9aa3642639a519e21362783f3be33ce1e
