run_id	material	tool	read_count	total_bases	input_Gb	runtime_seconds	peak_rss_mib	throughput_Mbp_per_second	runtime_ratio_to_trf	rss_ratio_to_trf	observed_in_scope_calls	observed_call_density_per_Mbp	observed_positive_read_fraction	observed_union_base_fraction
ChineseSpring_random_12Mb_v1_20260906	Chinese Spring	tandemx	765	12698239	0.012698239	13.409682375146076	97.078125	0.9469455461178791	0.40784773620112363	0.49450811843361986	876	68.9859436414766	0.5738562091503268	0.034008967700166925
ChineseSpring_random_12Mb_v1_20260906	Chinese Spring	trf	765	12698239	0.012698239	32.87913891603239	196.3125	0.3862095972899137	1.0	1.0	1100	86.62618493792722	0.5071895424836601	0.030607393670886177
ChineseSpring_random_12Mb_v1_20260906	Chinese Spring	tidehunter	765	12698239	0.012698239	4.537300624884665	150.953125	2.79863294275829	0.13799937511965088	0.768943011779688	1204	94.81629696842217	0.5986928104575163	0.043298129764292516
ChineseSpring_random_126Mb_v1_20260906	Chinese Spring	tandemx	7633	126730796	0.126730796	139.52895791595802	223.828125	0.9082759442404301	0.4199044297121139	0.7175415748347025	8607	67.91561539627669	0.5894143849076379	0.0385097320780657
ChineseSpring_random_126Mb_v1_20260906	Chinese Spring	trf	7633	126730796	0.126730796	332.2874159999192	311.9375	0.38138909238750957	1.0	1.0	10674	84.22577887067008	0.5252194418970261	0.033617053900616235
ChineseSpring_random_126Mb_v1_20260906	Chinese Spring	tidehunter	7633	126730796	0.126730796	48.22982741612941	413.5	2.6276435722350864	0.14514491098315063	1.3255860548988179	11889	93.8130302598273	0.6077557971963842	0.045542726647120564
Lo7_random_11Mb_v1_20260906	Lo7	tandemx	693	11639976	0.011639976	13.159110458102077	106.640625	0.8845564475699994	0.4069708208776657	0.6383874286783275	671	57.646166968041854	0.5714285714285714	0.07926683010342976
Lo7_random_11Mb_v1_20260906	Lo7	trf	693	11639976	0.011639976	32.334284875076264	167.046875	0.3599886635801945	1.0	1.0	818	70.27505898637591	0.4733044733044733	0.07512369441311563
Lo7_random_11Mb_v1_20260906	Lo7	tidehunter	693	11639976	0.011639976	4.498090249951929	277.140625	2.587759549761012	0.1391120993499727	1.6590590216069592	884	75.94517377011773	0.5945165945165946	0.08555481557693934
Morex_random_12Mb_v1_20260906	Morex	tandemx	572	12542086	0.012542086	22.14313541701995	127.8125	0.5664096689017101	0.8106283348819469	0.7474415204678363	795	63.386584974780114	0.6818181818181818	0.03584172521221749
Morex_random_12Mb_v1_20260906	Morex	trf	572	12542086	0.012542086	27.316014582989737	171.0	0.4591477267628281	1.0	1.0	1088	86.74793012900726	0.5856643356643356	0.03333855309236438
Morex_random_12Mb_v1_20260906	Morex	tidehunter	572	12542086	0.012542086	6.455658708000556	257.640625	1.9428049974910353	0.2363323788829953	1.5066703216374269	1595	127.17182771669721	0.7027972027972028	0.04795980509143375
Morex_random_115Mb_v1_20260906	Morex	tandemx	5294	115272341	0.115272341	159.5995080000721	173.03125	0.7222600022046931	0.5813219827055008	0.9666550279329609	7094	61.541215685035844	0.6703815640347563	0.03623483277744832
Morex_random_115Mb_v1_20260906	Morex	trf	5294	115272341	0.115272341	274.5457986248657	179.0	0.4198656165105116	1.0	1.0	9217	79.95846982928889	0.5774461654703438	0.03213014473263799
Morex_random_115Mb_v1_20260906	Morex	tidehunter	5294	115272341	0.115272341	60.409408500185236	489.8125	1.9081852291211647	0.22003399360966922	2.736382681564246	12740	110.5208750813866	0.690970910464677	0.046921221110621844
