stage	exit_code	wall_seconds	user_cpu_seconds	system_cpu_seconds	peak_process_tree_rss_mib	peak_process_count	peak_scratch_bytes	sample_count	stdout_log	stderr_log
tidehunter	0	25.415284	0.357762	1.821367	23.671875	1	89584	113	tidehunter.stdout.log	tidehunter.stderr.log
clustering	0	46.569934	0.661430	3.549120	23.421875	1	201166	204	clustering.stdout.log	clustering.stderr.log
