tool	exit_code	runtime_seconds	peak_rss_mib	cpu_user_seconds	cpu_system_seconds	timed_out	observed_in_scope_calls	observed_positive_reads	observed_union_bp	observed_union_base_fraction	normalization	warning
tidehunter	0	46.330491750035435	450.640625	41.183347	4.389537	False	10249	4044	4519080	0.03977112059278286	ok	descriptive_real_input_pilot_no_accuracy_truth_no_resource_ranking
tandemx	0	104.78418533410877	212.75	100.542397	1.83358	False	8353	4246	3881609	0.03416092205338946	ok	descriptive_real_input_pilot_no_accuracy_truth_no_resource_ranking
trf	0	140.9574844171293	333.859375	135.599119	3.086979	False	10760	3793	3725470	0.03278678771670224	ok	descriptive_real_input_pilot_no_accuracy_truth_no_resource_ranking
