method	unit_substitution_rate	array_fragments	coverage	substitution_rate	assembly_fraction	family_observations	available	unavailable	TP	FN	FP	TN	sensitivity	false_positive_rate	precision
multik_fallback_depth_rule	0.03	1	1	0.01	0.75	9	9	0	0	0	2	7	NA	0.2222222222222222	0.0
multik_fallback_depth_rule	0.03	1	1	0.01	1	9	9	0	0	0	1	8	NA	0.1111111111111111	0.0
multik_fallback_depth_rule	0.03	1	5	0	0	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.03	1	5	0	0.25	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.03	1	5	0	0.5	9	9	0	7	2	0	0	0.7777777777777778	NA	1.0
multik_fallback_depth_rule	0.03	1	5	0	0.75	9	9	0	0	0	1	8	NA	0.1111111111111111	0.0
multik_fallback_depth_rule	0.03	1	5	0	1	9	9	0	0	0	0	9	NA	0.0	NA
multik_fallback_depth_rule	0.03	1	5	0.001	0	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.03	1	5	0.001	0.25	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.03	1	5	0.001	0.5	9	9	0	7	2	0	0	0.7777777777777778	NA	1.0
multik_fallback_depth_rule	0.03	1	5	0.001	0.75	9	9	0	0	0	1	8	NA	0.1111111111111111	0.0
multik_fallback_depth_rule	0.03	1	5	0.001	1	9	9	0	0	0	0	9	NA	0.0	NA
multik_fallback_depth_rule	0.03	1	5	0.01	0	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.03	1	5	0.01	0.25	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.03	1	5	0.01	0.5	9	9	0	7	2	0	0	0.7777777777777778	NA	1.0
multik_fallback_depth_rule	0.03	1	5	0.01	0.75	9	9	0	0	0	1	8	NA	0.1111111111111111	0.0
multik_fallback_depth_rule	0.03	1	5	0.01	1	9	9	0	0	0	0	9	NA	0.0	NA
multik_fallback_depth_rule	0.03	1	20	0	0	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.03	1	20	0	0.25	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.03	1	20	0	0.5	9	9	0	8	1	0	0	0.8888888888888888	NA	1.0
multik_fallback_depth_rule	0.03	1	20	0	0.75	9	9	0	0	0	0	9	NA	0.0	NA
multik_fallback_depth_rule	0.03	1	20	0	1	9	9	0	0	0	0	9	NA	0.0	NA
multik_fallback_depth_rule	0.03	1	20	0.001	0	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.03	1	20	0.001	0.25	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.03	1	20	0.001	0.5	9	9	0	8	1	0	0	0.8888888888888888	NA	1.0
multik_fallback_depth_rule	0.03	1	20	0.001	0.75	9	9	0	0	0	0	9	NA	0.0	NA
multik_fallback_depth_rule	0.03	1	20	0.001	1	9	9	0	0	0	0	9	NA	0.0	NA
multik_fallback_depth_rule	0.03	1	20	0.01	0	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.03	1	20	0.01	0.25	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.03	1	20	0.01	0.5	9	9	0	8	1	0	0	0.8888888888888888	NA	1.0
multik_fallback_depth_rule	0.03	1	20	0.01	0.75	9	9	0	0	0	0	9	NA	0.0	NA
multik_fallback_depth_rule	0.03	1	20	0.01	1	9	9	0	0	0	0	9	NA	0.0	NA
multik_fallback_depth_rule	0.03	3	1	0	0	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.03	3	1	0	0.25	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.03	3	1	0	0.5	9	9	0	5	4	0	0	0.5555555555555556	NA	1.0
multik_fallback_depth_rule	0.03	3	1	0	0.75	9	9	0	0	0	1	8	NA	0.1111111111111111	0.0
multik_fallback_depth_rule	0.03	3	1	0	1	9	9	0	0	0	1	8	NA	0.1111111111111111	0.0
multik_fallback_depth_rule	0.03	3	1	0.001	0	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.03	3	1	0.001	0.25	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.03	3	1	0.001	0.5	9	9	0	5	4	0	0	0.5555555555555556	NA	1.0
multik_fallback_depth_rule	0.03	3	1	0.001	0.75	9	9	0	0	0	1	8	NA	0.1111111111111111	0.0
multik_fallback_depth_rule	0.03	3	1	0.001	1	9	9	0	0	0	1	8	NA	0.1111111111111111	0.0
multik_fallback_depth_rule	0.03	3	1	0.01	0	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.03	3	1	0.01	0.25	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.03	3	1	0.01	0.5	9	9	0	5	4	0	0	0.5555555555555556	NA	1.0
multik_fallback_depth_rule	0.03	3	1	0.01	0.75	9	9	0	0	0	1	8	NA	0.1111111111111111	0.0
multik_fallback_depth_rule	0.03	3	1	0.01	1	9	9	0	0	0	1	8	NA	0.1111111111111111	0.0
multik_fallback_depth_rule	0.03	3	5	0	0	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.03	3	5	0	0.25	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.03	3	5	0	0.5	9	9	0	7	2	0	0	0.7777777777777778	NA	1.0
multik_fallback_depth_rule	0.03	3	5	0	0.75	9	9	0	0	0	1	8	NA	0.1111111111111111	0.0
multik_fallback_depth_rule	0.03	3	5	0	1	9	9	0	0	0	1	8	NA	0.1111111111111111	0.0
multik_fallback_depth_rule	0.03	3	5	0.001	0	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.03	3	5	0.001	0.25	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.03	3	5	0.001	0.5	9	9	0	7	2	0	0	0.7777777777777778	NA	1.0
multik_fallback_depth_rule	0.03	3	5	0.001	0.75	9	9	0	0	0	1	8	NA	0.1111111111111111	0.0
multik_fallback_depth_rule	0.03	3	5	0.001	1	9	9	0	0	0	1	8	NA	0.1111111111111111	0.0
multik_fallback_depth_rule	0.03	3	5	0.01	0	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.03	3	5	0.01	0.25	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.03	3	5	0.01	0.5	9	9	0	7	2	0	0	0.7777777777777778	NA	1.0
multik_fallback_depth_rule	0.03	3	5	0.01	0.75	9	9	0	0	0	1	8	NA	0.1111111111111111	0.0
multik_fallback_depth_rule	0.03	3	5	0.01	1	9	9	0	0	0	1	8	NA	0.1111111111111111	0.0
multik_fallback_depth_rule	0.03	3	20	0	0	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.03	3	20	0	0.25	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.03	3	20	0	0.5	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.03	3	20	0	0.75	9	9	0	0	0	1	8	NA	0.1111111111111111	0.0
multik_fallback_depth_rule	0.03	3	20	0	1	9	9	0	0	0	0	9	NA	0.0	NA
multik_fallback_depth_rule	0.03	3	20	0.001	0	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.03	3	20	0.001	0.25	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.03	3	20	0.001	0.5	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.03	3	20	0.001	0.75	9	9	0	0	0	1	8	NA	0.1111111111111111	0.0
multik_fallback_depth_rule	0.03	3	20	0.001	1	9	9	0	0	0	0	9	NA	0.0	NA
multik_fallback_depth_rule	0.03	3	20	0.01	0	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.03	3	20	0.01	0.25	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.03	3	20	0.01	0.5	9	9	0	8	1	0	0	0.8888888888888888	NA	1.0
multik_fallback_depth_rule	0.03	3	20	0.01	0.75	9	9	0	0	0	1	8	NA	0.1111111111111111	0.0
multik_fallback_depth_rule	0.03	3	20	0.01	1	9	9	0	0	0	0	9	NA	0.0	NA
multik_fallback_depth_rule	0.05	1	1	0	0	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.05	1	1	0	0.25	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.05	1	1	0	0.5	9	9	0	6	3	0	0	0.6666666666666666	NA	1.0
multik_fallback_depth_rule	0.05	1	1	0	0.75	9	9	0	0	0	2	7	NA	0.2222222222222222	0.0
multik_fallback_depth_rule	0.05	1	1	0	1	9	9	0	0	0	1	8	NA	0.1111111111111111	0.0
multik_fallback_depth_rule	0.05	1	1	0.001	0	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.05	1	1	0.001	0.25	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.05	1	1	0.001	0.5	9	9	0	6	3	0	0	0.6666666666666666	NA	1.0
multik_fallback_depth_rule	0.05	1	1	0.001	0.75	9	9	0	0	0	2	7	NA	0.2222222222222222	0.0
multik_fallback_depth_rule	0.05	1	1	0.001	1	9	9	0	0	0	1	8	NA	0.1111111111111111	0.0
multik_fallback_depth_rule	0.05	1	1	0.01	0	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.05	1	1	0.01	0.25	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.05	1	1	0.01	0.5	9	9	0	6	3	0	0	0.6666666666666666	NA	1.0
multik_fallback_depth_rule	0.05	1	1	0.01	0.75	9	9	0	0	0	2	7	NA	0.2222222222222222	0.0
multik_fallback_depth_rule	0.05	1	1	0.01	1	9	9	0	0	0	1	8	NA	0.1111111111111111	0.0
multik_fallback_depth_rule	0.05	1	5	0	0	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.05	1	5	0	0.25	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.05	1	5	0	0.5	9	9	0	7	2	0	0	0.7777777777777778	NA	1.0
multik_fallback_depth_rule	0.05	1	5	0	0.75	9	9	0	0	0	1	8	NA	0.1111111111111111	0.0
multik_fallback_depth_rule	0.05	1	5	0	1	9	9	0	0	0	1	8	NA	0.1111111111111111	0.0
multik_fallback_depth_rule	0.05	1	5	0.001	0	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.05	1	5	0.001	0.25	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.05	1	5	0.001	0.5	9	9	0	7	2	0	0	0.7777777777777778	NA	1.0
multik_fallback_depth_rule	0.05	1	5	0.001	0.75	9	9	0	0	0	1	8	NA	0.1111111111111111	0.0
multik_fallback_depth_rule	0.05	1	5	0.001	1	9	9	0	0	0	1	8	NA	0.1111111111111111	0.0
multik_fallback_depth_rule	0.05	1	5	0.01	0	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.05	1	5	0.01	0.25	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.05	1	5	0.01	0.5	9	9	0	7	2	0	0	0.7777777777777778	NA	1.0
multik_fallback_depth_rule	0.05	1	5	0.01	0.75	9	9	0	0	0	1	8	NA	0.1111111111111111	0.0
multik_fallback_depth_rule	0.05	1	5	0.01	1	9	9	0	0	0	1	8	NA	0.1111111111111111	0.0
multik_fallback_depth_rule	0.05	1	20	0	0	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.05	1	20	0	0.25	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.05	1	20	0	0.5	9	9	0	7	2	0	0	0.7777777777777778	NA	1.0
multik_fallback_depth_rule	0.05	1	20	0	0.75	9	9	0	0	0	0	9	NA	0.0	NA
multik_fallback_depth_rule	0.05	1	20	0	1	9	9	0	0	0	0	9	NA	0.0	NA
multik_fallback_depth_rule	0.05	1	20	0.001	0	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.05	1	20	0.001	0.25	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.05	1	20	0.001	0.5	9	9	0	7	2	0	0	0.7777777777777778	NA	1.0
multik_fallback_depth_rule	0.05	1	20	0.001	0.75	9	9	0	0	0	0	9	NA	0.0	NA
multik_fallback_depth_rule	0.05	1	20	0.001	1	9	9	0	0	0	0	9	NA	0.0	NA
multik_fallback_depth_rule	0.05	1	20	0.01	0	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.05	1	20	0.01	0.25	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.05	1	20	0.01	0.5	9	9	0	7	2	0	0	0.7777777777777778	NA	1.0
multik_fallback_depth_rule	0.05	1	20	0.01	0.75	9	9	0	0	0	0	9	NA	0.0	NA
multik_fallback_depth_rule	0.05	1	20	0.01	1	9	9	0	0	0	0	9	NA	0.0	NA
multik_fallback_depth_rule	0.05	3	1	0	0	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.05	3	1	0	0.25	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.05	3	1	0	0.5	9	9	0	5	4	0	0	0.5555555555555556	NA	1.0
multik_fallback_depth_rule	0.05	3	1	0	0.75	9	9	0	0	0	2	7	NA	0.2222222222222222	0.0
multik_fallback_depth_rule	0.05	3	1	0	1	9	9	0	0	0	1	8	NA	0.1111111111111111	0.0
multik_fallback_depth_rule	0.05	3	1	0.001	0	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.05	3	1	0.001	0.25	9	9	0	9	0	0	0	1.0	NA	1.0
multik_fallback_depth_rule	0.05	3	1	0.001	0.5	9	9	0	5	4	0	0	0.5555555555555556	NA	1.0
multik_fallback_depth_rule	0.05	3	1	0.001	0.75	9	9	0	0	0	2	7	NA	0.2222222222222222	0.0
