seed	unit_substitution_rate	array_fragments	fragment_gap_bp	coverage	substitution_rate	assembly_fraction	family_id	truth_assembly_read_ratio	truth_underrepresented	assembly_predicted_bp	period	estimated_haploid_depth	method	read_estimated_copies	read_estimated_bp	predicted_assembly_read_ratio	native_status	predicted_underrepresented	outcome	fit_status	decision_threshold
5501	0.01	1	500	20	0	0.5	f1	0.5	True	607.0	61	19.99	single_k21	14.9575	912.4075	0.6652729180766269	consistent	False	FN	single_k_baseline	0.6
5501	0.01	1	500	20	0	0.5	f1	0.5	True	607.0	61	19.99	multik_loglinear	17.91965982214244	1093.0992491506888	0.5553018177184039	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	20	0	0.5	f2	0.5	True	6840.0	171	19.99	single_k21	68.8846	11779.2666	0.5806813133849946	possible_collapse	True	TP	single_k_baseline	0.6
5501	0.01	1	500	20	0	0.5	f2	0.5	True	6840.0	171	19.99	multik_loglinear	84.00707221342869	14365.209348496304	0.4761503876527901	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	20	0	0.5	f3	0.5	True	42101.0	421	19.99	single_k21	168.1344	70784.5824	0.5947764127799672	possible_collapse	True	TP	single_k_baseline	0.6
5501	0.01	1	500	20	0	0.5	f3	0.5	True	42101.0	421	19.99	multik_loglinear	208.81861272640737	87912.6359578175	0.4788958895533632	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	20	0	0.25	f1	0.25	True	306.0	61	19.99	single_k21	14.9575	912.4075	0.33537646281951866	possible_collapse	True	TP	single_k_baseline	0.6
5501	0.01	1	500	20	0	0.25	f1	0.25	True	306.0	61	19.99	multik_loglinear	17.91965982214244	1093.0992491506888	0.2799379838909911	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	20	0	0.25	f2	0.25	True	3420.0	171	19.99	single_k21	68.8846	11779.2666	0.2903406566924973	possible_collapse	True	TP	single_k_baseline	0.6
5501	0.01	1	500	20	0	0.25	f2	0.25	True	3420.0	171	19.99	multik_loglinear	84.00707221342869	14365.209348496304	0.23807519382639505	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	20	0	0.25	f3	0.25	True	21042.0	421	19.99	single_k21	168.1344	70784.5824	0.29726812374328565	possible_collapse	True	TP	single_k_baseline	0.6
5501	0.01	1	500	20	0	0.25	f3	0.25	True	21042.0	421	19.99	multik_loglinear	208.81861272640737	87912.6359578175	0.23935125787942968	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	20	0	0	f1	0.0	True	0.0	61	19.99	single_k21	14.9575	912.4075	0.0	reads_only	True	TP	single_k_baseline	0.6
5501	0.01	1	500	20	0	0	f1	0.0	True	0.0	61	19.99	multik_loglinear	17.91965982214244	1093.0992491506888	0.0	reads_only	True	TP	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	20	0	0	f2	0.0	True	0.0	171	19.99	single_k21	68.8846	11779.2666	0.0	reads_only	True	TP	single_k_baseline	0.6
5501	0.01	1	500	20	0	0	f2	0.0	True	0.0	171	19.99	multik_loglinear	84.00707221342869	14365.209348496304	0.0	reads_only	True	TP	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	20	0	0	f3	0.0	True	0.0	421	19.99	single_k21	168.1344	70784.5824	0.0	reads_only	True	TP	single_k_baseline	0.6
5501	0.01	1	500	20	0	0	f3	0.0	True	0.0	421	19.99	multik_loglinear	208.81861272640737	87912.6359578175	0.0	reads_only	True	TP	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	20	0.001	1	f1	1.0	False	1221.0	61	19.99	single_k21	14.7074	897.1514	1.3609743015504407	consistent	False	TN	single_k_baseline	0.6
5501	0.01	1	500	20	0.001	1	f1	1.0	False	1221.0	61	19.99	multik_loglinear	17.92763030444592	1093.5854485712011	1.1165108328711482	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	20	0.001	1	f2	1.0	False	13674.0	171	19.99	single_k21	67.4339	11531.196899999999	1.1858265987982566	consistent	False	TN	single_k_baseline	0.6
5501	0.01	1	500	20	0.001	1	f2	1.0	False	13674.0	171	19.99	multik_loglinear	84.05112344979187	14372.74210991441	0.9513842171124456	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	20	0.001	1	f3	1.0	False	84201.0	421	19.99	single_k21	164.6327	69310.3667	1.2148399151378317	consistent	False	TN	single_k_baseline	0.6
5501	0.01	1	500	20	0.001	1	f3	1.0	False	84201.0	421	19.99	multik_loglinear	208.82264378205284	87914.33303224425	0.9577619154446373	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	20	0.001	0.75	f1	0.75	False	916.0	61	19.99	single_k21	14.7074	897.1514	1.0210093859297327	consistent	False	TN	single_k_baseline	0.6
5501	0.01	1	500	20	0.001	0.75	f1	0.75	False	916.0	61	19.99	multik_loglinear	17.92763030444592	1093.5854485712011	0.8376117304749974	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	20	0.001	0.75	f2	0.75	False	10260.0	171	19.99	single_k21	67.4339	11531.196899999999	0.8897601947981654	consistent	False	TN	single_k_baseline	0.6
5501	0.01	1	500	20	0.001	0.75	f2	0.75	False	10260.0	171	19.99	multik_loglinear	84.05112344979187	14372.74210991441	0.713851255490251	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	20	0.001	0.75	f3	0.75	False	63137.0	421	19.99	single_k21	164.6327	69310.3667	0.9109315533314009	consistent	False	TN	single_k_baseline	0.6
5501	0.01	1	500	20	0.001	0.75	f3	0.75	False	63137.0	421	19.99	multik_loglinear	208.82264378205284	87914.33303224425	0.7181650343277166	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	20	0.001	0.5	f1	0.5	True	607.0	61	19.99	single_k21	14.7074	897.1514	0.6765859140385893	consistent	False	FN	single_k_baseline	0.6
