offset_from_native_1based	monomer_rows	width_discrepancies	forward_matches	strand_adjusted_matches	outside_reference
-2	360	0	0	0	0
-1	360	0	0	0	0
0	360	0	213	360	0
1	360	0	0	0	0
2	360	0	0	0	0
