seed	condition_id	family_id	k	diagnostic_kmer_count	total_exposure	valid_windows	mean_corrected_count	uncorrected_copy_number
6301	condition_001	f019	27	171	9988376	9988376	0.0	0.0
6301	condition_001	f019	31	171	9985488	9985488	0.0	0.0
6301	condition_001	f020	15	165	9997040	9997040	27.05454545454478	27.062555971112232
6301	condition_001	f020	21	171	9992708	9992708	23.321637426901106	23.338655974837955
6301	condition_001	f020	27	171	9988376	9988376	20.327485380117395	20.35114154705169
6301	condition_001	f020	31	171	9985488	9985488	18.538011695906818	18.5649531559267
6301	condition_001	f021	15	171	9997040	9997040	38.82456140350973	38.83605687634513
6301	condition_001	f021	21	171	9992708	9992708	38.748538011696866	38.776814064512706
6301	condition_001	f021	27	171	9988376	9988376	38.67836257310037	38.723374623763036
6301	condition_001	f021	31	171	9985488	9985488	38.63157894736938	38.68772257036349
6301	condition_001	f022	15	171	9997040	9997040	41.450292397661784	41.462565316995615
6301	condition_001	f022	21	171	9992708	9992708	37.17543859649207	37.20256670813564
6301	condition_001	f022	27	171	9988376	9988376	33.2807017543867	33.31943226244857
6301	condition_001	f022	31	171	9985488	9985488	30.906432748538677	30.951349346710625
6301	condition_001	f023	15	171	9997040	9997040	39.83625730994251	39.8480523334332
6301	condition_001	f023	21	171	9992708	9992708	39.76608187134602	39.79510045860042
6301	condition_001	f023	27	171	9988376	9988376	39.695906432749524	39.74210265287322
6301	condition_001	f023	31	171	9985488	9985488	39.64912280701853	39.70674523570459
6301	condition_001	f024	15	171	9997040	9997040	15.046783625731349	15.051238792413903
6301	condition_001	f024	21	171	9992708	9992708	13.473684210526628	13.48351639067871
6301	condition_001	f024	27	171	9988376	9988376	12.10526315789501	12.119350691138388
6301	condition_001	f024	31	171	9985488	9985488	11.251461988304342	11.267813839748586
6301	condition_001	f025	15	171	9997040	9997040	93.07017543859892	93.09773236737966
6301	condition_001	f025	21	171	9992708	9992708	92.96491228070418	93.03275176328998
6301	condition_001	f025	27	171	9988376	9988376	92.85964912280944	92.96771479448655
6301	condition_001	f025	31	171	9985488	9985488	92.78947368421295	92.92432546532824
6301	condition_001	f026	15	171	9997040	9997040	38.22807017543961	38.239389034593856
6301	condition_001	f026	21	171	9992708	9992708	34.368421052632485	34.39350079341104
6301	condition_001	f026	27	171	9988376	9988376	30.818713450293203	30.85457881270509
6301	condition_001	f026	31	171	9985488	9985488	28.62573099415279	28.667333027842794
6301	condition_001	f027	15	171	9997040	9997040	0.017543859649122806	0.017549054169156877
6301	condition_001	f027	21	171	9992708	9992708	0.0	0.0
6301	condition_001	f027	27	171	9988376	9988376	0.0	0.0
6301	condition_001	f027	31	171	9985488	9985488	0.0	0.0
6301	condition_001	f028	15	171	9997040	9997040	26.59649122807086	26.604366120442513
6301	condition_001	f028	21	171	9992708	9992708	23.771929824562008	23.789276965325122
6301	condition_001	f028	27	171	9988376	9988376	21.233918128655503	21.258629159190146
6301	condition_001	f028	31	171	9985488	9985488	19.60818713450341	19.636683890164818
6301	condition_001	f029	15	170	9997040	9997040	68.20000000001045	68.2201931771909
6301	condition_001	f029	21	171	9992708	9992708	68.16374269006035	68.21348396256585
6301	condition_001	f029	27	171	9988376	9988376	68.1286549707621	68.2079398800787
6301	condition_001	f029	31	171	9985488	9985488	68.1052631578966	68.20424115265733
6301	condition_001	f030	15	171	9997040	9997040	125.39181286550036	125.42893983169054
6301	condition_001	f030	21	171	9992708	9992708	112.36842105263449	112.4504198988247
6301	condition_001	f030	27	171	9988376	9988376	100.74853801169849	100.86578439948444
6301	condition_001	f030	31	171	9985488	9985488	93.70175438596729	93.83793199287535
6301	condition_001	f031	15	171	9997040	9997040	89.05263157894976	89.0789989626427
6301	condition_001	f031	21	171	9992708	9992708	88.94152046783864	89.00642395218458
6301	condition_001	f031	27	171	9988376	9988376	88.87134502924215	88.97476930107771
6301	condition_001	f031	31	171	9985488	9985488	88.82456140351115	88.95365094175783
6301	condition_001	f032	15	171	9997040	9997040	0.017543859649122806	0.017549054169156877
6301	condition_001	f032	21	171	9992708	9992708	0.0	0.0
6301	condition_001	f032	27	171	9988376	9988376	0.0	0.0
