seed	unit_substitution_rate	array_fragments	fragment_gap_bp	locate_identity_model	locate_min_identity	assembly_fraction	family_id	true_assembly_bp	predicted_assembly_bp	overlap_bp	base_recall	base_precision	fragments	truth_fragments
5302	0.03	1	500	iid_base	0.9	1	f1	1220	1067	1067	0.8745901639344262	1.0	3	1
5302	0.03	1	500	iid_base	0.9	1	f2	13680	13653	13653	0.9980263157894737	1.0	1	1
5302	0.03	1	500	iid_base	0.9	1	f3	84200	84200	84200	1.0	1.0	1	1
5302	0.03	1	500	iid_base	0.9	0.75	f1	915	762	762	0.8327868852459016	1.0	3	1
5302	0.03	1	500	iid_base	0.9	0.75	f2	10260	10244	10244	0.9984405458089669	1.0	1	1
5302	0.03	1	500	iid_base	0.9	0.75	f3	63150	63135	63135	0.9997624703087886	1.0	1	1
5302	0.03	1	500	iid_base	0.9	0.5	f1	610	485	485	0.7950819672131147	1.0	2	1
5302	0.03	1	500	iid_base	0.9	0.5	f2	6840	6824	6824	0.9976608187134502	1.0	1	1
5302	0.03	1	500	iid_base	0.9	0.5	f3	42100	42100	42100	1.0	1.0	1	1
5302	0.03	1	500	iid_base	0.9	0.25	f1	305	305	305	1.0	1.0	1	1
5302	0.03	1	500	iid_base	0.9	0.25	f2	3420	3374	3374	0.9865497076023392	1.0	1	1
5302	0.03	1	500	iid_base	0.9	0.25	f3	21050	21050	21050	1.0	1.0	1	1
5302	0.03	1	500	iid_base	0.9	0	f1	0	0	0	NA	NA	0	0
5302	0.03	1	500	iid_base	0.9	0	f2	0	0	0	NA	NA	0	0
5302	0.03	1	500	iid_base	0.9	0	f3	0	0	0	NA	NA	0	0
5302	0.03	3	500	iid_base	0.9	1	f1	1220	1054	1054	0.8639344262295082	1.0	4	3
5302	0.03	3	500	iid_base	0.9	1	f2	13680	13642	13637	0.9968567251461988	0.9996334848262718	3	3
5302	0.03	3	500	iid_base	0.9	1	f3	84200	84198	84194	0.9999287410926366	0.9999524929333238	3	3
5302	0.03	3	500	iid_base	0.9	0.75	f1	915	753	753	0.8229508196721311	1.0	4	3
5302	0.03	3	500	iid_base	0.9	0.75	f2	10260	10196	10194	0.9935672514619883	0.9998038446449589	3	3
5302	0.03	3	500	iid_base	0.9	0.75	f3	63150	63122	63121	0.9995407759303246	0.9999841576629385	3	3
5302	0.03	3	500	iid_base	0.9	0.5	f1	610	486	485	0.7950819672131147	0.9979423868312757	3	3
5302	0.03	3	500	iid_base	0.9	0.5	f2	6840	6761	6761	0.9884502923976608	1.0	3	3
5302	0.03	3	500	iid_base	0.9	0.5	f3	42100	42093	42090	0.9997624703087886	0.9999287292423918	3	3
5302	0.03	3	500	iid_base	0.9	0.25	f1	305	262	261	0.8557377049180328	0.9961832061068703	3	3
5302	0.03	3	500	iid_base	0.9	0.25	f2	3420	3327	3322	0.9713450292397661	0.998497144574692	3	3
5302	0.03	3	500	iid_base	0.9	0.25	f3	21050	21047	21044	0.9997149643705463	0.9998574618710505	3	3
5302	0.03	3	500	iid_base	0.9	0	f1	0	0	0	NA	NA	0	0
5302	0.03	3	500	iid_base	0.9	0	f2	0	0	0	NA	NA	0	0
5302	0.03	3	500	iid_base	0.9	0	f3	0	0	0	NA	NA	0	0
5302	0.05	1	500	iid_base	0.9	1	f1	1220	1057	1057	0.8663934426229508	1.0	3	1
5302	0.05	1	500	iid_base	0.9	1	f2	13680	13575	13575	0.9923245614035088	1.0	1	1
5302	0.05	1	500	iid_base	0.9	1	f3	84200	84200	84200	1.0	1.0	1	1
5302	0.05	1	500	iid_base	0.9	0.75	f1	915	765	765	0.8360655737704918	1.0	3	1
5302	0.05	1	500	iid_base	0.9	0.75	f2	10260	10167	10167	0.9909356725146199	1.0	1	1
5302	0.05	1	500	iid_base	0.9	0.75	f3	63150	63150	63150	1.0	1.0	1	1
5302	0.05	1	500	iid_base	0.9	0.5	f1	610	543	543	0.8901639344262295	1.0	1	1
5302	0.05	1	500	iid_base	0.9	0.5	f2	6840	6721	6721	0.9826023391812866	1.0	1	1
