source_run	scenario	seed	tool	original_status	truth_array_count	predicted_array_count	matched_array_count	array_recall	array_precision	array_f1	read_detection_recall	read_detection_precision	negative_read_count	false_positive_read_count	negative_read_call_rate	matched_period_mae_bp	matched_boundary_mae_bp	warning	base_union_recall	base_union_precision	base_union_f1	predicted_union_bp	truth_union_bp	duplicated_prediction_bp	duplicate_bp_fraction	array_recall_ci_low	array_recall_ci_high	array_precision_ci_low	array_precision_ci_high	negative_read_call_rate_ci_low	negative_read_call_rate_ci_high	truth_family_count	recovered_family_count	sequence_family_recall	family_criterion	cyclic_monomer_recall	distinct_consensus_count	homologous_consensus_fraction	unmatched_distinct_consensus_count	mean_best_cyclic_edit_similarity
elastic_development_v2_20260906	substitution_1pct	1101	tandemx	ok	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	1.6	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	0.9999930381509329	0.9984499033796277	0.9992208749852175	143862	143640	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0
elastic_development_v2_20260906	substitution_5pct	1101	tandemx	ok	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.02857142857142857	1.9642857142857142	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	0.9993943191311613	0.9986920920266312	0.9990430821801024	143741	143640	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0
elastic_development_v2_20260906	indel_01pct	1101	tandemx	ok	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	1.5642857142857143	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	0.9999721537668992	0.998505460283476	0.9992382688180645	143857	143646	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0
elastic_development_v2_20260906	indel_1pct	1101	tandemx	ok	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	1.4642857142857142	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	0.9999373337603922	0.998637043218247	0.9992867654989336	143805	143618	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0
elastic_development_v2_20260906	indel_4pct	1101	tandemx	ok	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.14285714285714285	1.7428571428571429	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	0.9995682030281504	0.99873352539212	0.9991506898904251	143706	143586	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0
elastic_development_v2_20260906	divergent_units	1101	tandemx	ok	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	3.1142857142857143	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	0.9983987747145642	0.99856561942959	0.9984821901022085	143616	143640	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0
elastic_development_v2_20260906	related_families	1101	tandemx	ok	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	1.4285714285714286	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	1.0	0.9986095661846496	0.9993042994295255	143840	143640	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0
elastic_development_v2_20260906	short_arrays	1101	tandemx	ok	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	1.2214285714285715	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	1.0	0.995260663507109	0.997624703087886	36081	35910	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0
elastic_development_v2_20260906	two_arrays	1101	tandemx	ok	140	140	140	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	1.65	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	1.0	0.9975935243929118	0.9987953126711203	191982	191520	0	0.0	0.9732937996305869	1.0	0.9732937996305869	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0
elastic_development_v2_20260906	dispersed_control	1101	tandemx	ok	0	0	0	NA	NA	NA	NA	NA	100	0	0.0	NA	NA	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0.0	0.03699349820698568	0	0	NA	equal_length_circular_ungapped_identity_ge_0.9	NA	0	NA	0	NA
