family_id	truth_bp	estimated_bp	absolute_relative_error	excess_bp
truth_f1	45144	43095.0	0.04538809144072302	0
truth_f2	55404	52981.0	0.043733304454552015	0
truth_f3	43092	41499.0	0.03696741854636591	0
