[M::mm_idx_gen::0.003*0.92] collected minimizers
[M::mm_idx_gen::0.004*1.81] sorted minimizers
[M::main::0.004*1.81] loaded/built the index for 22 target sequence(s)
[M::mm_mapopt_update::0.004*1.79] mid_occ = 50
[M::worker_pipeline::220.486*3.98] mapped 2231 sequences
[M::worker_pipeline::222.879*3.98] mapped 2257 sequences
[M::worker_pipeline::224.980*3.98] mapped 2243 sequences
[M::worker_pipeline::227.207*3.98] mapped 2223 sequences
[M::worker_pipeline::229.334*3.98] mapped 2252 sequences
[M::worker_pipeline::231.465*3.98] mapped 2236 sequences
[M::worker_pipeline::233.498*3.98] mapped 2247 sequences
[M::worker_pipeline::235.599*3.98] mapped 2239 sequences
[M::worker_pipeline::237.647*3.98] mapped 2243 sequences
[M::worker_pipeline::240.037*3.98] mapped 2256 sequences
[M::worker_pipeline::242.180*3.98] mapped 2248 sequences
[M::worker_pipeline::244.139*3.98] mapped 2258 sequences
[M::worker_pipeline::246.372*3.98] mapped 2271 sequences
[M::worker_pipeline::248.556*3.98] mapped 2260 sequences
[M::worker_pipeline::250.759*3.98] mapped 2245 sequences
[M::worker_pipeline::252.745*3.98] mapped 2258 sequences
[M::worker_pipeline::254.580*3.99] mapped 2244 sequences
[M::worker_pipeline::256.845*3.99] mapped 2250 sequences
[M::worker_pipeline::258.807*3.99] mapped 2243 sequences
[M::worker_pipeline::260.768*3.99] mapped 2248 sequences
[M::worker_pipeline::262.839*3.99] mapped 2243 sequences
[M::worker_pipeline::264.754*3.99] mapped 2251 sequences
[M::worker_pipeline::266.874*3.99] mapped 2255 sequences
[M::worker_pipeline::269.231*3.99] mapped 2261 sequences
[M::worker_pipeline::271.441*3.99] mapped 2264 sequences
[M::worker_pipeline::273.475*3.99] mapped 2251 sequences
[M::worker_pipeline::275.676*3.99] mapped 2248 sequences
[M::worker_pipeline::278.189*3.99] mapped 2261 sequences
[M::worker_pipeline::280.188*3.99] mapped 2250 sequences
[M::worker_pipeline::282.399*3.99] mapped 2253 sequences
[M::worker_pipeline::284.734*3.99] mapped 2231 sequences
[M::worker_pipeline::287.172*3.99] mapped 2242 sequences
[M::worker_pipeline::289.448*3.98] mapped 2244 sequences
[M::worker_pipeline::291.522*3.98] mapped 2262 sequences
[M::worker_pipeline::293.471*3.99] mapped 2231 sequences
[M::worker_pipeline::295.333*3.99] mapped 2244 sequences
[M::worker_pipeline::297.173*3.99] mapped 2276 sequences
[M::worker_pipeline::299.219*3.99] mapped 2252 sequences
[M::worker_pipeline::301.443*3.99] mapped 2243 sequences
[M::worker_pipeline::303.575*3.99] mapped 2242 sequences
[M::worker_pipeline::305.674*3.99] mapped 2266 sequences
[M::worker_pipeline::307.893*3.99] mapped 2248 sequences
