method	coverage	error_model	unit_substitution_rate	array_scope	family_conditions	estimates_available	mean_signed_relative_error	mean_absolute_relative_error	median_absolute_relative_error	mean_estimator_minus_oracle
multik_loglinear	5	error_free	0.01	megabase	3	3	-0.020977456453762592	0.058009019317084694	0.055547344294983154	-0.0003540536895024565
multik_loglinear	5	error_free	0.02	factorial	81	81	0.07499515903880336	0.281877516171646	0.2654369413033261	0.0014404984321221726
multik_loglinear	5	iid_high_indel	0.0	factorial	81	80	0.04522418354176935	0.25704405423810733	0.19480443231389438	0.01265118961902999
multik_loglinear	5	iid_high_indel	0.01	megabase	3	3	-0.009088727885916444	0.054759344199167774	0.06330398631936396	0.011534674878343695
multik_loglinear	5	iid_high_indel	0.02	factorial	81	81	0.08775935616875816	0.2881929716675176	0.27408144506895554	0.014204695562076979
multik_loglinear	5	iid_low_indel	0.0	factorial	81	80	0.03636924963642485	0.25296880902433705	0.188958158579078	0.003796255713685484
multik_loglinear	5	iid_low_indel	0.01	megabase	3	3	-0.018567122895118648	0.05701725260695169	0.05767519456774956	0.002056279869141488
multik_loglinear	5	iid_low_indel	0.02	factorial	81	81	0.07804346877001903	0.28318037037562044	0.2715390081549306	0.004488808163337845
native_median_k21	1	error_free	0.0	factorial	81	81	-0.011242512345679006	0.641710938271605	0.54884875	-0.0016818254979909803
native_median_k21	1	error_free	0.01	megabase	3	3	-0.2102412166666667	0.2102412166666667	0.22688911666666672	-0.18987034908947076
native_median_k21	1	error_free	0.02	factorial	81	81	-0.2617099722222222	0.4683589907407407	0.450395	-0.40039336318573165
native_median_k21	1	iid_high_indel	0.0	factorial	81	81	-0.34560233333333334	0.552841462962963	0.500325	-0.33604164648564533
native_median_k21	1	iid_high_indel	0.01	megabase	3	3	-0.47599175000000005	0.47599175000000005	0.4818388333333333	-0.4556208824228041
native_median_k21	1	iid_high_indel	0.02	factorial	81	81	-0.5114676234567901	0.5434908827160494	0.550295	-0.6501510144202995
native_median_k21	1	iid_low_indel	0.0	factorial	81	81	-0.07352788580246915	0.6171409783950618	0.530347	-0.0639671989547811
native_median_k21	1	iid_low_indel	0.01	megabase	3	3	-0.25705252777777776	0.25705252777777776	0.2735308333333334	-0.23668166020058184
native_median_k21	1	iid_low_indel	0.02	factorial	81	81	-0.3052391666666667	0.47239375308641973	0.45039999999999997	-0.44392255763017613
native_median_k21	20	error_free	0.0	factorial	81	81	0.012464283950617279	0.14143187037037036	0.11380250000000007	-0.0017367347282222893
native_median_k21	20	error_free	0.01	megabase	3	3	-0.21064871111111105	0.21064871111111105	0.21112131666666664	-0.19101214408666056
native_median_k21	20	error_free	0.02	factorial	81	81	-0.34790770679012345	0.34803017592592594	0.347525	-0.34846374222516896
native_median_k21	20	iid_high_indel	0.0	factorial	81	81	-0.3278993796296296	0.3278993796296296	0.31629149999999995	-0.3421003983084692
native_median_k21	20	iid_high_indel	0.01	megabase	3	3	-0.4747836166666667	0.4747836166666667	0.47520688333333333	-0.45514704964221614
native_median_k21	20	iid_high_indel	0.02	factorial	81	81	-0.565864925925926	0.565864925925926	0.567768	-0.5664209613609714
native_median_k21	20	iid_low_indel	0.0	factorial	81	81	-0.04880443827160493	0.1334802160493827	0.09746000000000006	-0.0630054569504445
native_median_k21	20	iid_low_indel	0.01	megabase	3	3	-0.2570991444444444	0.2570991444444444	0.25753176666666666	-0.23746257741999394
native_median_k21	20	iid_low_indel	0.02	factorial	81	81	-0.3865591481481481	0.3865591481481481	0.387525	-0.38711518358319363
native_median_k21	5	error_free	0.0	factorial	81	81	0.017375645061728395	0.2603916203703704	0.19007199999999996	-0.002449534121224069
native_median_k21	5	error_free	0.01	megabase	3	3	-0.21133213333333334	0.21133213333333334	0.2289020833333334	-0.1907087305690732
native_median_k21	5	error_free	0.02	factorial	81	81	-0.30287228086419754	0.3194569475308642	0.28102050000000006	-0.37642694147087874
native_median_k21	5	iid_high_indel	0.0	factorial	81	81	-0.3241028024691358	0.34205625925925925	0.33004	-0.34392798165208827
native_median_k21	5	iid_high_indel	0.01	megabase	3	3	-0.47614888888888884	0.47614888888888884	0.4866654	-0.45552548612462873
native_median_k21	5	iid_high_indel	0.02	factorial	81	81	-0.5357954722222222	0.5357954722222222	0.5130305	-0.6093501328289034
native_median_k21	5	iid_low_indel	0.0	factorial	81	81	-0.04443122222222223	0.25214383950617286	0.19003499999999995	-0.06425640140517469
native_median_k21	5	iid_low_indel	0.01	megabase	3	3	-0.2583358055555556	0.2583358055555556	0.2744028	-0.2377124027912954
native_median_k21	5	iid_low_indel	0.02	factorial	81	81	-0.3450357314814815	0.3542010524691358	0.31753125000000004	-0.4185903920881627
