seed	condition_id	family_id	monomer_length	extrapolated_copy_number	uncorrected_mean_k21	log_slope_per_base	effective_word_loss_probability	max_absolute_log_residual	leave_one_k_out_log_range	status	warning
6301	condition_001	f018	61	241.21956377873846	161.8885409273229	-0.01893912769545817	0.018760909290359125	0.001077810681356095	0.004775132155411477	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_001	f019	171	NA	0.0	NA	NA	NA	NA	zero_support_at_one_or_more_k_not_absence	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_001	f020	171	38.39169704317601	23.338655974837437	-0.02349670392123551	0.02322280580189466	0.004299390459544028	0.021913091170774113	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_001	f021	171	38.97374760595281	38.77681406451175	-0.0002384659537358974	0.00023843752299031835	5.8003780159346895e-05	0.00030377846732410063	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_001	f022	171	54.57053180156944	37.202566708134796	-0.018279255274371842	0.018113202997650894	0.0007480907304893702	0.004286664820530195	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_001	f023	171	39.98102361981547	39.79510045859944	-0.00022202312774158013	0.0002219984824309308	1.354298218205624e-06	9.508707951244588e-06	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_001	f024	171	19.72332989450425	13.483516390678398	-0.018058795842158186	0.017896712929123704	0.001099549673054867	0.00437074321586417	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_001	f025	171	93.26062940614001	93.03275176328755	-0.00011652123541580307	0.00011651444708031595	5.063002272032852e-07	3.554001954064745e-06	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_001	f026	171	50.14052353561176	34.393500793410134	-0.018005755276153956	0.01784462023340203	0.001158942753123171	0.007765332566384231	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_001	f027	171	NA	0.0	NA	NA	NA	NA	zero_support_at_one_or_more_k_not_absence	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_001	f028	171	35.37585023268316	23.789276965324518	-0.018932393121563452	0.018754301040942507	0.0019081147840244173	0.010483682044241771	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_001	f029	171	68.23476875596484	68.21348396256398	-1.4535834606175504e-05	1.4535728961443533e-05	6.730853774402777e-06	3.547812194870659e-05	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_001	f030	171	164.61425724869014	112.45041989882179	-0.018136254060069006	0.01797278195342101	0.00023115428827319429	0.0015956535291996587	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_001	f031	171	89.18320851730591	89.00642395218219	-8.585806708688015e-05	8.585438138852126e-05	0.00018121076973638098	0.0009564745048376011	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_001	f032	171	NA	0.0	NA	NA	NA	NA	zero_support_at_one_or_more_k_not_absence	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_001	f033	171	130.411442760677	130.21190958879964	-7.039349643638373e-05	7.03910188723486e-05	5.293636229624396e-05	0.000279137818789188	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_001	f034	171	180.32316356573466	120.9244354082412	-0.018997013902207264	0.01881770785529164	0.0006474526101820643	0.004282402237757665	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_001	f035	171	266.66680467181226	266.4281975703232	-4.1395652848687815e-05	4.139479606047291e-05	2.586800884645554e-05	0.00013638945628624555	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_001	f036	171	183.8616878658654	117.83446290204408	-0.021179533793401765	0.020956822545484557	0.0007404093311967896	0.0019414131804253998	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_001	f037	421	37.600493271201415	37.549946741829224	-6.168937836095979e-05	6.168747561038522e-05	4.973239679498644e-05	0.0002622826281140078	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_001	f038	421	48.332473364394374	34.31718561193824	-0.016350491868855035	0.016217548128034887	0.001344291093420158	0.00907135773333101	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_001	f039	421	NA	0.0	NA	NA	NA	NA	zero_support_at_one_or_more_k_not_absence	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_001	f040	421	6.932520056404035	4.133655591823829	-0.02475366338563073	0.024449803835802295	0.002765686163862968	0.015314065484673733	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_001	f041	421	20.708039180709424	20.62786844499551	-0.00017826680249772686	0.0001782509139154401	0.00013538957052602494	0.0007134919136038143	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_001	f042	421	29.200236516946223	18.502803408140704	-0.02161836663807026	0.02138636459262775	0.002268853558278272	0.01491956371365255	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_001	f043	421	22.643821574303626	22.54137779026186	-0.0001970155370020263	0.00019699613071558377	0.0003970770678429769	0.0020954975509779317	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_001	f044	421	90.17694099972599	61.98106357493175	-0.017886544670224852	0.017727529916398373	0.0006725988891784773	0.004658765807621812	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_001	f045	421	62.81755375775936	62.81302415983018	-3.434202846170138e-06	3.434196949302294e-06	8.459651836182735e-09	5.936990543631282e-08	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_001	f046	421	54.119907775115074	35.674469880443944	-0.019803536347276003	0.019608734363414808	0.0008925323676858277	0.004141885908056864	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_001	f047	421	120.07968637422267	119.95445416089574	-4.8951248000988255e-05	4.895004990819729e-05	1.5477230814298082e-05	8.146427474464701e-05	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_001	f048	421	51.03549340954255	32.39416814570163	-0.021689856877840388	0.02145632341534904	0.0011352803534880884	0.008225799648255983	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_001	f049	421	318.47968191715387	318.23680887485574	-3.535101226496661e-05	3.535038742529546e-05	2.0521042509459835e-05	0.00010818918796484667	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_001	f050	421	165.41583052493093	110.4154317974748	-0.019253620525563835	0.019069453429003954	0.00017842213537910823	0.001174493449485503	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_001	f051	421	41.61301947586023	41.56475082152471	-5.205261678240339e-05	5.2051262068452016e-05	6.75094660900846e-05	0.00035623398492168334	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_001	f052	421	235.60493179453402	157.6803011406749	-0.01914188959378407	0.018959847021925373	0.0005570865358034416	0.0038173987973566526	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
