panel	sample_id	category	metric	value	count
F	morex_100mb	299	period_bp	50	NA
F	morex_100mb	300	period_bp	42	NA
F	morex_100mb	301	period_bp	45	NA
F	morex_100mb	302	period_bp	48	NA
F	morex_100mb	303	period_bp	48	NA
F	morex_100mb	304	period_bp	48	NA
F	morex_100mb	305	period_bp	48	NA
F	morex_100mb	306	period_bp	48	NA
F	morex_100mb	307	period_bp	56	NA
F	morex_100mb	308	period_bp	46	NA
F	morex_100mb	309	period_bp	57	NA
F	morex_100mb	310	period_bp	48	NA
F	morex_100mb	311	period_bp	41	NA
F	morex_100mb	312	period_bp	48	NA
F	morex_100mb	313	period_bp	42	NA
F	morex_100mb	314	period_bp	48	NA
F	morex_100mb	315	period_bp	45	NA
F	morex_100mb	316	period_bp	48	NA
F	morex_100mb	317	period_bp	53	NA
F	morex_100mb	318	period_bp	45	NA
F	morex_100mb	319	period_bp	45	NA
F	morex_100mb	320	period_bp	170	NA
F	morex_100mb	321	period_bp	227	NA
F	morex_100mb	322	period_bp	72	NA
F	morex_100mb	323	period_bp	49	NA
F	morex_100mb	324	period_bp	99	NA
F	morex_100mb	325	period_bp	51	NA
F	morex_100mb	326	period_bp	57	NA
F	morex_100mb	327	period_bp	135	NA
F	morex_100mb	328	period_bp	153	NA
F	morex_100mb	329	period_bp	48	NA
F	morex_100mb	330	period_bp	42	NA
F	morex_100mb	331	period_bp	48	NA
F	morex_100mb	332	period_bp	42	NA
F	morex_100mb	333	period_bp	48	NA
F	morex_100mb	334	period_bp	147	NA
F	morex_100mb	335	period_bp	42	NA
F	morex_100mb	336	period_bp	675	NA
F	morex_100mb	337	period_bp	420	NA
F	morex_100mb	338	period_bp	402	NA
F	morex_100mb	339	period_bp	70	NA
F	morex_100mb	340	period_bp	43	NA
F	morex_100mb	341	period_bp	42	NA
F	morex_100mb	342	period_bp	71	NA
F	morex_100mb	343	period_bp	398	NA
F	morex_100mb	344	period_bp	41	NA
F	morex_100mb	345	period_bp	70	NA
F	morex_100mb	346	period_bp	46	NA
F	morex_100mb	347	period_bp	76	NA
F	morex_100mb	348	period_bp	71	NA
F	morex_100mb	349	period_bp	141	NA
F	morex_100mb	350	period_bp	70	NA
F	morex_100mb	351	period_bp	42	NA
F	morex_100mb	352	period_bp	141	NA
F	morex_100mb	353	period_bp	47	NA
F	morex_100mb	354	period_bp	402	NA
F	morex_100mb	355	period_bp	110	NA
F	morex_100mb	356	period_bp	259	NA
F	morex_100mb	357	period_bp	82	NA
F	morex_100mb	358	period_bp	57	NA
F	morex_100mb	359	period_bp	45	NA
F	morex_100mb	360	period_bp	51	NA
F	morex_100mb	361	period_bp	82	NA
F	morex_100mb	362	period_bp	675	NA
F	morex_100mb	363	period_bp	675	NA
F	morex_100mb	364	period_bp	70	NA
F	morex_100mb	365	period_bp	46	NA
F	morex_100mb	366	period_bp	70	NA
F	morex_100mb	367	period_bp	675	NA
F	morex_100mb	368	period_bp	40	NA
F	morex_100mb	369	period_bp	675	NA
F	morex_100mb	370	period_bp	141	NA
F	morex_100mb	371	period_bp	146	NA
F	morex_100mb	372	period_bp	75	NA
F	morex_100mb	373	period_bp	675	NA
F	morex_100mb	374	period_bp	70	NA
F	morex_100mb	375	period_bp	70	NA
F	morex_100mb	376	period_bp	70	NA
F	morex_100mb	377	period_bp	70	NA
F	morex_100mb	378	period_bp	675	NA
F	morex_100mb	379	period_bp	61	NA
F	morex_100mb	380	period_bp	71	NA
F	morex_100mb	381	period_bp	47	NA
F	morex_100mb	382	period_bp	52	NA
F	morex_100mb	383	period_bp	410	NA
F	morex_100mb	384	period_bp	68	NA
F	morex_100mb	385	period_bp	71	NA
F	morex_100mb	386	period_bp	163	NA
F	morex_100mb	387	period_bp	675	NA
F	morex_100mb	388	period_bp	70	NA
F	morex_100mb	389	period_bp	393	NA
F	morex_100mb	390	period_bp	70	NA
F	morex_100mb	391	period_bp	82	NA
F	morex_100mb	392	period_bp	46	NA
F	morex_100mb	393	period_bp	61	NA
F	morex_100mb	394	period_bp	61	NA
F	morex_100mb	395	period_bp	675	NA
F	morex_100mb	396	period_bp	71	NA
F	morex_100mb	397	period_bp	71	NA
F	morex_100mb	398	period_bp	61	NA
F	morex_100mb	399	period_bp	675	NA
F	morex_100mb	400	period_bp	141	NA
F	morex_100mb	401	period_bp	141	NA
F	morex_100mb	402	period_bp	55	NA
F	morex_100mb	403	period_bp	45	NA
F	morex_100mb	404	period_bp	70	NA
F	morex_100mb	405	period_bp	82	NA
F	morex_100mb	406	period_bp	70	NA
F	morex_100mb	407	period_bp	139	NA
F	morex_100mb	408	period_bp	70	NA
F	morex_100mb	409	period_bp	71	NA
F	morex_100mb	410	period_bp	61	NA
F	morex_100mb	411	period_bp	76	NA
F	morex_100mb	412	period_bp	334	NA
F	morex_100mb	413	period_bp	145	NA
F	morex_100mb	414	period_bp	71	NA
F	morex_100mb	415	period_bp	47	NA
F	morex_100mb	416	period_bp	69	NA
F	morex_100mb	417	period_bp	139	NA
F	morex_100mb	418	period_bp	675	NA
F	morex_100mb	419	period_bp	163	NA
F	morex_100mb	420	period_bp	141	NA
F	morex_100mb	421	period_bp	71	NA
F	morex_100mb	422	period_bp	141	NA
F	morex_100mb	423	period_bp	139	NA
F	morex_100mb	424	period_bp	61	NA
F	morex_100mb	425	period_bp	141	NA
F	morex_100mb	426	period_bp	61	NA
F	morex_100mb	427	period_bp	163	NA
F	morex_100mb	428	period_bp	79	NA
F	morex_100mb	429	period_bp	138	NA
F	morex_100mb	430	period_bp	675	NA
F	morex_100mb	431	period_bp	146	NA
F	morex_100mb	432	period_bp	139	NA
F	morex_100mb	433	period_bp	141	NA
F	morex_100mb	434	period_bp	141	NA
F	morex_100mb	435	period_bp	398	NA
F	morex_100mb	436	period_bp	82	NA
F	morex_100mb	437	period_bp	78	NA
F	morex_100mb	438	period_bp	141	NA
F	morex_100mb	439	period_bp	70	NA
F	morex_100mb	440	period_bp	71	NA
F	morex_100mb	441	period_bp	70	NA
F	morex_100mb	442	period_bp	410	NA
F	morex_100mb	443	period_bp	71	NA
F	morex_100mb	444	period_bp	675	NA
F	morex_100mb	445	period_bp	138	NA
F	morex_100mb	446	period_bp	71	NA
F	morex_100mb	447	period_bp	675	NA
F	morex_100mb	448	period_bp	107	NA
F	morex_100mb	449	period_bp	70	NA
F	morex_100mb	450	period_bp	61	NA
F	morex_100mb	451	period_bp	70	NA
F	morex_100mb	452	period_bp	141	NA
F	morex_100mb	453	period_bp	70	NA
F	morex_100mb	454	period_bp	70	NA
F	morex_100mb	455	period_bp	41	NA
F	morex_100mb	456	period_bp	76	NA
F	morex_100mb	457	period_bp	70	NA
F	morex_100mb	458	period_bp	85	NA
F	morex_100mb	459	period_bp	219	NA
F	morex_100mb	460	period_bp	61	NA
F	morex_100mb	461	period_bp	71	NA
F	morex_100mb	462	period_bp	42	NA
F	morex_100mb	463	period_bp	675	NA
F	morex_100mb	464	period_bp	70	NA
F	morex_100mb	465	period_bp	61	NA
F	morex_100mb	466	period_bp	913	NA
F	morex_100mb	467	period_bp	75	NA
F	morex_100mb	468	period_bp	68	NA
F	morex_100mb	469	period_bp	82	NA
F	morex_100mb	470	period_bp	675	NA
F	morex_100mb	471	period_bp	43	NA
F	morex_100mb	472	period_bp	43	NA
F	morex_100mb	473	period_bp	42	NA
F	morex_100mb	474	period_bp	420	NA
F	morex_100mb	475	period_bp	68	NA
F	morex_100mb	476	period_bp	68	NA
F	morex_100mb	477	period_bp	68	NA
F	morex_100mb	478	period_bp	70	NA
F	morex_100mb	479	period_bp	76	NA
F	morex_100mb	480	period_bp	75	NA
F	morex_100mb	481	period_bp	724	NA
F	morex_100mb	482	period_bp	42	NA
F	morex_100mb	483	period_bp	393	NA
F	morex_100mb	484	period_bp	52	NA
F	morex_100mb	485	period_bp	47	NA
F	morex_100mb	486	period_bp	402	NA
F	morex_100mb	487	period_bp	44	NA
F	morex_100mb	488	period_bp	445	NA
F	morex_100mb	489	period_bp	82	NA
F	morex_100mb	490	period_bp	445	NA
F	morex_100mb	491	period_bp	445	NA
F	morex_100mb	492	period_bp	145	NA
F	morex_100mb	493	period_bp	145	NA
F	morex_100mb	494	period_bp	49	NA
F	morex_100mb	495	period_bp	656	NA
F	morex_100mb	496	period_bp	75	NA
F	morex_100mb	497	period_bp	70	NA
F	morex_100mb	498	period_bp	78	NA
F	morex_100mb	499	period_bp	476	NA
F	morex_100mb	500	period_bp	58	NA
F	morex_100mb	501	period_bp	70	NA
F	morex_100mb	502	period_bp	61	NA
F	morex_100mb	503	period_bp	675	NA
F	morex_100mb	504	period_bp	42	NA
F	morex_100mb	505	period_bp	47	NA
F	morex_100mb	506	period_bp	70	NA
F	morex_100mb	507	period_bp	70	NA
F	morex_100mb	508	period_bp	73	NA
F	morex_100mb	509	period_bp	402	NA
F	morex_100mb	510	period_bp	70	NA
F	morex_100mb	511	period_bp	82	NA
F	morex_100mb	512	period_bp	445	NA
F	morex_100mb	513	period_bp	71	NA
F	morex_100mb	514	period_bp	429	NA
F	morex_100mb	515	period_bp	163	NA
F	morex_100mb	516	period_bp	75	NA
F	morex_100mb	517	period_bp	61	NA
F	morex_100mb	518	period_bp	70	NA
F	morex_100mb	519	period_bp	141	NA
F	morex_100mb	520	period_bp	58	NA
F	morex_100mb	521	period_bp	71	NA
F	morex_100mb	522	period_bp	80	NA
F	morex_100mb	523	period_bp	71	NA
F	morex_100mb	524	period_bp	49	NA
F	morex_100mb	525	period_bp	410	NA
F	morex_100mb	526	period_bp	70	NA
F	morex_100mb	527	period_bp	709	NA
F	morex_100mb	528	period_bp	46	NA
F	morex_100mb	529	period_bp	675	NA
F	morex_100mb	530	period_bp	71	NA
F	morex_100mb	531	period_bp	450	NA
F	morex_100mb	532	period_bp	57	NA
F	morex_100mb	533	period_bp	675	NA
F	morex_100mb	534	period_bp	70	NA
F	morex_100mb	535	period_bp	393	NA
F	morex_100mb	536	period_bp	70	NA
F	morex_100mb	537	period_bp	450	NA
F	morex_100mb	538	period_bp	56	NA
F	morex_100mb	539	period_bp	70	NA
F	morex_100mb	540	period_bp	141	NA
F	morex_100mb	541	period_bp	139	NA
F	morex_100mb	542	period_bp	675	NA
F	morex_100mb	543	period_bp	141	NA
F	morex_100mb	544	period_bp	44	NA
F	morex_100mb	545	period_bp	71	NA
F	morex_100mb	546	period_bp	70	NA
F	morex_100mb	547	period_bp	675	NA
F	morex_100mb	548	period_bp	141	NA
