scenario	dataset_id	seed	split	tool	repetition	total_bases	exit_code	runtime_seconds	peak_rss_mib	timed_out	status	error	truth_array_count	predicted_array_count	matched_array_count	array_recall	array_precision	array_f1	read_detection_recall	read_detection_precision	negative_read_count	false_positive_read_count	negative_read_call_rate	matched_period_mae_bp	matched_boundary_mae_bp	warning	array_recall_ci_low	array_recall_ci_high	array_precision_ci_low	array_precision_ci_high	negative_read_call_rate_ci_low	negative_read_call_rate_ci_high	truth_family_count	recovered_family_count	sequence_family_recall	family_criterion	prediction_sha256	catalog_sha256
clean_171	clean_171_s1101	1101	development	ultra	1	50000	0	166.57787445792928	425.5	False	ok		7	7	7	1.0	1.0	1.0	1.0	1.0	3	0	0.0	1.0	13.285714285714286	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	0.6456695649333126	1.0	0.6456695649333126	1.0	0.0	0.5614970317550454	3	0	0.0	equal_length_circular_ungapped_identity_ge_0.9	a38d22139637fc4133183d8313674a3ab54ff94019c492c4469798c4a16633e1	53a6841fdd9667cfa6fd75392be4ca501aecc8442be3c32c7b7a93dfb45700e1
indel_4pct	indel_4pct_s1101	1101	development	ultra	1	50003	0	176.80707966699265	427.96875	False	ok		7	7	7	1.0	1.0	1.0	1.0	1.0	3	0	0.0	1.1428571428571428	27.857142857142858	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	0.6456695649333126	1.0	0.6456695649333126	1.0	0.0	0.5614970317550454	3	0	0.0	equal_length_circular_ungapped_identity_ge_0.9	8970828c1b881ded5079df341333aef4d429e84b4871eb54cdec00275ea2ea80	0b6cca313b516ff7f64cf0242c478e294131392ef75206074077e832e09be2d0
