seed	condition_id	coverage	error_model	substitution_rate	insertion_rate	deletion_rate	unit_substitution_rate	period	requested_gc	founder_gc	array_scope	source_coverage	observed_coverage	read_count	total_bases	family_id	truth_copies	estimate	signed_relative_error	absolute_relative_error	interval_low	interval_high	interval_contains_truth	interval_relative_width	sampling_oracle_copy_estimate	oracle_relative_error	estimator_minus_sampling_oracle	interval_kind
6301	condition_001	1	error_free	0	0	0	0.02	61	0.7	0.639344262295082	factorial	1.0007148	1.0007148	722	10007148	f018	200	161.8843	-0.1905785	0.1905785	154.8893	166.8807	False	0.059956999999999996	238.27230590655768	0.19136152953278837	-0.3819400295327884	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_001	1	error_free	0	0	0	0.0	171	0.3	0.2807017543859649	factorial	1.0007148	1.0007148	722	10007148	f019	20	0.0	-1.0	1.0	0.0	0.0	False	0.0	0.0	-1.0	0.0	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_001	1	error_free	0	0	0	0.02	171	0.3	0.22807017543859648	factorial	1.0007148	1.0007148	722	10007148	f020	20	23.9829	0.19914500000000004	0.19914500000000004	17.9871	27.98	True	0.49964499999999995	39.97142842296327	0.9985714211481636	-0.7994264211481635	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_001	1	error_free	0	0	0	0.0	171	0.5	0.5146198830409356	factorial	1.0007148	1.0007148	722	10007148	f021	20	38.9721	0.9486049999999999	0.9486049999999999	36.9736	38.9721	False	0.099925	38.9546113841335	0.947730569206675	0.0008744307933248763	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_001	1	error_free	0	0	0	0.02	171	0.5	0.52046783625731	factorial	1.0007148	1.0007148	722	10007148	f022	20	36.9736	0.8486799999999999	0.8486799999999999	31.9771	42.9693	False	0.5496099999999998	54.0607725644493	1.703038628222465	-0.8543586282224652	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_001	1	error_free	0	0	0	0.0	171	0.7	0.672514619883041	factorial	1.0007148	1.0007148	722	10007148	f023	20	39.9714	0.9985700000000002	0.9985700000000002	37.9729	39.9714	False	0.099925	39.97142842296327	0.9985714211481636	-1.4211481634163192e-06	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_001	1	error_free	0	0	0	0.02	171	0.7	0.672514619883041	factorial	1.0007148	1.0007148	722	10007148	f024	20	12.9907	-0.35046499999999997	0.35046499999999997	10.9921	15.9886	False	0.24982499999999996	19.985714211481636	-0.0007142894259182242	-0.34975071057408175	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_001	1	error_free	0	0	0	0.0	171	0.3	0.26900584795321636	factorial	1.0007148	1.0007148	722	10007148	f025	80	92.9336	0.16166999999999998	0.16166999999999998	91.9343	92.9336	False	0.012491250000000065	93.24913499199194	0.16561418739989922	-0.003944187399899235	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_001	1	error_free	0	0	0	0.02	171	0.3	0.3216374269005848	factorial	1.0007148	1.0007148	722	10007148	f026	80	33.9757	-0.57530375	0.57530375	31.9771	36.9736	False	0.06245624999999997	50.67138243501674	-0.36660771956229077	-0.20869603043770918	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_001	1	error_free	0	0	0	0.0	171	0.5	0.4327485380116959	factorial	1.0007148	1.0007148	722	10007148	f027	80	0.0	-1.0	1.0	0.0	0.0	False	0.0	0.0	-1.0	0.0	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_001	1	error_free	0	0	0	0.02	171	0.5	0.5029239766081871	factorial	1.0007148	1.0007148	722	10007148	f028	80	22.9836	-0.712705	0.712705	19.9857	27.98	False	0.09992874999999998	34.15102744207563	-0.5731121569740546	-0.13959284302594538	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_001	1	error_free	0	0	0	0.0	171	0.7	0.695906432748538	factorial	1.0007148	1.0007148	722	10007148	f029	80	67.9514	-0.15060749999999992	0.15060749999999992	67.9514	68.9507	False	0.012491249999999888	68.23192957112852	-0.14710088036089353	-0.0035066196391063897	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_001	1	error_free	0	0	0	0.02	171	0.7	0.7777777777777778	factorial	1.0007148	1.0007148	722	10007148	f030	80	113.9186	0.4239825	0.4239825	96.9307	124.9107	False	0.34975000000000006	167.8741556003605	1.098426945004506	-0.6744444450045062	diagnostic_kmer_10_90_spread_not_sampling_CI
