scenario	dataset_id	tool	seed	split	successful_runs	attempted_runs	deterministic	median_runtime_seconds	median_peak_rss_mib	array_recall	array_precision	array_f1	read_detection_recall	read_detection_precision	negative_read_call_rate	sequence_family_recall	matched_period_mae_bp	matched_boundary_mae_bp	cyclic_monomer_recall	homologous_consensus_fraction	mean_best_cyclic_edit_similarity	base_union_recall	base_union_precision	base_union_f1	duplicate_bp_fraction
indel_4pct	indel_4pct_s1201	tidehunter	1201	development	3	3	True	0.2882724169176072	71.375	1.0	0.9459459459459459	0.9722222222222222	1.0	0.9859154929577465	0.03333333333333333	1.0	0.04285714285714286	0.6285714285714286	1.0	0.6	1.0	0.9997215182823248	0.9946663341784077	0.9971875195311144	0.038790348354106746
low_complexity_control	low_complexity_control_s1201	tandemx	1201	development	3	3	True	0.14552429202012718	25.34375	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
low_complexity_control	low_complexity_control_s1201	tidehunter	1201	development	3	3	True	0.5123374999966472	25.859375	NA	0.0	0.0	NA	0.0	1.0	NA	NA	NA	NA	0.0	NA	NA	0.0	0.0	0.0001999600079984003
related_families	related_families_s1201	tandemx	1201	development	3	3	True	0.4432857499923557	27.421875	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.32142857142857145	1.0	1.0	1.0	1.0	0.9996868149076104	0.9998433829287392	0.0
related_families	related_families_s1201	tidehunter	1201	development	3	3	True	0.29579562484286726	71.90625	1.0	0.9859154929577465	0.9929078014184397	1.0	0.9859154929577465	0.03333333333333333	1.0	0.0	1.3642857142857143	1.0	0.75	1.0	0.9998955722639933	0.9858463692711086	0.9928212714333609	0.0
short_arrays	short_arrays_s1201	tandemx	1201	development	3	3	True	0.5031152910087258	27.46875	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.2357142857142858	1.0	1.0	1.0	1.0	0.9952054984341657	0.9975969885961136	0.0
short_arrays	short_arrays_s1201	tidehunter	1201	development	3	3	True	0.1454937499947846	47.796875	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0214285714285714	1.0	1.0	1.0	0.9992481203007518	0.9967776882691186	0.9980113754884646	0.0
substitution_1pct	substitution_1pct_s1201	tandemx	1201	development	3	3	True	0.45601704181171954	27.328125	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.5285714285714286	1.0	1.0	1.0	0.9999025341130604	0.999582422783013	0.999742452823622	0.0
substitution_1pct	substitution_1pct_s1201	tidehunter	1201	development	3	3	True	0.2941127910744399	67.609375	1.0	0.9859154929577465	0.9929078014184397	1.0	0.9859154929577465	0.03333333333333333	1.0	0.0	1.3	1.0	0.75	1.0	0.9997841826789196	0.9939852434280652	0.9968762798575583	0.0
substitution_5pct	substitution_5pct_s1201	tandemx	1201	development	3	3	True	1.2700357080902904	29.84375	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.8142857142857143	1.0	1.0	1.0	0.9995265942634364	0.9987061589615882	0.9991162081851648	0.0
substitution_5pct	substitution_5pct_s1201	tidehunter	1201	development	3	3	True	0.32297883299179375	73.21875	1.0	0.8333333333333334	0.9090909090909091	1.0	1.0	0.0	1.0	0.0	2.2928571428571427	1.0	0.25	1.0	0.9993107769423559	0.9937897229260998	0.9965426030450086	0.14132845057695395
two_arrays	two_arrays_s1201	tandemx	1201	development	3	3	True	1.232796415919438	29.90625	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.167857142857143	1.0	1.0	1.0	1.0	0.9982955167399021	0.9991470314346306	0.0
two_arrays	two_arrays_s1201	tidehunter	1201	development	3	3	True	0.39385175006464124	77.640625	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.3678571428571429	1.0	1.0	1.0	0.9997128237259816	0.9982898228819613	0.9990008165650526	0.0
