stage	exit_code	wall_seconds	user_cpu_seconds	system_cpu_seconds	peak_process_tree_rss_mib	peak_process_count	peak_scratch_bytes	sample_count	stdout_log	stderr_log
tidehunter	0	331.894614	4.518737	24.123794	24.937500	1	564520	1455	tidehunter.stdout.log	tidehunter.stderr.log
clustering	0	61.498677	0.859747	4.595401	23.937500	1	2259303	269	clustering.stdout.log	clustering.stderr.log
