read_id	start	end	period	sequence	family_id
r000000844	0	8708	171		
r000000853	0	13069	171		
r000000855	0	16161	171		
r000000879	0	13978	171		
r000000881	0	12383	171		
r000000883	0	964	171		
r000000885	0	5550	171		
r000000886	1	12646	171		
r000000891	1044	14296	171		
r000000892	637	4574	61		
r000000893	9684	13826	421		
r000000895	0	15816	171		
r000000897	8156	14437	171		
r000000902	0	855	171		
r000000903	0	17458	421		
r000000906	0	15291	171		
r000000923	0	12974	171		
r000000925	7599	12479	61		
r000000927	0	13216	171		
r000000928	0	19113	171		
r000000930	0	12660	171		
r000000932	0	17683	171		
r000000933	0	11149	421		
r000000935	0	4735	61		
r000000941	1679	2899	61		
r000000944	0	1267	421		
r000000949	0	10301	171		
r000000955	0	9560	171		
r000000966	0	16064	421		
r000000967	0	475	61		
r000000971	0	13970	171		
r000000972	0	13031	171		
r000000974	0	5119	421		
r000000976	0	10810	171		
r000000977	0	5528	171		
r000000979	0	11961	171		
r000000980	0	14509	421		
r000000982	10905	12608	421		
r000000984	15708	20589	61		
r000000985	0	17666	171		
r000000987	1	15799	171		
r000000988	3470	15671	61		
r000000989	0	16170	171		
r000000995	3918	19069	421		
r000000998	5038	6258	61		
r000001001	12650	14495	421		
r000001004	0	13658	171		
r000001010	0	17293	421		
r000001011	6393	11877	421		
r000001012	7174	11613	421		
r000001014	0	1996	171		
r000001015	0	12130	171		
r000001016	0	7777	421		
r000001019	0	16948	421		
r000001023	0	11410	171		
r000001031	5755	11005	61		
r000001032	8009	16228	421		
r000001035	0	11240	171		
r000001036	17282	17809	171		
r000001037	0	12413	421		
r000001038	12952	18049	421		
r000001041	10004	17073	421		
r000001043	0	18829	171		
r000001048	14657	17144	171		
r000001056	0	12605	171		
r000001057	0	14348	171		
r000001061	0	12077	171		
r000001064	0	10317	421		
r000001070	4524	11689	61		
r000001078	2683	12402	421		
r000001080	0	18000	421		
r000001081	0	11070	421		
r000001082	0	7414	171		
r000001083	11002	14001	61		
r000001088	0	16522	171		
r000001090	11261	12537	61		
r000001093	0	12586	421		
r000001095	0	10805	171		
r000001096	11999	14096	421		
r000001098	0	11202	171		
r000001103	0	13128	171		
r000001105	0	18645	421		
r000001109	0	14949	421		
r000001112	0	13317	171		
r000001114	0	17250	421		
r000001115	0	3121	171		
r000001117	14281	15603	171		
r000001119	0	18036	171		
r000001125	0	16632	171		
r000001127	0	17364	171		
r000001129	0	12342	171		
r000001130	0	4593	61		
r000001131	0	11100	171		
r000001132	0	13093	421		
r000001133	894	12366	171		
r000001134	0	803	382		
r000001140	4078	8958	61		
r000001143	0	10261	421		
r000001148	2663	6090	171		
r000001153	13076	16464	171		
r000001156	0	12393	421		
r000001159	0	15083	171		
r000001160	0	5342	171		
r000001161	0	17272	171		
r000001164	4856	14531	421		
r000001168	8997	12055	421		
r000001172	0	12306	171		
r000001173	1690	15368	171		
r000001177	0	11283	171		
r000001180	3678	11208	421		
r000001183	16288	17263	61		
r000001184	0	11520	171		
r000001189	0	11317	171		
r000001190	8920	19905	421		
r000001191	0	15916	171		
r000001193	9432	15525	61		
r000001199	0	10576	171		
r000001203	0	10530	421		
r000001206	0	10913	421		
r000001210	0	15317	171		
r000001212	3927	10522	421		
r000001218	0	11468	421		
r000001219	0	13003	171		
r000001227	3373	8254	61		
r000001228	0	11073	171		
r000001230	0	3342	421		
