seed	condition_id	coverage	error_model	method	total_error_rate_supplied	exit_code	runtime_seconds	peak_rss_mib	cpu_user_seconds	cpu_system_seconds	timed_out	status
6302	condition_002	1	iid_low_indel	empirical_controls_plus_oracle_error	0.003	0	0.5562867918051779	54.3125	0.487374	0.020825	False	ok
6302	condition_003	1	iid_high_indel	baseline_total_bases	NA	0	0.49360358295962214	49.4375	0.43266	0.020118999999999998	False	ok
6302	condition_003	1	iid_high_indel	oracle_error_survival	0.02	0	0.5524740838445723	51.109375	0.494784	0.021124999999999998	False	ok
6302	condition_003	1	iid_high_indel	empirical_controls	NA	0	0.49400433292612433	51.859375	0.443426	0.020215999999999998	False	ok
6302	condition_003	1	iid_high_indel	empirical_controls_plus_oracle_error	0.02	0	0.6116961250081658	53.78125	0.546427	0.021127999999999997	False	ok
6302	condition_004	5	error_free	baseline_total_bases	NA	0	1.4422129581216723	74.359375	1.359469	0.029880999999999998	False	ok
6302	condition_004	5	error_free	oracle_error_survival	0.0	0	1.6223836671561003	72.8125	1.553488	0.030154999999999998	False	ok
6302	condition_004	5	error_free	empirical_controls	NA	0	1.6885406249202788	76.375	1.608565	0.030024	False	ok
6302	condition_004	5	error_free	empirical_controls_plus_oracle_error	0.0	0	2.403744083130732	64.359375	2.32723	0.030195999999999997	False	ok
6302	condition_005	5	iid_low_indel	baseline_total_bases	NA	0	1.4544845828786492	75.109375	1.389059	0.028318	False	ok
6302	condition_005	5	iid_low_indel	oracle_error_survival	0.003	0	1.995917416876182	72.734375	1.93298	0.029356	False	ok
6302	condition_005	5	iid_low_indel	empirical_controls	NA	0	1.9373164579737931	80.390625	1.867068	0.030306999999999997	False	ok
6302	condition_005	5	iid_low_indel	empirical_controls_plus_oracle_error	0.003	0	1.908208459150046	71.765625	1.825786	0.030608999999999997	False	ok
6302	condition_006	5	iid_high_indel	baseline_total_bases	NA	0	1.488111749989912	72.875	1.409802	0.029952999999999997	False	ok
6302	condition_006	5	iid_high_indel	oracle_error_survival	0.02	0	2.0213090830948204	80.84375	1.9536099999999998	0.029755999999999998	False	ok
6302	condition_006	5	iid_high_indel	empirical_controls	NA	0	1.7132869171909988	79.34375	1.642911	0.027802	False	ok
6302	condition_006	5	iid_high_indel	empirical_controls_plus_oracle_error	0.02	0	2.5176292080432177	74.96875	2.464341	0.029789999999999997	False	ok
6302	condition_007	20	error_free	baseline_total_bases	NA	0	5.142964833183214	89.640625	5.035797	0.061005	False	ok
6302	condition_007	20	error_free	oracle_error_survival	0.0	0	5.946223041974008	97.359375	5.847307	0.061312	False	ok
6302	condition_007	20	error_free	empirical_controls	NA	0	6.94608891592361	98.53125	6.828048	0.062194	False	ok
6302	condition_007	20	error_free	empirical_controls_plus_oracle_error	0.0	0	7.0860567088238895	82.078125	6.965448	0.062008999999999995	False	ok
