seed	unit_substitution_rate	array_fragments	fragment_gap_bp	locate_identity_model	locate_min_identity	coverage	substitution_rate	read_length	family_id	truth_copies	estimate	signed_relative_error	absolute_relative_error	interval_low	interval_high	interval_contains_truth	interval_relative_width	sampling_oracle_copy_estimate	oracle_relative_error	estimator_minus_sampling_oracle	interval_kind
5701	0.01	1	500	iid_base	0.9	20	0	5000	f3	200	168.5346	-0.15732699999999994	0.15732699999999994	161.1309	176.8388	False	0.07853949999999997	209.31653278267825	0.046582663913391255	-0.2039096639133912	diagnostic_kmer_10_90_spread_not_sampling_CI
5701	0.01	1	500	iid_base	0.9	20	0.001	5000	f1	20	16.9085	-0.154575	0.154575	14.6073	19.1596	False	0.22761500000000004	21.685481917785648	0.08427409588928239	-0.23884909588928238	diagnostic_kmer_10_90_spread_not_sampling_CI
5701	0.01	1	500	iid_base	0.9	20	0.001	5000	f2	80	64.0322	-0.19959749999999996	0.19959749999999996	61.2308	67.684	False	0.08066499999999995	80.37516456551765	0.004689557068970629	-0.2042870570689706	diagnostic_kmer_10_90_spread_not_sampling_CI
5701	0.01	1	500	iid_base	0.9	20	0.001	5000	f3	200	164.6327	-0.1768365	0.1768365	157.6292	172.8368	False	0.07603800000000006	209.31653278267825	0.046582663913391255	-0.22341916391339126	diagnostic_kmer_10_90_spread_not_sampling_CI
5701	0.01	1	500	iid_base	0.9	20	0.01	5000	f1	20	13.7569	-0.312155	0.312155	12.0561	15.7579	False	0.18508999999999992	21.685481917785648	0.08427409588928239	-0.3964290958892824	diagnostic_kmer_10_90_spread_not_sampling_CI
5701	0.01	1	500	iid_base	0.9	20	0.01	5000	f2	80	52.4263	-0.34467125000000004	0.34467125000000004	50.2252	56.0281	False	0.07253625000000001	80.37516456551765	0.004689557068970629	-0.34936080706897066	diagnostic_kmer_10_90_spread_not_sampling_CI
5701	0.01	1	500	iid_base	0.9	20	0.01	5000	f3	200	136.2684	-0.31865799999999994	0.31865799999999994	129.7652	143.7222	False	0.06978499999999997	209.31653278267825	0.046582663913391255	-0.36524066391339116	diagnostic_kmer_10_90_spread_not_sampling_CI
5701	0.01	3	500	iid_base	0.9	1	0	5000	f1	20	15.1575	-0.24212499999999998	0.24212499999999998	13.1365	18.189	False	0.252625	20.21	0.010500000000000042	-0.252625	diagnostic_kmer_10_90_spread_not_sampling_CI
5701	0.01	3	500	iid_base	0.9	1	0	5000	f2	80	142.4805	0.7810062500000001	0.7810062500000001	133.386	153.596	False	0.2526250000000001	177.74163157894736	1.2217703947368421	-0.44076414473684195	diagnostic_kmer_10_90_spread_not_sampling_CI
5701	0.01	3	500	iid_base	0.9	1	0	5000	f3	200	159.659	-0.20170500000000005	0.20170500000000005	148.5435	166.7325	False	0.09094499999999997	193.77357600950117	-0.03113211995249415	-0.1705728800475059	diagnostic_kmer_10_90_spread_not_sampling_CI
