dataset	processed_reads	processed_bases	candidate_count	family_count	baseline_runtime_seconds	optimized_runtime_seconds	runtime_change_percent	speedup	baseline_peak_rss_mib	optimized_peak_rss_mib	peak_rss_change_percent	compared_products	all_products_byte_identical	uncompared_new_products	warning
Mo17_11Mb	840	11680888	893	599	17.347903250018135	12.3609944160562	-28.746464411811388	1.4034391300658007	81.703125	62.484375	-23.52266207687894	6	True	family_audit_summary.json	single_historical_baseline_and_single_replay;engineering_not_publication_timing
Mo17_111Mb	8084	111505681	8401	4219	134.6844842499122	100.0393507918343	-25.723180848205608	1.346315056863662	178.4375	154.765625	-13.266199649737299	7	True		single_historical_baseline_and_single_replay;engineering_not_publication_timing
