panel	source_file	selection	metric	evidence_boundary
A	paper/evidence/orthogonal_abundance_validation_v1/figures_v2/panel_source.tsv	panel=A; six candidate families; assembly/HiFi/Illumina measures	value_bp	abundance estimates; ONT ranges directional only
B	paper/evidence/orthogonal_abundance_validation_v1/figures_v2/panel_source.tsv	panel=A; Frozen HiFi evidence_state	evidence_state	residual-collapse direction or unresolved; no physical missing-base inference
