read_id
ERR8666125.111063
ERR8666125.11458
ERR8666125.115925
ERR8666125.132132
ERR8666125.134854
ERR8666125.138178
ERR8666125.13892
ERR8666125.148085
ERR8666125.165128
ERR8666125.171057
ERR8666125.173847
ERR8666125.176666
ERR8666125.186287
ERR8666125.192662
ERR8666125.197519
ERR8666125.197758
ERR8666125.217110
ERR8666125.217577
ERR8666125.225783
ERR8666125.229097
ERR8666125.232279
ERR8666125.233333
ERR8666125.234747
ERR8666125.240036
ERR8666125.24072
ERR8666125.244908
ERR8666125.245948
ERR8666125.246561
ERR8666125.252218
ERR8666125.255517
ERR8666125.257680
ERR8666125.268360
ERR8666125.268845
ERR8666125.269026
ERR8666125.277257
ERR8666125.291176
ERR8666125.309198
ERR8666125.313551
ERR8666125.336046
ERR8666125.340214
ERR8666125.347883
ERR8666125.357471
ERR8666125.370068
ERR8666125.374086
ERR8666125.377896
ERR8666125.4018
ERR8666125.403305
ERR8666125.408616
ERR8666125.414716
ERR8666125.418664
ERR8666125.419988
ERR8666125.427137
ERR8666125.431630
ERR8666125.449033
ERR8666125.449109
ERR8666125.4566
ERR8666125.472778
ERR8666125.475049
ERR8666125.490469
ERR8666125.490499
ERR8666125.497245
ERR8666125.510228
ERR8666125.521308
ERR8666125.524348
ERR8666125.53303
ERR8666125.533829
ERR8666125.537006
ERR8666125.538089
ERR8666125.539464
ERR8666125.558593
ERR8666125.560220
ERR8666125.567234
ERR8666125.570920
ERR8666125.575374
ERR8666125.587480
ERR8666125.596416
ERR8666125.596765
ERR8666125.599455
ERR8666125.603395
ERR8666125.609327
ERR8666125.61198
ERR8666125.612066
ERR8666125.6234
ERR8666125.634467
ERR8666125.642297
ERR8666125.648277
ERR8666125.657312
ERR8666125.659914
ERR8666125.662753
ERR8666125.664838
ERR8666125.665751
ERR8666125.668604
ERR8666125.672837
ERR8666125.673916
ERR8666125.675221
ERR8666125.683201
ERR8666125.686453
ERR8666125.689996
ERR8666125.70016
ERR8666125.706961
ERR8666125.714530
ERR8666125.723518
ERR8666125.724671
ERR8666125.732015
ERR8666125.734115
ERR8666125.736503
ERR8666125.737871
ERR8666125.750588
ERR8666125.772021
ERR8666125.780616
ERR8666125.786506
ERR8666125.791974
ERR8666125.808127
ERR8666125.808931
ERR8666125.816056
ERR8666125.831070
ERR8666125.837305
ERR8666125.84477
ERR8666125.91466
ERR8666125.96604
