panel	dataset	metric	x	value	read_count
A	Full library (n=933,904)	length_bp	0.209	0.0004058232966129281	1
A	Full library (n=933,904)	length_bp	0.21	0.0004068940704826192	1
A	Full library (n=933,904)	length_bp	0.211	0.0004079648443523103	1
A	Full library (n=933,904)	length_bp	0.214	0.0004090356182220014	1
A	Full library (n=933,904)	length_bp	0.216	0.0004101063920916925	1
A	Full library (n=933,904)	length_bp	0.22	0.0004111771659613836	1
A	Full library (n=933,904)	length_bp	0.222	0.0004122479398310747	1
A	Full library (n=933,904)	length_bp	0.223	0.0004143894875704569	2
A	Full library (n=933,904)	length_bp	0.224	0.00041546026144014805	1
A	Full library (n=933,904)	length_bp	0.225	0.0004176018091795302	2
A	Full library (n=933,904)	length_bp	0.226	0.00041867258304922135	1
A	Full library (n=933,904)	length_bp	0.23	0.00041974335691891243	1
A	Full library (n=933,904)	length_bp	0.232	0.00042081413078860357	1
A	Full library (n=933,904)	length_bp	0.233	0.00042295567852798573	2
A	Full library (n=933,904)	length_bp	0.234	0.00042402645239767686	1
A	Full library (n=933,904)	length_bp	0.23500000000000001	0.00042509722626736795	1
A	Full library (n=933,904)	length_bp	0.23600000000000002	0.0004261680001370591	1
A	Full library (n=933,904)	length_bp	0.23700000000000002	0.0004293803217461324	3
A	Full library (n=933,904)	length_bp	0.23800000000000002	0.0004315218694855146	2
A	Full library (n=933,904)	length_bp	0.23900000000000002	0.00043366341722489676	2
A	Full library (n=933,904)	length_bp	0.241	0.000435804964964279	2
A	Full library (n=933,904)	length_bp	0.243	0.0004379465127036612	2
A	Full library (n=933,904)	length_bp	0.245	0.0004390172865733523	1
A	Full library (n=933,904)	length_bp	0.246	0.0004400880604430434	1
A	Full library (n=933,904)	length_bp	0.247	0.0004433003820521167	3
A	Full library (n=933,904)	length_bp	0.25	0.0004443711559218078	1
A	Full library (n=933,904)	length_bp	0.251	0.0004454419297914989	1
A	Full library (n=933,904)	length_bp	0.255	0.0004486542514005722	3
A	Full library (n=933,904)	length_bp	0.256	0.00045293734687933666	4
A	Full library (n=933,904)	length_bp	0.257	0.00045400812074902774	1
A	Full library (n=933,904)	length_bp	0.258	0.0004550788946187188	1
A	Full library (n=933,904)	length_bp	0.26	0.00045722044235810104	2
A	Full library (n=933,904)	length_bp	0.264	0.0004582912162277922	1
A	Full library (n=933,904)	length_bp	0.266	0.00045936199009748326	1
A	Full library (n=933,904)	length_bp	0.268	0.00046043276396717434	1
A	Full library (n=933,904)	length_bp	0.27	0.0004615035378368655	1
A	Full library (n=933,904)	length_bp	0.271	0.00046257431170655656	1
A	Full library (n=933,904)	length_bp	0.273	0.0004636450855762477	1
A	Full library (n=933,904)	length_bp	0.276	0.00046578663331562985	2
A	Full library (n=933,904)	length_bp	0.278	0.00046792818105501207	2
A	Full library (n=933,904)	length_bp	0.281	0.0004700697287943943	2
A	Full library (n=933,904)	length_bp	0.28400000000000003	0.00047114050266408537	1
A	Full library (n=933,904)	length_bp	0.28500000000000003	0.0004722112765337765	1
A	Full library (n=933,904)	length_bp	0.28600000000000003	0.0004732820504034676	1
A	Full library (n=933,904)	length_bp	0.292	0.0004743528242731587	1
A	Full library (n=933,904)	length_bp	0.294	0.0004754235981428498	1
A	Full library (n=933,904)	length_bp	0.298	0.0004764943720125409	1
A	Full library (n=933,904)	length_bp	0.303	0.000477565145882232	1
A	Full library (n=933,904)	length_bp	0.305	0.0004786359197519231	1
A	Full library (n=933,904)	length_bp	0.313	0.00047970669362161424	1
A	Full library (n=933,904)	length_bp	0.314	0.0004807774674913053	1
A	Full library (n=933,904)	length_bp	0.316	0.0004818482413609964	1
A	Full library (n=933,904)	length_bp	0.317	0.00048291901523068754	1
A	Full library (n=933,904)	length_bp	0.318	0.0004839897891003786	1
A	Full library (n=933,904)	length_bp	0.32	0.00048506056297006975	1
A	Full library (n=933,904)	length_bp	0.322	0.00048613133683976083	1
A	Full library (n=933,904)	length_bp	0.323	0.00048827288457914305	2
A	Full library (n=933,904)	length_bp	0.325	0.0004893436584488341	1
A	Full library (n=933,904)	length_bp	0.327	0.0004914852061882163	2
A	Full library (n=933,904)	length_bp	0.328	0.0004925559800579074	1
A	Full library (n=933,904)	length_bp	0.33	0.0004946975277972897	2
A	Full library (n=933,904)	length_bp	0.331	0.0004957683016669807	1
A	Full library (n=933,904)	length_bp	0.332	0.0004968390755366719	1
A	Full library (n=933,904)	length_bp	0.334	0.000497909849406363	1
A	Full library (n=933,904)	length_bp	0.337	0.0005000513971457452	2
A	Full library (n=933,904)	length_bp	0.338	0.0005011221710154363	1
A	Full library (n=933,904)	length_bp	0.342	0.0005021929448851273	1
A	Full library (n=933,904)	length_bp	0.343	0.0005032637187548185	1
A	Full library (n=933,904)	length_bp	0.34400000000000003	0.0005043344926245096	1
A	Full library (n=933,904)	length_bp	0.34500000000000003	0.0005054052664942007	1
A	Full library (n=933,904)	length_bp	0.34700000000000003	0.0005064760403638918	1
A	Full library (n=933,904)	length_bp	0.34900000000000003	0.0005075468142335829	1
A	Full library (n=933,904)	length_bp	0.35000000000000003	0.000508617588103274	1
A	Full library (n=933,904)	length_bp	0.353	0.0005107591358426562	2
A	Full library (n=933,904)	length_bp	0.354	0.0005118299097123473	1
A	Full library (n=933,904)	length_bp	0.358	0.0005129006835820384	1
A	Full library (n=933,904)	length_bp	0.359	0.0005139714574517295	1
A	Full library (n=933,904)	length_bp	0.362	0.0005182545529304939	4
A	Full library (n=933,904)	length_bp	0.363	0.0005214668745395672	3
A	Full library (n=933,904)	length_bp	0.368	0.0005236084222789494	2
A	Full library (n=933,904)	length_bp	0.37	0.0005246791961486405	1
A	Full library (n=933,904)	length_bp	0.371	0.0005257499700183317	1
A	Full library (n=933,904)	length_bp	0.372	0.0005268207438880228	1
A	Full library (n=933,904)	length_bp	0.373	0.0005278915177577138	1
A	Full library (n=933,904)	length_bp	0.374	0.000528962291627405	1
A	Full library (n=933,904)	length_bp	0.376	0.0005300330654970961	1
A	Full library (n=933,904)	length_bp	0.38	0.0005311038393667871	1
A	Full library (n=933,904)	length_bp	0.382	0.0005332453871061694	2
A	Full library (n=933,904)	length_bp	0.386	0.0005343161609758604	1
A	Full library (n=933,904)	length_bp	0.388	0.0005353869348455516	1
A	Full library (n=933,904)	length_bp	0.389	0.0005364577087152427	1
A	Full library (n=933,904)	length_bp	0.39	0.0005375284825849338	1
A	Full library (n=933,904)	length_bp	0.392	0.0005385992564546249	1
A	Full library (n=933,904)	length_bp	0.394	0.0005428823519333893	4
A	Full library (n=933,904)	length_bp	0.40700000000000003	0.0005439531258030804	1
A	Full library (n=933,904)	length_bp	0.40900000000000003	0.0005450238996727715	1
A	Full library (n=933,904)	length_bp	0.41200000000000003	0.0005460946735424626	1
A	Full library (n=933,904)	length_bp	0.41300000000000003	0.0005471654474121537	1
A	Full library (n=933,904)	length_bp	0.41400000000000003	0.0005482362212818449	1
A	Full library (n=933,904)	length_bp	0.41500000000000004	0.0005493069951515359	1
A	Full library (n=933,904)	length_bp	0.41600000000000004	0.0005514485428909182	2
A	Full library (n=933,904)	length_bp	0.42	0.0005525193167606092	1
A	Full library (n=933,904)	length_bp	0.422	0.0005535900906303003	1
A	Full library (n=933,904)	length_bp	0.423	0.0005546608644999915	1
A	Full library (n=933,904)	length_bp	0.424	0.0005557316383696826	1
A	Full library (n=933,904)	length_bp	0.425	0.0005568024122393736	1
A	Full library (n=933,904)	length_bp	0.426	0.0005589439599787559	2
A	Full library (n=933,904)	length_bp	0.435	0.0005600147338484469	1
A	Full library (n=933,904)	length_bp	0.436	0.000561085507718138	1
A	Full library (n=933,904)	length_bp	0.437	0.0005621562815878292	1
A	Full library (n=933,904)	length_bp	0.441	0.0005632270554575202	1
A	Full library (n=933,904)	length_bp	0.443	0.0005642978293272114	1
A	Full library (n=933,904)	length_bp	0.444	0.0005675101509362846	3
A	Full library (n=933,904)	length_bp	0.446	0.0005696516986756669	2
A	Full library (n=933,904)	length_bp	0.447	0.0005717932464150491	2
A	Full library (n=933,904)	length_bp	0.448	0.0005739347941544312	2
A	Full library (n=933,904)	length_bp	0.45	0.0005750055680241224	1
A	Full library (n=933,904)	length_bp	0.451	0.0005771471157635047	2
A	Full library (n=933,904)	length_bp	0.454	0.0005782178896331957	1
A	Full library (n=933,904)	length_bp	0.455	0.0005792886635028868	1
A	Full library (n=933,904)	length_bp	0.456	0.000580359437372578	1
A	Full library (n=933,904)	length_bp	0.457	0.000581430211242269	1
A	Full library (n=933,904)	length_bp	0.459	0.0005835717589816513	2
A	Full library (n=933,904)	length_bp	0.465	0.0005846425328513423	1
A	Full library (n=933,904)	length_bp	0.46900000000000003	0.0005857133067210334	1
A	Full library (n=933,904)	length_bp	0.47000000000000003	0.0005867840805907245	1
A	Full library (n=933,904)	length_bp	0.47200000000000003	0.0005878548544604157	1
A	Full library (n=933,904)	length_bp	0.47500000000000003	0.0005899964021997978	2
A	Full library (n=933,904)	length_bp	0.481	0.0005932087238088711	3
A	Full library (n=933,904)	length_bp	0.483	0.0005942794976785623	1
A	Full library (n=933,904)	length_bp	0.484	0.0005953502715482533	1
A	Full library (n=933,904)	length_bp	0.485	0.0005964210454179444	1
A	Full library (n=933,904)	length_bp	0.486	0.0005974918192876356	1
A	Full library (n=933,904)	length_bp	0.488	0.0006007041408967089	3
A	Full library (n=933,904)	length_bp	0.494	0.0006017749147664	1
A	Full library (n=933,904)	length_bp	0.498	0.000602845688636091	1
A	Full library (n=933,904)	length_bp	0.503	0.0006039164625057822	1
A	Full library (n=933,904)	length_bp	0.506	0.0006049872363754733	1
A	Full library (n=933,904)	length_bp	0.509	0.0006081995579845466	3
A	Full library (n=933,904)	length_bp	0.51	0.0006092703318542377	1
A	Full library (n=933,904)	length_bp	0.515	0.0006103411057239288	1
A	Full library (n=933,904)	length_bp	0.516	0.000612482653463311	2
A	Full library (n=933,904)	length_bp	0.517	0.0006135534273330021	1
A	Full library (n=933,904)	length_bp	0.518	0.0006146242012026932	1
A	Full library (n=933,904)	length_bp	0.519	0.0006156949750723843	1
A	Full library (n=933,904)	length_bp	0.52	0.0006167657489420754	1
A	Full library (n=933,904)	length_bp	0.523	0.0006178365228117665	1
A	Full library (n=933,904)	length_bp	0.525	0.0006189072966814576	1
A	Full library (n=933,904)	length_bp	0.532	0.0006199780705511488	1
A	Full library (n=933,904)	length_bp	0.533	0.0006210488444208398	1
A	Full library (n=933,904)	length_bp	0.534	0.0006231903921602221	2
A	Full library (n=933,904)	length_bp	0.537	0.0006242611660299131	1
A	Full library (n=933,904)	length_bp	0.538	0.0006264027137692954	2
A	Full library (n=933,904)	length_bp	0.539	0.0006285442615086775	2
A	Full library (n=933,904)	length_bp	0.54	0.0006403227740752797	11
A	Full library (n=933,904)	length_bp	0.541	0.000643535095684353	3
A	Full library (n=933,904)	length_bp	0.543	0.0006446058695540441	1
A	Full library (n=933,904)	length_bp	0.544	0.0006456766434237352	1
A	Full library (n=933,904)	length_bp	0.548	0.0006467474172934263	1
A	Full library (n=933,904)	length_bp	0.551	0.0006488889650328085	2
A	Full library (n=933,904)	length_bp	0.553	0.0006499597389024996	1
A	Full library (n=933,904)	length_bp	0.555	0.0006510305127721907	1
A	Full library (n=933,904)	length_bp	0.559	0.0006521012866418819	1
A	Full library (n=933,904)	length_bp	0.562	0.0006531720605115729	1
A	Full library (n=933,904)	length_bp	0.5690000000000001	0.0006553136082509552	2
A	Full library (n=933,904)	length_bp	0.5710000000000001	0.0006574551559903373	2
A	Full library (n=933,904)	length_bp	0.5740000000000001	0.0006585259298600285	1
A	Full library (n=933,904)	length_bp	0.5760000000000001	0.0006595967037297195	1
A	Full library (n=933,904)	length_bp	0.584	0.0006617382514691018	2
A	Full library (n=933,904)	length_bp	0.585	0.0006649505730781751	3
A	Full library (n=933,904)	length_bp	0.593	0.0006660213469478662	1
A	Full library (n=933,904)	length_bp	0.595	0.0006670921208175572	1
A	Full library (n=933,904)	length_bp	0.602	0.0006681628946872484	1
A	Full library (n=933,904)	length_bp	0.608	0.0006692336685569395	1
A	Full library (n=933,904)	length_bp	0.609	0.0006703044424266305	1
A	Full library (n=933,904)	length_bp	0.612	0.0006713752162963217	1
A	Full library (n=933,904)	length_bp	0.613	0.0006724459901660128	1
A	Full library (n=933,904)	length_bp	0.621	0.0006735167640357039	1
A	Full library (n=933,904)	length_bp	0.622	0.000674587537905395	1
A	Full library (n=933,904)	length_bp	0.625	0.0006756583117750861	1
A	Full library (n=933,904)	length_bp	0.628	0.0006788706333841594	3
A	Full library (n=933,904)	length_bp	0.629	0.0006799414072538505	1
A	Full library (n=933,904)	length_bp	0.63	0.000685295276602306	5
A	Full library (n=933,904)	length_bp	0.631	0.0006863660504719971	1
A	Full library (n=933,904)	length_bp	0.632	0.0006885075982113793	2
A	Full library (n=933,904)	length_bp	0.638	0.0006895783720810704	1
A	Full library (n=933,904)	length_bp	0.641	0.0006906491459507616	1
A	Full library (n=933,904)	length_bp	0.647	0.0006917199198204526	1
A	Full library (n=933,904)	length_bp	0.649	0.0006927906936901437	1
A	Full library (n=933,904)	length_bp	0.654	0.0006938614675598349	1
A	Full library (n=933,904)	length_bp	0.665	0.000694932241429526	1
A	Full library (n=933,904)	length_bp	0.666	0.000696003015299217	1
A	Full library (n=933,904)	length_bp	0.671	0.0006970737891689082	1
A	Full library (n=933,904)	length_bp	0.673	0.0006981445630385993	1
A	Full library (n=933,904)	length_bp	0.675	0.0007002861107779815	2
A	Full library (n=933,904)	length_bp	0.676	0.0007013568846476726	1
A	Full library (n=933,904)	length_bp	0.677	0.0007024276585173636	1
A	Full library (n=933,904)	length_bp	0.681	0.0007034984323870548	1
A	Full library (n=933,904)	length_bp	0.6890000000000001	0.0007045692062567459	1
