panel	run_accession	reported_species	reported_material	metric	bin_lower_bound	bin_label	value	read_count	library_read_count
B	ERR15194059	Secale cereale	Lo7	read_n50_kb	NA	NA	16.896	4576975	4576975
B	SRR28200549	Triticum aestivum	Chinese Spring	median_read_length_kb	NA	NA	15.985	1500000	1500000
B	SRR28200549	Triticum aestivum	Chinese Spring	read_n50_kb	NA	NA	16.579	1500000	1500000
B	SRR15447419	Zea mays	Mo17	median_read_length_kb	NA	NA	13.455	407670	407670
B	SRR15447419	Zea mays	Mo17	read_n50_kb	NA	NA	13.968	407670	407670
C	ERR6210723	Arabidopsis thaliana	Col-0N	gc_percent	NA	NA	36.761898672808144	933904	933904
C	ERR8666127	Arabidopsis thaliana	Col-0R	gc_percent	NA	NA	37.391799276459224	982810	982810
C	ERR8666125	Arabidopsis thaliana	Ey15-2R	gc_percent	NA	NA	37.14611328798132	837586	837586
C	ERR10422581	Avena sativa	Victoria	gc_percent	NA	NA	44.171793264673525	398850	398850
C	SRR28726931	Glycine soja	YSD56	gc_percent	NA	NA	34.749417510009074	2617227	2617227
C	ERR4659246	Hordeum vulgare	Morex	gc_percent	NA	NA	44.277742785570595	896701	896701
C	SRR25241090	Oryza sativa	Nipponbare	gc_percent	NA	NA	43.50196698069298	1785885	1785885
C	ERR15194059	Secale cereale	Lo7	gc_percent	NA	NA	45.57489262402384	4576975	4576975
C	SRR28200549	Triticum aestivum	Chinese Spring	gc_percent	NA	NA	45.957071918672156	1500000	1500000
C	SRR15447419	Zea mays	Mo17	gc_percent	NA	NA	45.92192481991678	407670	407670
D	ERR6210723	Arabidopsis thaliana	Col-0N	length_histogram	0	0	0.0011489403621785536	1073	933904
D	ERR6210723	Arabidopsis thaliana	Col-0N	length_histogram	2000	2000	0.000591067176069489	552	933904
D	ERR6210723	Arabidopsis thaliana	Col-0N	length_histogram	4000	4000	0.002551654131473899	2383	933904
D	ERR6210723	Arabidopsis thaliana	Col-0N	length_histogram	6000	6000	0.006922553067552982	6465	933904
D	ERR6210723	Arabidopsis thaliana	Col-0N	length_histogram	8000	8000	0.004485471740136031	4189	933904
D	ERR6210723	Arabidopsis thaliana	Col-0N	length_histogram	10000	10000	0.0022336342921756413	2086	933904
D	ERR6210723	Arabidopsis thaliana	Col-0N	length_histogram	12000	12000	0.04591799585396358	42883	933904
D	ERR6210723	Arabidopsis thaliana	Col-0N	length_histogram	14000	14000	0.5583764498278195	521470	933904
D	ERR6210723	Arabidopsis thaliana	Col-0N	length_histogram	16000	16000	0.28838831400229575	269327	933904
D	ERR6210723	Arabidopsis thaliana	Col-0N	length_histogram	18000	18000	0.08300103650910585	77515	933904
D	ERR6210723	Arabidopsis thaliana	Col-0N	length_histogram	20000	20000	0.005813231338552999	5429	933904
D	ERR6210723	Arabidopsis thaliana	Col-0N	length_histogram	22000	22000	8.244958796621494e-05	77	933904
D	ERR6210723	Arabidopsis thaliana	Col-0N	length_histogram	24000	24000	4.283095478764413e-06	4	933904
D	ERR6210723	Arabidopsis thaliana	Col-0N	length_histogram	26000	26000	2.2486251263513167e-05	21	933904
D	ERR6210723	Arabidopsis thaliana	Col-0N	length_histogram	28000	28000	0.00012742209049324126	119	933904
D	ERR6210723	Arabidopsis thaliana	Col-0N	length_histogram	30000	30000	0.00013705905532046121	128	933904
D	ERR6210723	Arabidopsis thaliana	Col-0N	length_histogram	32000	32000	9.208655279343487e-05	86	933904
D	ERR6210723	Arabidopsis thaliana	Col-0N	length_histogram	34000	34000	5.5680241223937366e-05	52	933904
D	ERR6210723	Arabidopsis thaliana	Col-0N	length_histogram	36000	36000	3.747708543918861e-05	35	933904
D	ERR6210723	Arabidopsis thaliana	Col-0N	length_histogram	38000	38000	7.4954170878377225e-06	7	933904
D	ERR6210723	Arabidopsis thaliana	Col-0N	length_histogram	40000	40000	3.2123216090733095e-06	3	933904
D	ERR6210723	Arabidopsis thaliana	Col-0N	length_histogram	42000	42000	0.0	0	933904
D	ERR6210723	Arabidopsis thaliana	Col-0N	length_histogram	44000	44000	0.0	0	933904
D	ERR6210723	Arabidopsis thaliana	Col-0N	length_histogram	46000	46000	0.0	0	933904
D	ERR6210723	Arabidopsis thaliana	Col-0N	length_histogram	48000	48000	0.0	0	933904
D	ERR6210723	Arabidopsis thaliana	Col-0N	length_histogram	50000	50000	0.0	0	933904
D	ERR6210723	Arabidopsis thaliana	Col-0N	length_histogram	52000	52000	0.0	0	933904
D	ERR6210723	Arabidopsis thaliana	Col-0N	length_histogram	54000	54000	0.0	0	933904
D	ERR6210723	Arabidopsis thaliana	Col-0N	length_histogram	56000	56000	0.0	0	933904
D	ERR6210723	Arabidopsis thaliana	Col-0N	length_histogram	58000	58000	0.0	0	933904
D	ERR6210723	Arabidopsis thaliana	Col-0N	length_histogram	60000	60000	0.0	0	933904
D	ERR6210723	Arabidopsis thaliana	Col-0N	length_histogram	62000	62000	0.0	0	933904
D	ERR6210723	Arabidopsis thaliana	Col-0N	length_histogram	64000	64000	0.0	0	933904
D	ERR6210723	Arabidopsis thaliana	Col-0N	length_histogram	66000	66000	0.0	0	933904
D	ERR6210723	Arabidopsis thaliana	Col-0N	length_histogram	68000	68000	0.0	0	933904
D	ERR6210723	Arabidopsis thaliana	Col-0N	length_histogram	70000	70000	0.0	0	933904
D	ERR6210723	Arabidopsis thaliana	Col-0N	length_histogram	72000	72000	0.0	0	933904
D	ERR6210723	Arabidopsis thaliana	Col-0N	length_histogram	74000	74000	0.0	0	933904
D	ERR6210723	Arabidopsis thaliana	Col-0N	length_histogram	76000	76000	0.0	0	933904
D	ERR6210723	Arabidopsis thaliana	Col-0N	length_histogram	78000	78000	0.0	0	933904
D	ERR6210723	Arabidopsis thaliana	Col-0N	length_histogram	80000	at_least_80000	0.0	0	933904
D	ERR8666127	Arabidopsis thaliana	Col-0R	length_histogram	0	0	6.71543838585281e-05	66	982810
D	ERR8666127	Arabidopsis thaliana	Col-0R	length_histogram	2000	2000	0.00040190881248664543	395	982810
D	ERR8666127	Arabidopsis thaliana	Col-0R	length_histogram	4000	4000	0.001051067856452417	1033	982810
D	ERR8666127	Arabidopsis thaliana	Col-0R	length_histogram	6000	6000	0.0005952320387460445	585	982810
D	ERR8666127	Arabidopsis thaliana	Col-0R	length_histogram	8000	8000	0.001010368229871491	993	982810
D	ERR8666127	Arabidopsis thaliana	Col-0R	length_histogram	10000	10000	0.015916606465135683	15643	982810
D	ERR8666127	Arabidopsis thaliana	Col-0R	length_histogram	12000	12000	0.19715306112066422	193764	982810
D	ERR8666127	Arabidopsis thaliana	Col-0R	length_histogram	14000	14000	0.22472807561990618	220865	982810
D	ERR8666127	Arabidopsis thaliana	Col-0R	length_histogram	16000	16000	0.1672520629623223	164377	982810
D	ERR8666127	Arabidopsis thaliana	Col-0R	length_histogram	18000	18000	0.11975559874238154	117697	982810
D	ERR8666127	Arabidopsis thaliana	Col-0R	length_histogram	20000	20000	0.08514260131663293	83679	982810
D	ERR8666127	Arabidopsis thaliana	Col-0R	length_histogram	22000	22000	0.06007977126809862	59047	982810
D	ERR8666127	Arabidopsis thaliana	Col-0R	length_histogram	24000	24000	0.04209257130065832	41369	982810
D	ERR8666127	Arabidopsis thaliana	Col-0R	length_histogram	26000	26000	0.02915721248257547	28656	982810
D	ERR8666127	Arabidopsis thaliana	Col-0R	length_histogram	28000	28000	0.01967216450789064	19334	982810
D	ERR8666127	Arabidopsis thaliana	Col-0R	length_histogram	30000	30000	0.013049317772509438	12825	982810
D	ERR8666127	Arabidopsis thaliana	Col-0R	length_histogram	32000	32000	0.008543869110000915	8397	982810
D	ERR8666127	Arabidopsis thaliana	Col-0R	length_histogram	34000	34000	0.005386595577985572	5294	982810
D	ERR8666127	Arabidopsis thaliana	Col-0R	length_histogram	36000	36000	0.0034228385954558865	3364	982810
D	ERR8666127	Arabidopsis thaliana	Col-0R	length_histogram	38000	38000	0.0021519927554664686	2115	982810
D	ERR8666127	Arabidopsis thaliana	Col-0R	length_histogram	40000	40000	0.0012738983119829875	1252	982810
D	ERR8666127	Arabidopsis thaliana	Col-0R	length_histogram	42000	42000	0.0008638495741801568	849	982810
D	ERR8666127	Arabidopsis thaliana	Col-0R	length_histogram	44000	44000	0.0004965354442872987	488	982810
D	ERR8666127	Arabidopsis thaliana	Col-0R	length_histogram	46000	46000	0.0003032122180278996	298	982810
D	ERR8666127	Arabidopsis thaliana	Col-0R	length_histogram	48000	48000	0.0001516061090139498	149	982810
D	ERR8666127	Arabidopsis thaliana	Col-0R	length_histogram	50000	50000	0.00011497644509111629	113	982810
D	ERR8666127	Arabidopsis thaliana	Col-0R	length_histogram	52000	52000	7.122434651662072e-05	70	982810
D	ERR8666127	Arabidopsis thaliana	Col-0R	length_histogram	54000	54000	4.273460790997242e-05	42	982810
D	ERR8666127	Arabidopsis thaliana	Col-0R	length_histogram	56000	56000	2.747224794212513e-05	27	982810
D	ERR8666127	Arabidopsis thaliana	Col-0R	length_histogram	58000	58000	1.4244869303324142e-05	14	982810
D	ERR8666127	Arabidopsis thaliana	Col-0R	length_histogram	60000	60000	5.087453322615765e-06	5	982810
D	ERR8666127	Arabidopsis thaliana	Col-0R	length_histogram	62000	62000	3.052471993569459e-06	3	982810
D	ERR8666127	Arabidopsis thaliana	Col-0R	length_histogram	64000	64000	2.034981329046306e-06	2	982810
D	ERR8666127	Arabidopsis thaliana	Col-0R	length_histogram	66000	66000	0.0	0	982810
D	ERR8666127	Arabidopsis thaliana	Col-0R	length_histogram	68000	68000	0.0	0	982810
D	ERR8666127	Arabidopsis thaliana	Col-0R	length_histogram	70000	70000	0.0	0	982810
D	ERR8666127	Arabidopsis thaliana	Col-0R	length_histogram	72000	72000	0.0	0	982810
D	ERR8666127	Arabidopsis thaliana	Col-0R	length_histogram	74000	74000	0.0	0	982810
D	ERR8666127	Arabidopsis thaliana	Col-0R	length_histogram	76000	76000	0.0	0	982810
D	ERR8666127	Arabidopsis thaliana	Col-0R	length_histogram	78000	78000	0.0	0	982810
D	ERR8666127	Arabidopsis thaliana	Col-0R	length_histogram	80000	at_least_80000	0.0	0	982810
D	ERR8666125	Arabidopsis thaliana	Ey15-2R	length_histogram	0	0	0.00029608899862223104	248	837586
D	ERR8666125	Arabidopsis thaliana	Ey15-2R	length_histogram	2000	2000	0.00016834092260376845	141	837586
D	ERR8666125	Arabidopsis thaliana	Ey15-2R	length_histogram	4000	4000	9.790039470573768e-05	82	837586
D	ERR8666125	Arabidopsis thaliana	Ey15-2R	length_histogram	6000	6000	7.879787866559375e-05	66	837586
D	ERR8666125	Arabidopsis thaliana	Ey15-2R	length_histogram	8000	8000	0.00011222728173584563	94	837586
D	ERR8666125	Arabidopsis thaliana	Ey15-2R	length_histogram	10000	10000	0.0007760397141308474	650	837586
D	ERR8666125	Arabidopsis thaliana	Ey15-2R	length_histogram	12000	12000	0.008189009844959204	6859	837586
D	ERR8666125	Arabidopsis thaliana	Ey15-2R	length_histogram	14000	14000	0.05347152411812041	44787	837586
D	ERR8666125	Arabidopsis thaliana	Ey15-2R	length_histogram	16000	16000	0.1325941455563966	111059	837586
D	ERR8666125	Arabidopsis thaliana	Ey15-2R	length_histogram	18000	18000	0.17319057386345998	145062	837586
D	ERR8666125	Arabidopsis thaliana	Ey15-2R	length_histogram	20000	20000	0.17136628358162626	143534	837586
D	ERR8666125	Arabidopsis thaliana	Ey15-2R	length_histogram	22000	22000	0.14538089223076794	121769	837586
D	ERR8666125	Arabidopsis thaliana	Ey15-2R	length_histogram	24000	24000	0.11085906402447032	92854	837586
D	ERR8666125	Arabidopsis thaliana	Ey15-2R	length_histogram	26000	26000	0.07750726492563152	64919	837586
D	ERR8666125	Arabidopsis thaliana	Ey15-2R	length_histogram	28000	28000	0.05104789239552714	42757	837586
D	ERR8666125	Arabidopsis thaliana	Ey15-2R	length_histogram	30000	30000	0.03197880575845346	26785	837586
D	ERR8666125	Arabidopsis thaliana	Ey15-2R	length_histogram	32000	32000	0.019328164510868138	16189	837586
D	ERR8666125	Arabidopsis thaliana	Ey15-2R	length_histogram	34000	34000	0.011313465124775247	9476	837586
D	ERR8666125	Arabidopsis thaliana	Ey15-2R	length_histogram	36000	36000	0.0063300962528026975	5302	837586
D	ERR8666125	Arabidopsis thaliana	Ey15-2R	length_histogram	38000	38000	0.0032187739527642536	2696	837586
D	ERR8666125	Arabidopsis thaliana	Ey15-2R	length_histogram	40000	40000	0.0015759575733118748	1320	837586
D	ERR8666125	Arabidopsis thaliana	Ey15-2R	length_histogram	42000	42000	0.0006876905774451818	576	837586
D	ERR8666125	Arabidopsis thaliana	Ey15-2R	length_histogram	44000	44000	0.00025788396654194314	216	837586
D	ERR8666125	Arabidopsis thaliana	Ey15-2R	length_histogram	46000	46000	0.00010745165272580965	90	837586
D	ERR8666125	Arabidopsis thaliana	Ey15-2R	length_histogram	48000	48000	4.1786753837814866e-05	35	837586
D	ERR8666125	Arabidopsis thaliana	Ey15-2R	length_histogram	50000	50000	1.4326887030107953e-05	12	837586
D	ERR8666125	Arabidopsis thaliana	Ey15-2R	length_histogram	52000	52000	4.775629010035984e-06	4	837586
D	ERR8666125	Arabidopsis thaliana	Ey15-2R	length_histogram	54000	54000	2.387814505017992e-06	2	837586
D	ERR8666125	Arabidopsis thaliana	Ey15-2R	length_histogram	56000	56000	2.387814505017992e-06	2	837586
D	ERR8666125	Arabidopsis thaliana	Ey15-2R	length_histogram	58000	58000	0.0	0	837586
D	ERR8666125	Arabidopsis thaliana	Ey15-2R	length_histogram	60000	60000	0.0	0	837586
D	ERR8666125	Arabidopsis thaliana	Ey15-2R	length_histogram	62000	62000	0.0	0	837586
D	ERR8666125	Arabidopsis thaliana	Ey15-2R	length_histogram	64000	64000	0.0	0	837586
D	ERR8666125	Arabidopsis thaliana	Ey15-2R	length_histogram	66000	66000	0.0	0	837586
D	ERR8666125	Arabidopsis thaliana	Ey15-2R	length_histogram	68000	68000	0.0	0	837586
D	ERR8666125	Arabidopsis thaliana	Ey15-2R	length_histogram	70000	70000	0.0	0	837586
D	ERR8666125	Arabidopsis thaliana	Ey15-2R	length_histogram	72000	72000	0.0	0	837586
D	ERR8666125	Arabidopsis thaliana	Ey15-2R	length_histogram	74000	74000	0.0	0	837586
D	ERR8666125	Arabidopsis thaliana	Ey15-2R	length_histogram	76000	76000	0.0	0	837586
D	ERR8666125	Arabidopsis thaliana	Ey15-2R	length_histogram	78000	78000	0.0	0	837586
D	ERR8666125	Arabidopsis thaliana	Ey15-2R	length_histogram	80000	at_least_80000	0.0	0	837586
D	ERR10422581	Avena sativa	Victoria	length_histogram	0	0	0.0001980694496677949	79	398850
D	ERR10422581	Avena sativa	Victoria	length_histogram	2000	2000	8.273787138021812e-05	33	398850
D	ERR10422581	Avena sativa	Victoria	length_histogram	4000	4000	8.775228782750407e-05	35	398850
D	ERR10422581	Avena sativa	Victoria	length_histogram	6000	6000	0.00012536041118214867	50	398850
D	ERR10422581	Avena sativa	Victoria	length_histogram	8000	8000	0.0004337470226902344	173	398850
D	ERR10422581	Avena sativa	Victoria	length_histogram	10000	10000	0.001221010404914128	487	398850
D	ERR10422581	Avena sativa	Victoria	length_histogram	12000	12000	0.0021386486147674565	853	398850
D	ERR10422581	Avena sativa	Victoria	length_histogram	14000	14000	0.023522627554218377	9382	398850
D	ERR10422581	Avena sativa	Victoria	length_histogram	16000	16000	0.4385307759809452	174908	398850
D	ERR10422581	Avena sativa	Victoria	length_histogram	18000	18000	0.35580042622539804	141911	398850
D	ERR10422581	Avena sativa	Victoria	length_histogram	20000	20000	0.1435577284693494	57258	398850
D	ERR10422581	Avena sativa	Victoria	length_histogram	22000	22000	0.03171869123730726	12651	398850
D	ERR10422581	Avena sativa	Victoria	length_histogram	24000	24000	0.0025272658894321173	1008	398850
D	ERR10422581	Avena sativa	Victoria	length_histogram	26000	26000	5.014416447285947e-05	20	398850
D	ERR10422581	Avena sativa	Victoria	length_histogram	28000	28000	5.014416447285947e-06	2	398850
D	ERR10422581	Avena sativa	Victoria	length_histogram	30000	30000	0.0	0	398850
D	ERR10422581	Avena sativa	Victoria	length_histogram	32000	32000	0.0	0	398850
D	ERR10422581	Avena sativa	Victoria	length_histogram	34000	34000	0.0	0	398850
D	ERR10422581	Avena sativa	Victoria	length_histogram	36000	36000	0.0	0	398850
D	ERR10422581	Avena sativa	Victoria	length_histogram	38000	38000	0.0	0	398850
D	ERR10422581	Avena sativa	Victoria	length_histogram	40000	40000	0.0	0	398850
D	ERR10422581	Avena sativa	Victoria	length_histogram	42000	42000	0.0	0	398850
D	ERR10422581	Avena sativa	Victoria	length_histogram	44000	44000	0.0	0	398850
D	ERR10422581	Avena sativa	Victoria	length_histogram	46000	46000	0.0	0	398850
D	ERR10422581	Avena sativa	Victoria	length_histogram	48000	48000	0.0	0	398850
D	ERR10422581	Avena sativa	Victoria	length_histogram	50000	50000	0.0	0	398850
D	ERR10422581	Avena sativa	Victoria	length_histogram	52000	52000	0.0	0	398850
D	ERR10422581	Avena sativa	Victoria	length_histogram	54000	54000	0.0	0	398850
D	ERR10422581	Avena sativa	Victoria	length_histogram	56000	56000	0.0	0	398850
D	ERR10422581	Avena sativa	Victoria	length_histogram	58000	58000	0.0	0	398850
D	ERR10422581	Avena sativa	Victoria	length_histogram	60000	60000	0.0	0	398850
D	ERR10422581	Avena sativa	Victoria	length_histogram	62000	62000	0.0	0	398850
D	ERR10422581	Avena sativa	Victoria	length_histogram	64000	64000	0.0	0	398850
D	ERR10422581	Avena sativa	Victoria	length_histogram	66000	66000	0.0	0	398850
D	ERR10422581	Avena sativa	Victoria	length_histogram	68000	68000	0.0	0	398850
D	ERR10422581	Avena sativa	Victoria	length_histogram	70000	70000	0.0	0	398850
D	ERR10422581	Avena sativa	Victoria	length_histogram	72000	72000	0.0	0	398850
D	ERR10422581	Avena sativa	Victoria	length_histogram	74000	74000	0.0	0	398850
D	ERR10422581	Avena sativa	Victoria	length_histogram	76000	76000	0.0	0	398850
D	ERR10422581	Avena sativa	Victoria	length_histogram	78000	78000	0.0	0	398850
D	ERR10422581	Avena sativa	Victoria	length_histogram	80000	at_least_80000	0.0	0	398850
D	SRR28726931	Glycine soja	YSD56	length_histogram	0	0	0.0003362337313500128	880	2617227
D	SRR28726931	Glycine soja	YSD56	length_histogram	2000	2000	0.0007813613416031548	2045	2617227
D	SRR28726931	Glycine soja	YSD56	length_histogram	4000	4000	0.0011974505841487956	3134	2617227
D	SRR28726931	Glycine soja	YSD56	length_histogram	6000	6000	0.002465586668638219	6453	2617227
D	SRR28726931	Glycine soja	YSD56	length_histogram	8000	8000	0.01848330312961008	48375	2617227
D	SRR28726931	Glycine soja	YSD56	length_histogram	10000	10000	0.1002125532099432	262279	2617227
D	SRR28726931	Glycine soja	YSD56	length_histogram	12000	12000	0.16967118251492896	444068	2617227
D	SRR28726931	Glycine soja	YSD56	length_histogram	14000	14000	0.18651076119878024	488141	2617227
D	SRR28726931	Glycine soja	YSD56	length_histogram	16000	16000	0.16714904744601825	437467	2617227
D	SRR28726931	Glycine soja	YSD56	length_histogram	18000	18000	0.1287756086881268	337035	2617227
D	SRR28726931	Glycine soja	YSD56	length_histogram	20000	20000	0.08888797188780338	232640	2617227
D	SRR28726931	Glycine soja	YSD56	length_histogram	22000	22000	0.05723844358934093	149806	2617227
D	SRR28726931	Glycine soja	YSD56	length_histogram	24000	24000	0.03546501698171385	92820	2617227
D	SRR28726931	Glycine soja	YSD56	length_histogram	26000	26000	0.021035240733799553	55054	2617227
D	SRR28726931	Glycine soja	YSD56	length_histogram	28000	28000	0.01193820788185358	31245	2617227
D	SRR28726931	Glycine soja	YSD56	length_histogram	30000	30000	0.006137029764708984	16062	2617227
D	SRR28726931	Glycine soja	YSD56	length_histogram	32000	32000	0.002649751053309476	6935	2617227
D	SRR28726931	Glycine soja	YSD56	length_histogram	34000	34000	0.000839055993232532	2196	2617227
D	SRR28726931	Glycine soja	YSD56	length_histogram	36000	36000	0.00017690479274438175	463	2617227
D	SRR28726931	Glycine soja	YSD56	length_histogram	38000	38000	2.8656283921876093e-05	75	2617227
D	SRR28726931	Glycine soja	YSD56	length_histogram	40000	40000	5.349172998750204e-06	14	2617227
D	SRR28726931	Glycine soja	YSD56	length_histogram	42000	42000	6.877508141250262e-06	18	2617227
D	SRR28726931	Glycine soja	YSD56	length_histogram	44000	44000	3.0566702850001165e-06	8	2617227
D	SRR28726931	Glycine soja	YSD56	length_histogram	46000	46000	1.1462513568750438e-06	3	2617227
D	SRR28726931	Glycine soja	YSD56	length_histogram	48000	48000	2.2925027137500876e-06	6	2617227
D	SRR28726931	Glycine soja	YSD56	length_histogram	50000	50000	7.641675712500291e-07	2	2617227
D	SRR28726931	Glycine soja	YSD56	length_histogram	52000	52000	3.8208378562501456e-07	1	2617227
D	SRR28726931	Glycine soja	YSD56	length_histogram	54000	54000	7.641675712500291e-07	2	2617227
D	SRR28726931	Glycine soja	YSD56	length_histogram	56000	56000	0.0	0	2617227
D	SRR28726931	Glycine soja	YSD56	length_histogram	58000	58000	0.0	0	2617227
D	SRR28726931	Glycine soja	YSD56	length_histogram	60000	60000	0.0	0	2617227
D	SRR28726931	Glycine soja	YSD56	length_histogram	62000	62000	0.0	0	2617227
D	SRR28726931	Glycine soja	YSD56	length_histogram	64000	64000	0.0	0	2617227
D	SRR28726931	Glycine soja	YSD56	length_histogram	66000	66000	0.0	0	2617227
D	SRR28726931	Glycine soja	YSD56	length_histogram	68000	68000	0.0	0	2617227
D	SRR28726931	Glycine soja	YSD56	length_histogram	70000	70000	0.0	0	2617227
D	SRR28726931	Glycine soja	YSD56	length_histogram	72000	72000	0.0	0	2617227
D	SRR28726931	Glycine soja	YSD56	length_histogram	74000	74000	0.0	0	2617227
D	SRR28726931	Glycine soja	YSD56	length_histogram	76000	76000	0.0	0	2617227
D	SRR28726931	Glycine soja	YSD56	length_histogram	78000	78000	0.0	0	2617227
D	SRR28726931	Glycine soja	YSD56	length_histogram	80000	at_least_80000	0.0	0	2617227
D	ERR4659246	Hordeum vulgare	Morex	length_histogram	0	0	0.0011308117198486451	1014	896701
D	ERR4659246	Hordeum vulgare	Morex	length_histogram	2000	2000	0.003215118528918781	2883	896701
D	ERR4659246	Hordeum vulgare	Morex	length_histogram	4000	4000	0.004592389213349824	4118	896701
D	ERR4659246	Hordeum vulgare	Morex	length_histogram	6000	6000	0.007152885967563324	6414	896701
D	ERR4659246	Hordeum vulgare	Morex	length_histogram	8000	8000	0.0028504484772516143	2556	896701
D	ERR4659246	Hordeum vulgare	Morex	length_histogram	10000	10000	0.001935985350746793	1736	896701
D	ERR4659246	Hordeum vulgare	Morex	length_histogram	12000	12000	0.0017408255371634469	1561	896701
D	ERR4659246	Hordeum vulgare	Morex	length_histogram	14000	14000	0.0025069672053449257	2248	896701
D	ERR4659246	Hordeum vulgare	Morex	length_histogram	16000	16000	0.01574660895883912	14120	896701
D	ERR4659246	Hordeum vulgare	Morex	length_histogram	18000	18000	0.2021866820712813	181301	896701
D	ERR4659246	Hordeum vulgare	Morex	length_histogram	20000	20000	0.3293873877691672	295362	896701
D	ERR4659246	Hordeum vulgare	Morex	length_histogram	22000	22000	0.21326395309027202	191234	896701
D	ERR4659246	Hordeum vulgare	Morex	length_histogram	24000	24000	0.11671449011431904	104658	896701
D	ERR4659246	Hordeum vulgare	Morex	length_histogram	26000	26000	0.058817822217216216	52742	896701
D	ERR4659246	Hordeum vulgare	Morex	length_histogram	28000	28000	0.02880558848490188	25830	896701
D	ERR4659246	Hordeum vulgare	Morex	length_histogram	30000	30000	0.009909657734294933	8886	896701
D	ERR4659246	Hordeum vulgare	Morex	length_histogram	32000	32000	4.2377559520955146e-05	38	896701
D	ERR4659246	Hordeum vulgare	Morex	length_histogram	34000	34000	0.0	0	896701
D	ERR4659246	Hordeum vulgare	Morex	length_histogram	36000	36000	0.0	0	896701
D	ERR4659246	Hordeum vulgare	Morex	length_histogram	38000	38000	0.0	0	896701
D	ERR4659246	Hordeum vulgare	Morex	length_histogram	40000	40000	0.0	0	896701
D	ERR4659246	Hordeum vulgare	Morex	length_histogram	42000	42000	0.0	0	896701
D	ERR4659246	Hordeum vulgare	Morex	length_histogram	44000	44000	0.0	0	896701
D	ERR4659246	Hordeum vulgare	Morex	length_histogram	46000	46000	0.0	0	896701
D	ERR4659246	Hordeum vulgare	Morex	length_histogram	48000	48000	0.0	0	896701
D	ERR4659246	Hordeum vulgare	Morex	length_histogram	50000	50000	0.0	0	896701
D	ERR4659246	Hordeum vulgare	Morex	length_histogram	52000	52000	0.0	0	896701
D	ERR4659246	Hordeum vulgare	Morex	length_histogram	54000	54000	0.0	0	896701
D	ERR4659246	Hordeum vulgare	Morex	length_histogram	56000	56000	0.0	0	896701
D	ERR4659246	Hordeum vulgare	Morex	length_histogram	58000	58000	0.0	0	896701
D	ERR4659246	Hordeum vulgare	Morex	length_histogram	60000	60000	0.0	0	896701
D	ERR4659246	Hordeum vulgare	Morex	length_histogram	62000	62000	0.0	0	896701
D	ERR4659246	Hordeum vulgare	Morex	length_histogram	64000	64000	0.0	0	896701
D	ERR4659246	Hordeum vulgare	Morex	length_histogram	66000	66000	0.0	0	896701
