family_id	monomer_length	diagnostic_kmer_count	median_kmer_depth	haploid_depth	estimated_copy_number	estimated_bp	depth_mad	copy_number_interval_low	copy_number_interval_high	confidence	warning
f001	61	61	68.0000	5.0004	13.5988	829.5260	1.0000	12.7989	13.7988	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f002	61	61	96.0000	5.0004	19.1983	1171.0956	14.0000	14.3987	21.9980	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f003	61	61	98.0000	5.0004	19.5983	1195.4934	0.0000	18.7983	19.5983	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f004	61	61	79.0000	5.0004	15.7986	963.7141	7.0000	14.3987	17.9984	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f005	61	61	91.0000	5.0004	18.1984	1110.1010	1.0000	17.3984	18.3984	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f006	61	61	36.0000	5.0004	7.1994	439.1608	3.0000	6.5994	8.9992	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f007	61	61	506.0000	5.0004	101.1910	6172.6496	1.0000	99.9911	101.3910	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f008	61	61	457.0000	5.0004	91.3919	5574.9029	11.0000	88.9921	97.9913	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f009	61	61	0.0000	5.0004	0.0000	0.0000	0.0000	0.0000	0.0000	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f010	61	61	275.0000	5.0004	54.9951	3354.7009	12.0000	50.9955	59.7947	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f011	61	61	465.0000	5.0004	92.9917	5672.4942	2.0000	92.1918	93.5917	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f012	61	61	365.0000	5.0004	72.9935	4452.6030	29.0000	65.5942	79.7929	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f013	61	61	1027.0000	5.0004	205.3817	12528.2830	1.0000	204.1818	205.5817	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
