family_id	read_estimated_bp	old_assembly_bp	new_assembly_bp	sensitivity_assembly_bp	old_read_ratio	new_read_ratio	old_new_ratio	predicted_missing_bp	observed_gain_bp	reference_state	prediction_state	eligibility	fate	outcome
TXF000481	91.2869	588.0	588.0	588.0	6.441230888550273	6.441230888550273	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000482	108.2731	124.0	124.0	124.0	1.1452521448078978	1.1452521448078978	1.0	0.0	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000483	166.7667	228.0	228.0	228.0	1.3671794189127686	1.3671794189127686	1.0	0.0	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000484	106.878	116.0	116.0	116.0	1.0853496510039484	1.0853496510039484	1.0	0.0	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000485	82.229	155.0	155.0	155.0	1.8849797516691191	1.8849797516691191	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000486	83.349	91.0	91.0	91.0	1.0917947425883934	1.0917947425883934	1.0	0.0	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000487	78.6923	105.0	105.0	105.0	1.3343109808710636	1.3343109808710636	1.0	0.0	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000488	0.0	0.0	0.0	0.0	NA	NA	NA	0.0	0.0	unresolved	unresolved	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000489	269.1157	740.0	740.0	740.0	2.749746670298314	2.749746670298314	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000490	0.0	48.0	48.0	48.0	NA	NA	1.0	0.0	0.0	reference_retained	unresolved	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000491	77.7786	170.0	170.0	170.0	2.1856911798360987	2.1856911798360987	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000492	100.7968	117.0	117.0	117.0	1.1607511349566653	1.1607511349566653	1.0	0.0	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
