tandemx_length_bp	recurrent_exact_unmatched_query_count	direct_length_eligible_pair_count	integer_multiple_length_eligible_pair_count	length_eligible_pair_union_count
221	6	206196	1426110	1632306
222	10	340890	2359710	2700600
223	7	234787	1655458	1890245
224	7	229908	1637657	1867565
225	7	232701	1712613	1945314
226	5	164995	1190545	1355540
227	5	164200	1071600	1235800
228	7	230335	1780709	2011044
229	5	165075	1255510	1420585
230	7	237216	1725122	1962338
231	12	409524	3012084	3421608
232	4	136764	981532	1118296
233	6	206118	1560936	1767054
234	14	492226	3730524	4222750
235	6	211698	1599774	1811472
236	5	177290	1328360	1505650
237	10	354980	2580900	2935880
238	7	248647	1882594	2131241
239	13	459134	3485690	3944824
240	14	501102	3861340	4362442
241	7	246092	1922648	2168740
242	9	313704	2398374	2712078
243	6	211368	1625922	1837290
244	8	282032	2174560	2456592
245	5	177515	1356950	1534465
246	8	305120	2190104	2495224
247	7	271530	2042012	2313542
248	6	235644	1685610	1921254
249	10	423700	2789090	3212790
250	5	215320	1357850	1573170
251	6	257934	1773300	2031234
252	6	260082	1821090	2081172
253	7	302694	1851857	2154551
254	10	431580	2676480	3108060
255	7	301581	1910293	2211874
256	8	345296	2137320	2482616
257	6	258918	1655490	1914408
258	10	429080	2598580	3027660
259	9	383544	2278026	2661570
260	9	389187	2472237	2861424
261	9	390114	2339982	2730096
262	12	518052	3174660	3692712
263	7	300538	2019752	2320290
264	6	256590	1733058	1989648
265	4	170452	1049064	1219516
266	6	254496	1816776	2071272
267	2	84004	601854	685858
268	2	83706	596364	680070
269	3	125166	853491	978657
270	6	255438	1774740	2030178
271	7	296415	2048900	2345315
272	8	337856	2319688	2657544
273	16	672896	4794576	5467472
274	8	331936	2611464	2943400
275	8	328000	2592096	2920096
276	5	203145	1666240	1869385
277	4	161248	1345772	1507020
279	7	283808	2182215	2466023
280	1	41004	329302	370306
281	3	122337	1009176	1131513
282	5	202040	1695860	1897900
283	6	240324	2073594	2313918
284	9	357435	2898927	3256362
285	11	431728	3933358	4365086
286	4	155636	1415688	1571324
287	3	115701	1004307	1120008
288	7	270844	2374092	2644936
289	3	115278	1019793	1135071
290	9	349731	2850525	3200256
291	4	154388	1362588	1516976
292	8	306840	2712112	3018952
293	5	190770	1721730	1912500
294	2	75694	699584	775278
295	6	226578	1997706	2224284
296	6	226926	1995930	2222856
297	6	231372	2067804	2299176
298	7	270949	2412333	2683282
299	2	77742	669740	747482
300	6	236538	2075544	2312082
301	4	157732	1394392	1552124
302	2	78616	677704	756320
303	2	77556	607098	684654
304	6	216150	1958142	2174292
305	1	35119	317263	352382
306	3	104316	969015	1073331
307	3	94305	947133	1041438
308	7	218309	2361128	2579437
309	2	62278	642680	704958
310	1	31555	312500	344055
311	2	63038	608720	671758
312	3	94518	940449	1034967
313	1	31494	319998	351492
314	5	157580	1719505	1877085
315	3	95658	1030713	1126371
316	3	95208	948858	1044066
317	3	94668	944274	1038942
318	3	94275	944724	1038999
319	4	125360	1255556	1380916
320	2	63428	691158	754586
321	7	219996	2324042	2544038
322	3	93771	920595	1014366
323	9	279693	2911320	3191013
325	4	125092	1275720	1400812
326	3	93888	950625	1044513
327	2	62940	658530	721470
328	2	64910	626836	691746
329	5	163550	1570210	1733760
330	6	202368	1876302	2078670
331	3	102372	916731	1019103
332	5	181265	1500405	1681670
333	9	333423	2920806	3254229
334	3	111045	959745	1070790
335	3	111063	997053	1108116
336	2	73806	662824	736630
337	4	147232	1301368	1448600
338	3	110205	994668	1104873
339	3	109968	977982	1087950
340	5	184850	1703970	1888820
341	6	220266	1918098	2138364
342	3	110523	1112289	1222812
343	5	183365	1844105	2027470
344	2	73044	736948	809992
345	6	218514	2127270	2345784
346	4	145628	1521820	1667448
347	3	108963	1103010	1211973
348	3	108822	1164303	1273125
349	1	36202	382695	418897
350	4	146360	1648952	1795312
351	3	110079	1272360	1382439
352	1	36498	429704	466202
353	5	182080	1982945	2165025
354	5	181710	2091745	2273455
355	4	145056	1668580	1813636
