scenario	baseline_runtime_seconds	candidate_runtime_seconds	speedup	baseline_peak_rss_mib	candidate_peak_rss_mib
at_rich_control	1.1679005410987884	1.161807166179642	1.0052447386248986	28.03125	29.0
clean_171	1.1153444580268115	0.4502091249451041	2.4773919412735363	29.140625	28.8125
clean_421	0.5573258751537651	0.5528411250561476	1.0081121861134372	28.8125	28.640625
clean_60	0.6041269588749856	0.42085220804437995	1.435484826567142	28.25	28.765625
clean_729	0.6903605828993022	0.6633818328846246	1.0406685089601628	29.84375	29.46875
dispersed_control	0.8633372080512345	0.8640664999838918	0.9991559770773766	27.484375	27.8125
divergent_units	1.288414082955569	1.290161417098716	0.9986456468779882	29.765625	29.84375
indel_01pct	1.1337000411003828	1.0898611252196133	1.040224313783039	29.9375	29.65625
indel_1pct	1.1742542078718543	1.150551375001669	1.020601281598704	29.953125	29.484375
indel_4pct	1.0869820839725435	1.0929700420238078	0.9945213886739507	29.421875	29.265625
low_complexity_control	0.14685820881277323	0.14590483414940536	1.006534222590539	25.125	25.28125
related_families	1.1108337079640478	0.4523595829959959	2.4556431425790763	30.046875	28.21875
short_arrays	0.5045508749317378	0.4958904590457678	1.0174643728831465	27.390625	27.359375
substitution_1pct	1.1718872080091387	0.5090399170294404	2.302151891835552	29.4375	28.71875
substitution_5pct	1.2750692497938871	1.2925557079724967	0.9864714084888156	29.953125	30.3125
two_arrays	1.2420622920617461	1.229102540994063	1.0105440763772253	29.78125	29.921875
