scenario	dataset_id	seed	split	tool	repetition	total_bases	exit_code	runtime_seconds	peak_rss_mib	timed_out	status	error	truth_array_count	predicted_array_count	matched_array_count	array_recall	array_precision	array_f1	read_detection_recall	read_detection_precision	negative_read_count	false_positive_read_count	negative_read_call_rate	matched_period_mae_bp	matched_boundary_mae_bp	warning	array_recall_ci_low	array_recall_ci_high	array_precision_ci_low	array_precision_ci_high	negative_read_call_rate_ci_low	negative_read_call_rate_ci_high	truth_family_count	recovered_family_count	sequence_family_recall	family_criterion	prediction_sha256	catalog_sha256
clean_171	clean_171_s1101	1101	development	tidehunter	1	500000	0	0.22033029096201062	53.515625	False	ok		70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	1.4642857142857142	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	540dc0492dc1a7221e4253129d0dccadc58446e60c6177bb58e1b2983ae2cc67	783d9b476e7d461f44d5ee417e997ba16765fb2ebfbc6c445155079b9e047b09
clean_171	clean_171_s1101	1101	development	trf	1	500000	0	0.8619126668199897	38.265625	False	ok		70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	0.4357142857142857	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	8949c7e77c3940e2d4a513df4240b2d17fb0e44791293b4e89ac9b1a71c439d5	772374d7c042b041faba5ff9d1d385add04a67aa90bdf89ebcf40a30be919594
clean_171	clean_171_s1101	1101	development	tandemx	2	500000	0	0.41630604211241007	25.640625	False	ok		70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	0.4928571428571429	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	3be8ec579cc81574d699c1d502b8f3db603e2d1ce25330250cb421b5851ec54d	3b356c739183e26ae8d3252ab7089e95370048bb7eca5e6c1e54f1a27e5bb157
clean_171	clean_171_s1101	1101	development	trf	2	500000	0	0.8394269999116659	38.25	False	ok		70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	0.4357142857142857	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	8949c7e77c3940e2d4a513df4240b2d17fb0e44791293b4e89ac9b1a71c439d5	772374d7c042b041faba5ff9d1d385add04a67aa90bdf89ebcf40a30be919594
clean_171	clean_171_s1101	1101	development	tidehunter	2	500000	0	0.22379200020805	50.25	False	ok		70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	1.4642857142857142	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	540dc0492dc1a7221e4253129d0dccadc58446e60c6177bb58e1b2983ae2cc67	783d9b476e7d461f44d5ee417e997ba16765fb2ebfbc6c445155079b9e047b09
clean_171	clean_171_s1101	1101	development	tandemx	3	500000	0	0.41723333299160004	25.734375	False	ok		70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	0.4928571428571429	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	3be8ec579cc81574d699c1d502b8f3db603e2d1ce25330250cb421b5851ec54d	3b356c739183e26ae8d3252ab7089e95370048bb7eca5e6c1e54f1a27e5bb157
clean_171	clean_171_s1101	1101	development	trf	3	500000	0	0.8453299170359969	38.25	False	ok		70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	0.4357142857142857	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	8949c7e77c3940e2d4a513df4240b2d17fb0e44791293b4e89ac9b1a71c439d5	772374d7c042b041faba5ff9d1d385add04a67aa90bdf89ebcf40a30be919594
clean_171	clean_171_s1101	1101	development	tidehunter	3	500000	0	0.24778129206970334	63.828125	False	ok		70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	1.4642857142857142	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	540dc0492dc1a7221e4253129d0dccadc58446e60c6177bb58e1b2983ae2cc67	783d9b476e7d461f44d5ee417e997ba16765fb2ebfbc6c445155079b9e047b09
clean_421	clean_421_s1101	1101	development	tandemx	1	500000	0	0.3131059999577701	25.8125	False	ok		70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	0.39285714285714285	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	90ea82f92cf1eb2864b400aa13e48de8b4ff8d18a7bbc8d21028af7e01b5653e	9debba242d10d42450b353fadb67f828943aed1eaa3c5d59b772acc11ca3987d
clean_421	clean_421_s1101	1101	development	tidehunter	1	500000	0	0.384038208052516	69.171875	False	ok		70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	6.414285714285715	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1c1cc148ff0da3a554258a3ef243e49e28680aa4b1d9ab04ba0aadff18f43ef9	31f1855f10fd258d65d2983a21630ef3388f5afb0a935f6ed60bb6a83a1caa18
