scenario	dataset_id	tool	seed	split	successful_runs	attempted_runs	deterministic	median_runtime_seconds	median_peak_rss_mib	array_recall	array_precision	array_f1	read_detection_recall	read_detection_precision	negative_read_call_rate	sequence_family_recall	matched_period_mae_bp	matched_boundary_mae_bp
low_complexity_control	low_complexity_control_s1101	tidehunter	1101	development	3	3	True	0.4391230000182986	19.15625	NA	0.0	0.0	NA	0.0	1.0	NA	NA	NA
low_complexity_control	low_complexity_control_s1101	trf	1101	development	3	3	True	172.56911020795815	38.96875	NA	NA	NA	NA	NA	0.0	NA	NA	NA
related_families	related_families_s1101	tandemx	1101	development	3	3	True	0.4140463750809431	25.765625	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.4
related_families	related_families_s1101	tidehunter	1101	development	3	3	True	0.23442241689190269	65.1875	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.8571428571428571
related_families	related_families_s1101	trf	1101	development	3	3	True	0.8609631669241935	38.234375	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.34285714285714286
short_arrays	short_arrays_s1101	tandemx	1101	development	3	3	True	0.3712858750950545	25.984375	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.38571428571428573
short_arrays	short_arrays_s1101	tidehunter	1101	development	3	3	True	0.1262649588752538	45.90625	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.40714285714285714
short_arrays	short_arrays_s1101	trf	1101	development	3	3	True	0.16802549990825355	38.140625	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.3
substitution_1pct	substitution_1pct_s1101	tandemx	1101	development	3	3	True	0.4157079590950161	25.75	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.3357142857142857
substitution_1pct	substitution_1pct_s1101	tidehunter	1101	development	3	3	True	0.24227120797149837	48.109375	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.42142857142857143
substitution_1pct	substitution_1pct_s1101	trf	1101	development	3	3	True	0.9022116251289845	38.3125	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.4357142857142857
substitution_5pct	substitution_5pct_s1101	tandemx	1101	development	3	3	True	0.41744612506590784	25.734375	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.5785714285714285
substitution_5pct	substitution_5pct_s1101	tidehunter	1101	development	3	3	True	0.2479049579706043	60.1875	1.0	0.9090909090909091	0.9523809523809523	1.0	1.0	0.0	1.0	0.0	7.664285714285715
substitution_5pct	substitution_5pct_s1101	trf	1101	development	3	3	True	0.9433434579987079	38.359375	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.8857142857142857
two_arrays	two_arrays_s1101	tandemx	1101	development	3	3	True	0.413012333214283	25.546875	0.5	1.0	0.6666666666666666	1.0	1.0	0.0	1.0	0.0	0.5285714285714286
two_arrays	two_arrays_s1101	tidehunter	1101	development	3	3	True	0.3229914999101311	57.84375	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.025
two_arrays	two_arrays_s1101	trf	1101	development	3	3	True	0.9381861248984933	38.25	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.3964285714285714
