read_id	start	end	period	sequence	family_id
r000000001	0	16113	421		
r000000006	11857	15493	61		
r000000010	0	2804	61		
r000000015	8928	12501	61		
r000000017	6658	10569	421		
r000000019	1873	10293	421		
r000000020	0	14978	171		
r000000025	0	12640	171		
r000000026	0	11444	171		
r000000028	4	12990	421		
r000000039	11020	13808	420		
r000000045	14635	17875	171		
r000000047	12198	13419	61		
r000000048	0	13731	171		
r000000052	0	14677	420		
r000000058	0	6672	421		
r000000061	0	11774	421		
r000000064	10989	12300	171		
r000000065	0	7421	421		
r000000067	0	15722	171		
r000000074	2	14759	421		
r000000084	0	13434	171		
r000000087	1933	5366	171		
r000000091	0	12767	171		
r000000095	6221	9644	171		
r000000096	3974	12686	421		
r000000104	0	11990	171		
r000000106	2	7509	171		
r000000109	0	3990	421		
r000000114	15	1230	61		
r000000119	4261	10848	421		
r000000131	0	14025	171		
r000000139	0	11952	421		
r000000144	2	14154	171		
r000000146	2	12187	421		
r000000149	0	13657	171		
r000000151	14793	18334	61		
r000000152	0	14409	421		
r000000156	0	10289	421		
r000000161	0	13741	171		
r000000167	0	12295	171		
r000000178	0	5273	421		
r000000179	0	17945	421		
r000000182	1	11030	171		
r000000183	0	1759	419		
r000000184	0	14957	171		
r000000188	4824	14785	171		
r000000189	0	12840	171		
r000000193	1117	4551	171		
r000000196	2	13619	421		
r000000203	4905	6127	61		
r000000205	0	17223	171		
r000000206	0	13593	421		
r000000212	0	16404	171		
r000000213	0	15990	171		
r000000222	0	14567	421		
r000000223	2	11713	421		
r000000227	86	12903	421		
r000000229	0	13850	171		
r000000231	0	2967	61		
r000000234	0	11695	421		
r000000236	0	11332	171		
r000000237	0	5842	171		
r000000240	1	11170	171		
r000000243	12134	15933	171		
r000000248	0	11742	421		
r000000249	0	10909	421		
r000000250	9174	18040	421		
r000000254	2860	14019	421		
r000000270	2	14558	171		
r000000272	22176	22470	61		
r000000274	3267	6690	171		
r000000276	0	12958	421		
r000000278	0	14319	171		
r000000284	0	3107	61		
r000000285	0	2216	421		
r000000287	0	10931	171		
r000000291	13756	16566	421		
r000000293	6680	17586	421		
r000000296	0	8626	171		
r000000298	0	12199	421		
r000000303	0	16311	171		
r000000305	2	15544	171		
r000000308	12023	16241	421		
r000000311	0	13299	171		
r000000313	0	12751	171		
r000000317	0	5964	171		
r000000323	0	10444	421		
r000000326	0	2410	171		
r000000340	0	3280	421		
r000000350	0	12927	171		
r000000356	0	17395	171		
r000000362	0	11639	171		
r000000369	0	3334	171		
r000000371	0	2224	171		
r000000378	34	16473	421		
r000000380	0	5056	61		
r000000382	0	15392	421		
r000000383	0	17150	171		
r000000388	0	13535	421		
r000000391	0	11344	171		
r000000392	0	13611	171		
r000000396	0	4990	421		
r000000397	0	11394	421		
r000000399	0	12037	171		
r000000404	0	12876	171		
r000000406	0	4480	171		
r000000414	0	15722	171		
r000000430	0	12748	171		
r000000432	0	5090	421		
r000000436	0	12225	171		
r000000440	2	453	61		
r000000441	0	1476	171		
r000000442	0	1865	61		
r000000448	0	7625	421		
r000000450	0	5023	421		
r000000457	0	4634	61		
r000000459	0	17177	171		
r000000461	12007	16373	421		
