family_id	monomer_length	diagnostic_kmer_count	median_kmer_depth	haploid_depth	estimated_copy_number	estimated_bp	depth_mad	copy_number_interval_low	copy_number_interval_high	confidence	warning
f001	61	61	395.0000	20.0009	19.7491	1204.6968	1.0000	18.6992	19.7991	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f002	61	61	219.0000	20.0009	10.9495	667.9205	36.0000	8.2496	12.7994	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f003	61	61	488.0000	20.0009	24.3989	1488.3343	1.0000	23.2490	24.4489	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f004	61	61	291.0000	20.0009	14.5494	887.5108	23.0000	13.3494	16.6993	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f005	61	61	396.0000	20.0009	19.7991	1207.7467	2.0000	18.8492	19.8991	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f006	61	61	221.0000	20.0009	11.0495	674.0202	18.0000	10.1496	13.6494	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f007	61	61	2030.0000	20.0009	101.4955	6191.2266	1.0000	100.1956	101.5455	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f008	61	61	1436.0000	20.0009	71.7968	4379.6066	34.0000	69.7969	77.2466	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f009	61	61	916.0000	20.0009	45.7980	2793.6766	1.0000	45.0980	45.8480	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f010	61	61	945.0000	20.0009	47.2479	2882.1227	42.0000	43.9981	51.0977	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f011	61	61	1521.0000	20.0009	76.0466	4638.8452	2.0000	75.1967	76.2966	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f012	61	61	994.0000	20.0009	49.6978	3031.5661	77.0000	44.6980	54.4976	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f013	61	61	3309.0000	20.0009	165.4427	10092.0044	1.0000	164.5927	165.5427	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f014	61	61	2714.0000	20.0009	135.6940	8277.3345	60.0000	132.0442	146.3435	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f015	61	61	4460.0000	20.0009	222.9902	13602.3994	1.0000	221.8902	223.1401	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f016	61	61	2971.0000	20.0009	148.5434	9061.1499	74.0000	143.6937	153.9432	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f017	61	61	5509.0000	20.0009	275.4378	16801.7081	2.0000	274.2379	275.6878	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f018	61	61	1838.0000	20.0009	91.8959	5605.6525	47.0000	88.1961	96.3457	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f019	171	171	447.0000	20.0009	22.3490	3821.6813	1.0000	21.2491	22.3990	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f020	171	171	313.0000	20.0009	15.6493	2676.0318	27.0000	10.8995	18.1992	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f021	171	171	540.0000	20.0009	26.9988	4616.7961	2.0000	25.7489	27.0988	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f022	171	171	215.0000	20.0009	10.7495	1838.1688	17.0000	8.5996	12.1495	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f023	171	171	434.0000	20.0009	21.6990	3710.5362	1.0000	20.8991	21.7490	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
