stage	exit_code	wall_seconds	user_cpu_seconds	system_cpu_seconds	peak_process_tree_rss_mib	peak_process_count	peak_scratch_bytes	sample_count	stdout_log	stderr_log
locate_old_CLR_Falcon_purged	0	544.142684	512.783261	26.035467	148.328125	3	7907326	1011	locate_old_CLR_Falcon_purged.stdout.log	locate_old_CLR_Falcon_purged.stderr.log
locate_new_HiFi_IPA	0	522.725721	503.235528	22.941503	518.562500	3	7880170	971	locate_new_HiFi_IPA.stdout.log	locate_new_HiFi_IPA.stderr.log
