stage	elapsed_seconds	rss_mib	process_count	scratch_bytes
help	0.025048	3.218750	1	0
help	0.259567	23.562500	1	0
help	0.500488	23.562500	1	0
help	0.726001	23.562500	1	0
help	0.954793	23.562500	1	0
help	1.184688	23.562500	1	0
help	1.413007	0.000000	1	0
smoke	0.025115	2.406250	1	0
smoke	0.254048	23.562500	1	0
smoke	0.487194	23.562500	1	0
smoke	0.716773	23.562500	1	0
smoke	0.942157	23.562500	1	0
smoke	1.170164	23.562500	1	466944
smoke	1.399171	23.562500	1	892928
smoke	1.623915	23.562500	1	1253376
smoke	1.853459	23.562500	1	0
smoke	2.078145	23.562500	1	2225323
smoke	2.302709	23.562500	1	2257167
smoke	2.528815	23.562500	1	2601231
smoke	2.757191	23.562500	1	2607880
smoke	2.987912	23.562500	1	2607880
smoke	3.218427	23.562500	1	2607880
smoke	3.448052	23.562500	1	2607880
smoke	3.673404	23.562500	1	2607880
smoke	3.899569	23.562500	1	2607880
smoke	4.127432	23.562500	1	2607880
smoke	4.353941	23.562500	1	2607880
smoke	4.580323	23.562500	1	2607880
smoke	4.809791	23.562500	1	2607880
smoke	5.034567	24.140625	1	2607880
smoke	5.259837	24.156250	1	2607880
smoke	5.491459	24.156250	1	2607880
smoke	5.721524	24.156250	1	2607880
smoke	5.951186	24.156250	1	2607880
smoke	6.180737	24.156250	1	2607880
smoke	6.406153	24.156250	1	2607880
smoke	6.632151	24.156250	1	2607880
smoke	6.862060	24.156250	1	2607880
smoke	7.089747	24.156250	1	2607880
smoke	7.319945	24.156250	1	2607880
smoke	7.549777	24.156250	1	2607880
smoke	7.779962	24.156250	1	2607880
smoke	8.010222	24.156250	1	2607880
smoke	8.239764	24.156250	1	2607880
smoke	8.470427	24.156250	1	2607880
smoke	8.700364	24.156250	1	2607880
smoke	8.930095	24.156250	1	2607880
smoke	9.155783	24.156250	1	2607880
smoke	9.382835	24.156250	1	2607880
smoke	9.612761	24.156250	1	2607880
smoke	9.840624	24.156250	1	2607880
smoke	10.071965	24.171875	1	2607880
smoke	10.303174	24.171875	1	2607880
smoke	10.534449	24.171875	1	2607880
smoke	10.766307	24.171875	1	2607880
smoke	10.997405	24.171875	1	2607880
smoke	11.227996	24.171875	1	2607880
smoke	11.457654	24.171875	1	2607880
smoke	11.686192	24.171875	1	2607880
smoke	11.911467	24.171875	1	2607880
smoke	12.139608	24.171875	1	2607880
smoke	12.370024	24.171875	1	2607880
smoke	12.599843	24.171875	1	2607880
smoke	12.829984	24.171875	1	2607880
smoke	13.057063	24.171875	1	2607880
smoke	13.286999	24.171875	1	2607880
smoke	13.517416	24.171875	1	2607880
smoke	13.744851	25.062500	1	2607880
smoke	13.974607	25.062500	1	2607880
smoke	14.204285	25.062500	1	2607880
smoke	14.432477	25.062500	1	2607880
smoke	14.662754	25.062500	1	2607880
smoke	14.893275	25.062500	1	2607880
smoke	15.123459	25.062500	1	2607880
smoke	15.350099	25.062500	1	2607880
smoke	15.580580	25.062500	1	2607880
smoke	15.806133	25.062500	1	2607880
smoke	16.035945	25.062500	1	2607880
smoke	16.267772	25.062500	1	2607880
smoke	16.499183	25.062500	1	2607880
smoke	16.728630	25.062500	1	2607880
smoke	16.955117	25.062500	1	2607880
smoke	17.186042	25.062500	1	2607880
smoke	17.415997	25.062500	1	2607880
smoke	17.647530	25.062500	1	2607880
smoke	17.873018	25.062500	1	2607880
smoke	18.102921	25.062500	1	2607880
smoke	18.328393	25.062500	1	2607880
smoke	18.558721	25.062500	1	2607880
smoke	18.790010	25.062500	1	2607880
smoke	19.018327	25.062500	1	2607880
smoke	19.248015	25.062500	1	2607880
smoke	19.479971	25.062500	1	2607880
smoke	19.706090	25.062500	1	2607880
smoke	19.935998	25.062500	1	2607880
smoke	20.167192	25.062500	1	2607880
smoke	20.397682	25.062500	1	2607880
smoke	20.622881	25.062500	1	2607880
smoke	20.852474	25.062500	1	2607880
smoke	21.082428	25.062500	1	2607880
smoke	21.312304	25.062500	1	2607880
smoke	21.539768	25.062500	1	2607880
smoke	21.769707	25.062500	1	2607880
smoke	21.997073	25.062500	1	2607880
smoke	22.227322	25.062500	1	2607880
smoke	22.456449	25.062500	1	2607880
smoke	22.687192	25.062500	1	2607880
