seed	condition_id	coverage	error_model	generation_sha256	condition_manifest_sha256	reads_sha256	truth_sha256	catalogue_sha256	observed_read_count	observed_bases	all_truth_segments	eligible_truth_segments	excluded_partial_or_out_of_scope_reads	all_planted_families	observed_eligible_families
6301	condition_004	5	error_free	5dffdb94dae478e3ad12125d43d2d8db16ae5533fff67de305c63f1eb545d97b	f0ba03b36227092210a9d45013deae9250bc3df5facce30aa66122991bf63130	00b83c2801e416b8ba4ef37b4edec4a90248603bb0afdc86e43ec414042897ed	4581aa13b9dc00158738aefcc425e6307b5a68dacdb629d4c1064fd53f777dd3	1403ef95b9a67ec3e786c38cf46528487910d95d9e8ec887688957871cc121cb	3619	50002457	1064	1049	15	55	55
6301	condition_006	5	iid_high_indel	5dffdb94dae478e3ad12125d43d2d8db16ae5533fff67de305c63f1eb545d97b	bb7d0a884ba03025a17f6af65920d689fb8d10dcddedab9745df818008a7fb6e	2ac30d06bec62e699c4b305c1ba8570b7099dbbbcbe000b0e876ae0b4f7dd283	d14467ae899635a6cdb5207382c0824c54ea05084c0d0308adbef7015d74c939	1403ef95b9a67ec3e786c38cf46528487910d95d9e8ec887688957871cc121cb	3619	50003273	1064	1049	15	55	55
