seed	unit_substitution_rate	array_fragments	fragment_gap_bp	coverage	substitution_rate	assembly_fraction	family_id	truth_assembly_read_ratio	truth_underrepresented	assembly_predicted_bp	period	estimated_haploid_depth	method	read_estimated_copies	read_estimated_bp	predicted_assembly_read_ratio	native_status	predicted_underrepresented	outcome	fit_status	decision_threshold
5401	0.01	1	500	1	0	1	f1	1.0	False	1221.0	61	1.0045	single_k21	0.0	0.0	NA	assembly_only	False	TN	single_k_baseline	0.6
5401	0.01	1	500	1	0	1	f1	1.0	False	1221.0	61	1.0045	multik_loglinear	NA	NA	NA	unavailable	NA	NA	zero_support_at_one_or_more_k_not_absence	0.6
5401	0.01	1	500	1	0	1	f2	1.0	False	13656.0	171	1.0045	single_k21	54.7525	9362.6775	1.4585571274883709	consistent	False	TN	single_k_baseline	0.6
5401	0.01	1	500	1	0	1	f2	1.0	False	13656.0	171	1.0045	multik_loglinear	67.25140866679125	11499.990882021304	1.1874792023834844	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5401	0.01	1	500	1	0	1	f3	1.0	False	84095.0	421	1.0045	single_k21	159.28	67056.88	1.2540845920657209	consistent	False	TN	single_k_baseline	0.6
5401	0.01	1	500	1	0	1	f3	1.0	False	84095.0	421	1.0045	multik_loglinear	193.59711317467065	81504.38464653635	1.031784981442391	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5401	0.01	1	500	1	0	0.75	f1	0.75	False	916.0	61	1.0045	single_k21	0.0	0.0	NA	assembly_only	False	TN	single_k_baseline	0.6
5401	0.01	1	500	1	0	0.75	f1	0.75	False	916.0	61	1.0045	multik_loglinear	NA	NA	NA	unavailable	NA	NA	zero_support_at_one_or_more_k_not_absence	0.6
5401	0.01	1	500	1	0	0.75	f2	0.75	False	10238.0	171	1.0045	single_k21	54.7525	9362.6775	1.093490617400845	consistent	False	TN	single_k_baseline	0.6
5401	0.01	1	500	1	0	0.75	f2	0.75	False	10238.0	171	1.0045	multik_loglinear	67.25140866679125	11499.990882021304	0.8902615754248764	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5401	0.01	1	500	1	0	0.75	f3	0.75	False	63045.0	421	1.0045	single_k21	159.28	67056.88	0.9401719853354346	consistent	False	TN	single_k_baseline	0.6
5401	0.01	1	500	1	0	0.75	f3	0.75	False	63045.0	421	1.0045	multik_loglinear	193.59711317467065	81504.38464653635	0.7735166675193	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5401	0.01	1	500	1	0	0.5	f1	0.5	True	611.0	61	1.0045	single_k21	0.0	0.0	NA	assembly_only	False	FN	single_k_baseline	0.6
5401	0.01	1	500	1	0	0.5	f1	0.5	True	611.0	61	1.0045	multik_loglinear	NA	NA	NA	unavailable	NA	NA	zero_support_at_one_or_more_k_not_absence	0.6
5401	0.01	1	500	1	0	0.5	f2	0.5	True	0.0	171	1.0045	single_k21	54.7525	9362.6775	0.0	reads_only	True	TP	single_k_baseline	0.6
5401	0.01	1	500	1	0	0.5	f2	0.5	True	0.0	171	1.0045	multik_loglinear	67.25140866679125	11499.990882021304	0.0	reads_only	True	TP	experimental_log_linear_extrapolation	0.6
5401	0.01	1	500	1	0	0.5	f3	0.5	True	41995.0	421	1.0045	single_k21	159.28	67056.88	0.6262593786051484	consistent	False	FN	single_k_baseline	0.6
5401	0.01	1	500	1	0	0.5	f3	0.5	True	41995.0	421	1.0045	multik_loglinear	193.59711317467065	81504.38464653635	0.5152483535962091	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5401	0.01	1	500	1	0	0.25	f1	0.25	True	306.0	61	1.0045	single_k21	0.0	0.0	NA	assembly_only	False	FN	single_k_baseline	0.6
5401	0.01	1	500	1	0	0.25	f1	0.25	True	306.0	61	1.0045	multik_loglinear	NA	NA	NA	unavailable	NA	NA	zero_support_at_one_or_more_k_not_absence	0.6
5401	0.01	1	500	1	0	0.25	f2	0.25	True	0.0	171	1.0045	single_k21	54.7525	9362.6775	0.0	reads_only	True	TP	single_k_baseline	0.6
5401	0.01	1	500	1	0	0.25	f2	0.25	True	0.0	171	1.0045	multik_loglinear	67.25140866679125	11499.990882021304	0.0	reads_only	True	TP	experimental_log_linear_extrapolation	0.6
5401	0.01	1	500	1	0	0.25	f3	0.25	True	20883.0	421	1.0045	single_k21	159.28	67056.88	0.3114221836745163	possible_collapse	True	TP	single_k_baseline	0.6
5401	0.01	1	500	1	0	0.25	f3	0.25	True	20883.0	421	1.0045	multik_loglinear	193.59711317467065	81504.38464653635	0.2562193444017058	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5401	0.01	1	500	1	0	0	f1	0.0	True	0.0	61	1.0045	single_k21	0.0	0.0	NA	low_confidence	False	FN	single_k_baseline	0.6
5401	0.01	1	500	1	0	0	f1	0.0	True	0.0	61	1.0045	multik_loglinear	NA	NA	NA	unavailable	NA	NA	zero_support_at_one_or_more_k_not_absence	0.6
5401	0.01	1	500	1	0	0	f2	0.0	True	0.0	171	1.0045	single_k21	54.7525	9362.6775	0.0	reads_only	True	TP	single_k_baseline	0.6
