seed	unit_substitution_rate	array_fragments	fragment_gap_bp	locate_identity_model	locate_min_identity	assembly_fraction	family_id	true_assembly_bp	predicted_assembly_bp	overlap_bp	base_recall	base_precision	fragments	truth_fragments
5501	0.05	1	500	iid_base	0.9	1	f1	1220	1191	1191	0.9762295081967213	1.0	1	1
5501	0.05	1	500	iid_base	0.9	1	f2	13680	13654	13654	0.9980994152046784	1.0	1	1
5501	0.05	1	500	iid_base	0.9	1	f3	84200	84152	84152	0.9994299287410926	1.0	1	1
5501	0.05	1	500	iid_base	0.9	0.75	f1	915	904	904	0.9879781420765027	1.0	1	1
5501	0.05	1	500	iid_base	0.9	0.75	f2	10260	10260	10260	1.0	1.0	1	1
5501	0.05	1	500	iid_base	0.9	0.75	f3	63150	63104	63104	0.9992715756136183	1.0	1	1
5501	0.05	1	500	iid_base	0.9	0.5	f1	610	595	595	0.9754098360655737	1.0	1	1
5501	0.05	1	500	iid_base	0.9	0.5	f2	6840	6840	6840	1.0	1.0	1	1
5501	0.05	1	500	iid_base	0.9	0.5	f3	42100	42085	42085	0.9996437054631829	1.0	1	1
5501	0.05	1	500	iid_base	0.9	0.25	f1	305	285	285	0.9344262295081968	1.0	1	1
5501	0.05	1	500	iid_base	0.9	0.25	f2	3420	3398	3398	0.9935672514619883	1.0	1	1
5501	0.05	1	500	iid_base	0.9	0.25	f3	21050	21017	21017	0.9984323040380048	1.0	1	1
5501	0.05	1	500	iid_base	0.9	0	f1	0	0	0	NA	NA	0	0
5501	0.05	1	500	iid_base	0.9	0	f2	0	0	0	NA	NA	0	0
5501	0.05	1	500	iid_base	0.9	0	f3	0	0	0	NA	NA	0	0
5501	0.05	3	500	iid_base	0.9	1	f1	1220	1081	1079	0.8844262295081967	0.9981498612395929	3	3
5501	0.05	3	500	iid_base	0.9	1	f2	13680	13601	13601	0.9942251461988304	1.0	3	3
5501	0.05	3	500	iid_base	0.9	1	f3	84200	84107	84106	0.9988836104513064	0.9999881103832023	3	3
5501	0.05	3	500	iid_base	0.9	0.75	f1	915	827	827	0.9038251366120219	1.0	3	3
5501	0.05	3	500	iid_base	0.9	0.75	f2	10260	10142	10142	0.9884990253411307	1.0	3	3
5501	0.05	3	500	iid_base	0.9	0.75	f3	63150	63060	63060	0.9985748218527316	1.0	3	3
5501	0.05	3	500	iid_base	0.9	0.5	f1	610	494	494	0.8098360655737705	1.0	3	3
5501	0.05	3	500	iid_base	0.9	0.5	f2	6840	6742	6742	0.985672514619883	1.0	3	3
5501	0.05	3	500	iid_base	0.9	0.5	f3	42100	41988	41988	0.9973396674584323	1.0	3	3
5501	0.05	3	500	iid_base	0.9	0.25	f1	305	213	212	0.6950819672131148	0.9953051643192489	2	3
5501	0.05	3	500	iid_base	0.9	0.25	f2	3420	3312	3312	0.968421052631579	1.0	3	3
5501	0.05	3	500	iid_base	0.9	0.25	f3	21050	20875	20875	0.9916864608076009	1.0	3	3
5501	0.05	3	500	iid_base	0.9	0	f1	0	0	0	NA	NA	0	0
5501	0.05	3	500	iid_base	0.9	0	f2	0	0	0	NA	NA	0	0
5501	0.05	3	500	iid_base	0.9	0	f3	0	0	0	NA	NA	0	0
5502	0.01	1	500	iid_base	0.9	1	f1	1220	1220	1220	1.0	1.0	1	1
5502	0.01	1	500	iid_base	0.9	1	f2	13680	13679	13678	0.9998538011695907	0.9999268952408802	1	1
5502	0.01	1	500	iid_base	0.9	1	f3	84200	84183	84183	0.9997980997624704	1.0	1	1
5502	0.01	1	500	iid_base	0.9	0.75	f1	915	915	915	1.0	1.0	1	1
5502	0.01	1	500	iid_base	0.9	0.75	f2	10260	10261	10260	1.0	0.9999025436117337	1	1
5502	0.01	1	500	iid_base	0.9	0.75	f3	63150	63133	63133	0.9997307996832937	1.0	1	1
5502	0.01	1	500	iid_base	0.9	0.5	f1	610	610	610	1.0	1.0	1	1
5502	0.01	1	500	iid_base	0.9	0.5	f2	6840	6841	6840	1.0	0.9998538225405642	1	1
5502	0.01	1	500	iid_base	0.9	0.5	f3	42100	42083	42083	0.9995961995249406	1.0	1	1
5502	0.01	1	500	iid_base	0.9	0.25	f1	305	305	305	1.0	1.0	1	1
5502	0.01	1	500	iid_base	0.9	0.25	f2	3420	3421	3420	1.0	0.9997076878105817	1	1
5502	0.01	1	500	iid_base	0.9	0.25	f3	21050	21033	21033	0.9991923990498812	1.0	1	1
5502	0.01	1	500	iid_base	0.9	0	f1	0	0	0	NA	NA	0	0
5502	0.01	1	500	iid_base	0.9	0	f2	0	0	0	NA	NA	0	0
5502	0.01	1	500	iid_base	0.9	0	f3	0	0	0	NA	NA	0	0
5502	0.01	3	500	iid_base	0.9	1	f1	1220	1220	1220	1.0	1.0	3	3
5502	0.01	3	500	iid_base	0.9	1	f2	13680	13682	13678	0.9998538011695907	0.9997076450811285	3	3
5502	0.01	3	500	iid_base	0.9	1	f3	84200	84183	84183	0.9997980997624704	1.0	3	3
5502	0.01	3	500	iid_base	0.9	0.75	f1	915	915	915	1.0	1.0	3	3
5502	0.01	3	500	iid_base	0.9	0.75	f2	10260	10243	10240	0.9980506822612085	0.9997071170555502	3	3
5502	0.01	3	500	iid_base	0.9	0.75	f3	63150	63132	63132	0.9997149643705463	1.0	3	3
5502	0.01	3	500	iid_base	0.9	0.5	f1	610	610	610	1.0	1.0	3	3
5502	0.01	3	500	iid_base	0.9	0.5	f2	6840	6824	6820	0.9970760233918129	0.9994138335287222	3	3
5502	0.01	3	500	iid_base	0.9	0.5	f3	42100	42083	42083	0.9995961995249406	1.0	3	3
5502	0.01	3	500	iid_base	0.9	0.25	f1	305	283	283	0.9278688524590164	1.0	3	3
5502	0.01	3	500	iid_base	0.9	0.25	f2	3420	3402	3400	0.9941520467836257	0.9994121105232217	3	3
5502	0.01	3	500	iid_base	0.9	0.25	f3	21050	21021	21021	0.9986223277909738	1.0	3	3
5502	0.01	3	500	iid_base	0.9	0	f1	0	0	0	NA	NA	0	0
5502	0.01	3	500	iid_base	0.9	0	f2	0	0	0	NA	NA	0	0
5502	0.01	3	500	iid_base	0.9	0	f3	0	0	0	NA	NA	0	0
5502	0.03	1	500	iid_base	0.9	1	f1	1220	1201	1201	0.9844262295081967	1.0	1	1
5502	0.03	1	500	iid_base	0.9	1	f2	13680	13681	13680	1.0	0.9999269059279292	1	1
5502	0.03	1	500	iid_base	0.9	1	f3	84200	84183	84183	0.9997980997624704	1.0	1	1
5502	0.03	1	500	iid_base	0.9	0.75	f1	915	876	876	0.9573770491803278	1.0	1	1
5502	0.03	1	500	iid_base	0.9	0.75	f2	10260	10248	10247	0.9987329434697856	0.9999024199843872	1	1
5502	0.03	1	500	iid_base	0.9	0.75	f3	63150	63120	63120	0.9995249406175772	1.0	1	1
5502	0.03	1	500	iid_base	0.9	0.5	f1	610	610	610	1.0	1.0	1	1
5502	0.03	1	500	iid_base	0.9	0.5	f2	6840	6841	6840	1.0	0.9998538225405642	1	1
5502	0.03	1	500	iid_base	0.9	0.5	f3	42100	42083	42083	0.9995961995249406	1.0	1	1
5502	0.03	1	500	iid_base	0.9	0.25	f1	305	302	302	0.9901639344262295	1.0	1	1
5502	0.03	1	500	iid_base	0.9	0.25	f2	3420	3421	3420	1.0	0.9997076878105817	1	1
5502	0.03	1	500	iid_base	0.9	0.25	f3	21050	21015	21015	0.9983372921615202	1.0	1	1
5502	0.03	1	500	iid_base	0.9	0	f1	0	0	0	NA	NA	0	0
5502	0.03	1	500	iid_base	0.9	0	f2	0	0	0	NA	NA	0	0
5502	0.03	1	500	iid_base	0.9	0	f3	0	0	0	NA	NA	0	0
5502	0.03	3	500	iid_base	0.9	1	f1	1220	1194	1194	0.978688524590164	1.0	3	3
5502	0.03	3	500	iid_base	0.9	1	f2	13680	13659	13658	0.998391812865497	0.9999267881982575	3	3
5502	0.03	3	500	iid_base	0.9	1	f3	84200	84152	84152	0.9994299287410926	1.0	3	3
5502	0.03	3	500	iid_base	0.9	0.75	f1	915	873	873	0.9540983606557377	1.0	3	3
5502	0.03	3	500	iid_base	0.9	0.75	f2	10260	10235	10231	0.9971734892787525	0.999609184171959	3	3
5502	0.03	3	500	iid_base	0.9	0.75	f3	63150	63099	63099	0.9991923990498812	1.0	3	3
5502	0.03	3	500	iid_base	0.9	0.5	f1	610	610	610	1.0	1.0	3	3
5502	0.03	3	500	iid_base	0.9	0.5	f2	6840	6830	6826	0.997953216374269	0.9994143484626647	3	3
5502	0.03	3	500	iid_base	0.9	0.5	f3	42100	42066	42066	0.9991923990498812	1.0	3	3
5502	0.03	3	500	iid_base	0.9	0.25	f1	305	266	266	0.8721311475409836	1.0	3	3
