seed	unit_substitution_rate	array_fragments	fragment_gap_bp	locate_identity_model	locate_min_identity	coverage	substitution_rate	read_length	family_id	truth_copies	estimate	signed_relative_error	absolute_relative_error	interval_low	interval_high	interval_contains_truth	interval_relative_width	sampling_oracle_copy_estimate	oracle_relative_error	estimator_minus_sampling_oracle	interval_kind
5501	0.01	1	500	iid_base	0.9	20	0.001	5000	f1	20	14.7074	-0.26463000000000003	0.26463000000000003	12.0561	14.8575	False	0.14006999999999997	17.75399909382981	-0.1123000453085096	-0.1523299546914904	diagnostic_kmer_10_90_spread_not_sampling_CI
5501	0.01	1	500	iid_base	0.9	20	0.001	5000	f2	80	67.4339	-0.15707625000000008	0.15707625000000008	64.1322	72.9366	False	0.11005500000000001	84.38010006171207	0.05475125077140088	-0.21182750077140095	diagnostic_kmer_10_90_spread_not_sampling_CI
5501	0.01	1	500	iid_base	0.9	20	0.001	5000	f3	200	164.6327	-0.1768365	0.1768365	158.1794	171.0859	False	0.06453250000000012	208.68022744363145	0.04340113721815726	-0.22023763721815726	diagnostic_kmer_10_90_spread_not_sampling_CI
5501	0.01	1	500	iid_base	0.9	20	0.01	5000	f1	20	11.8059	-0.40970500000000004	0.40970500000000004	10.1051	12.2061	False	0.10504999999999995	17.75399909382981	-0.1123000453085096	-0.2974049546914904	diagnostic_kmer_10_90_spread_not_sampling_CI
5501	0.01	1	500	iid_base	0.9	20	0.01	5000	f2	80	56.1782	-0.29777250000000005	0.29777250000000005	53.0767	60.0302	False	0.08691874999999998	84.38010006171207	0.05475125077140088	-0.3525237507714009	diagnostic_kmer_10_90_spread_not_sampling_CI
5501	0.01	1	500	iid_base	0.9	20	0.01	5000	f3	200	136.5186	-0.31740700000000005	0.31740700000000005	130.3155	141.271	False	0.05477750000000001	208.68022744363145	0.04340113721815726	-0.3608081372181573	diagnostic_kmer_10_90_spread_not_sampling_CI
5501	0.01	3	500	iid_base	0.9	1	0	5000	f1	20	34.357	0.71785	0.71785	26.273	34.357	False	0.4042	40.42	1.0210000000000001	-0.30315000000000014	diagnostic_kmer_10_90_spread_not_sampling_CI
5501	0.01	3	500	iid_base	0.9	1	0	5000	f2	80	70.735	-0.11581250000000001	0.11581250000000001	65.6825	78.819	False	0.16420624999999997	89.15446491228072	0.11443081140350894	-0.23024331140350895	diagnostic_kmer_10_90_spread_not_sampling_CI
5501	0.01	3	500	iid_base	0.9	1	0	5000	f3	200	127.323	-0.363385	0.363385	119.239	138.4385	False	0.0959975	158.43727909738718	-0.20781360451306413	-0.1555713954869359	diagnostic_kmer_10_90_spread_not_sampling_CI
5501	0.01	3	500	iid_base	0.9	1	0.001	5000	f1	20	33.3465	0.667325	0.667325	24.252	34.357	False	0.50525	40.42	1.0210000000000001	-0.35367500000000013	diagnostic_kmer_10_90_spread_not_sampling_CI
5501	0.01	3	500	iid_base	0.9	1	0.001	5000	f2	80	68.714	-0.141075	0.141075	63.6615	76.798	False	0.16420625000000005	89.15446491228072	0.11443081140350894	-0.255505811403509	diagnostic_kmer_10_90_spread_not_sampling_CI
5501	0.01	3	500	iid_base	0.9	1	0.001	5000	f3	200	124.2915	-0.3785425	0.3785425	117.218	134.3965	False	0.0858925	158.43727909738718	-0.20781360451306413	-0.17072889548693587	diagnostic_kmer_10_90_spread_not_sampling_CI
5501	0.01	3	500	iid_base	0.9	1	0.01	5000	f1	20	27.2835	0.364175	0.364175	21.2205	31.3255	False	0.50525	40.42	1.0210000000000001	-0.6568250000000001	diagnostic_kmer_10_90_spread_not_sampling_CI
5501	0.01	3	500	iid_base	0.9	1	0.01	5000	f2	80	57.5985	-0.28001875	0.28001875	53.5565	65.6825	False	0.15157500000000007	89.15446491228072	0.11443081140350894	-0.39444956140350895	diagnostic_kmer_10_90_spread_not_sampling_CI
