offset_from_native_1based	status	warning	base_union_recall	base_union_precision	base_union_f1	predicted_union_bp	truth_union_bp	duplicated_prediction_bp	duplicate_bp_fraction	unit_count
0	ok	unit_coverage_only_not_array_period_or_recall	0.9927032797310802	0.9993675459135143	0.9960242655168956	2186720	2201400	0	0.0	11257
-1	ok	unit_coverage_only_not_array_period_or_recall	0.9927064595257563	0.9993707470549499	0.9960274559492448	2186720	2201400	0	0.0	11257
