consensus_policy	native_region_count	secondary_missing_regions	excluded_sequence_length_count	in_scope_native_sequences	truth_family_count	recovered_family_count	cyclic_monomer_recall	distinct_consensus_count	homologous_consensus_fraction	unmatched_distinct_consensus_count	warning
primary	49	0	0	49	55	43	0.7818181818181819	49	0.8775510204081632	6	native_sequence_length_scope30_1000;independent_of_period_accuracy;alternative_endpoint_not_selected_ranking
primary_and_secondary	49	0	0	98	55	48	0.8727272727272727	84	0.9166666666666666	7	native_sequence_length_scope30_1000;independent_of_period_accuracy;alternative_endpoint_not_selected_ranking
