family_id	monomer_length	diagnostic_kmer_count	median_kmer_depth	haploid_depth	estimated_copy_number	estimated_bp	depth_mad	copy_number_interval_low	copy_number_interval_high	confidence	warning
f001	61	61	255.0000	20.0008	12.7495	777.7172	4.0000	12.2995	13.0495	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f002	61	61	228.0000	20.0008	11.3995	695.3707	19.0000	8.5496	12.5495	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f003	61	61	310.0000	20.0008	15.4993	945.4602	6.0000	15.1494	16.0993	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f004	61	61	133.0000	20.0008	6.6497	405.6329	8.0000	5.3998	7.0497	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f005	61	61	277.0000	20.0008	13.8494	844.8144	8.0000	13.0994	14.3494	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f006	61	61	166.0000	20.0008	8.2997	506.2787	10.0000	7.1997	9.2496	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f007	61	61	1326.0000	20.0008	66.2972	4044.1296	9.0000	65.2473	67.0972	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f008	61	61	633.0000	20.0008	31.6487	1930.5686	27.0000	28.4988	34.9985	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f009	61	61	1098.0000	20.0008	54.8977	3348.7589	15.0000	53.7477	56.5976	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f010	61	61	477.0000	20.0008	23.8490	1454.7887	26.0000	22.2991	27.1989	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f011	61	61	697.0000	20.0008	34.8485	2125.7604	15.0000	33.3486	36.3485	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f012	61	61	662.0000	20.0008	33.0986	2019.0149	31.0000	30.3987	35.5985	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f013	61	61	2014.0000	20.0008	100.6958	6142.4412	27.0000	97.7459	102.5457	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f014	61	61	1504.0000	20.0008	75.1968	4587.0067	57.0000	71.3470	82.5465	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f015	61	61	2869.0000	20.0008	143.4440	8750.0813	13.0000	142.5440	144.5439	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f016	61	61	1472.0000	20.0008	73.5969	4489.4108	45.0000	69.5971	77.4467	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f017	61	61	2963.0000	20.0008	148.1438	9036.7692	20.0000	146.4938	149.4437	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f018	61	61	1347.0000	20.0008	67.3472	4108.1769	29.0000	65.2972	69.9471	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f019	171	171	255.0000	20.0008	12.7495	2180.1581	10.0000	11.8495	13.4494	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f020	171	171	166.0000	20.0008	8.2997	1419.2402	17.0000	6.2497	9.9496	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f021	171	171	317.0000	20.0008	15.8493	2710.2358	9.0000	15.0994	16.8493	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f022	171	171	193.0000	20.0008	9.6496	1650.0805	16.0000	7.9497	11.4495	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f023	171	171	288.0000	20.0008	14.3994	2462.2962	10.0000	13.3994	15.1494	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f024	171	171	132.0000	20.0008	6.5997	1128.5524	10.0000	5.8498	7.5997	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f025	171	171	1394.0000	20.0008	69.6971	11918.1978	16.0000	68.3471	71.1470	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f026	171	171	766.0000	20.0008	38.2984	6549.0240	32.0000	35.2485	41.2483	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f027	171	171	928.0000	20.0008	46.3980	7934.0657	12.0000	45.3981	47.7980	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f028	171	171	467.0000	20.0008	23.3490	3992.6817	28.0000	20.8491	26.0989	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f029	171	171	1167.0000	20.0008	58.3475	9977.4296	17.0000	56.8976	59.9975	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f030	171	171	733.0000	20.0008	36.6485	6266.8859	51.0000	31.3487	41.1483	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f031	171	171	2737.0000	20.0008	136.8442	23400.3639	14.0000	134.9443	138.1942	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f032	171	171	2289.0000	20.0008	114.4452	19570.1253	111.0000	102.8457	123.1948	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f033	171	171	2722.0000	20.0008	136.0943	23272.1193	22.0000	133.9944	137.9942	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f034	171	171	1696.0000	20.0008	84.7964	14500.1890	42.0000	79.7466	90.2962	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f035	171	171	2711.0000	20.0008	135.5443	23178.0733	30.0000	132.9944	137.9442	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f036	171	171	1830.0000	20.0008	91.4961	15645.8407	63.0000	86.4464	98.6458	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f037	421	421	323.0000	20.0008	16.1493	6798.8635	8.0000	15.1494	16.8993	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
f038	421	421	270.0000	20.0008	13.4994	5683.2605	23.0000	11.5495	15.7493	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;genome_background_uniqueness_not_verified
