query_id	query_length_bp	target_id	target_length_bp	best_orientation	edit_distance	glocal_edit_identity	length_ratio	nearest_integer_multiple	multiple_relative_error	match_state	interpretation_boundary
TXF000367	335	TXF000248	335	forward	0	1.000000	1.000000	1	0.000000	direct_catalogue_recurrence	same-run nested-depth catalogue comparison; not independent replication or proof of novelty
TXF000708	785	TXF000598	785	forward	0	1.000000	1.000000	1	0.000000	direct_catalogue_recurrence	same-run nested-depth catalogue comparison; not independent replication or proof of novelty
