resource_group	stage	exit_code	wall_seconds	user_cpu_seconds	system_cpu_seconds	peak_process_tree_rss_mib	peak_process_count	peak_scratch_bytes	sample_count	stdout_log	stderr_log
assembly_stage_resources	locate_old_CLR_Falcon_purged	0	544.142684	512.783261	26.035467	148.328125	3	7907326	1011	locate_old_CLR_Falcon_purged.stdout.log	locate_old_CLR_Falcon_purged.stderr.log
assembly_stage_resources	locate_new_HiFi_IPA	0	522.725721	503.235528	22.941503	518.562500	3	7880170	971	locate_new_HiFi_IPA.stdout.log	locate_new_HiFi_IPA.stderr.log
read_stage_resources	discover	0	959.242321	1728.241972	277.604547	1447.000000	3	37655032	1776	discover.stdout.log	discover.stderr.log
read_stage_resources	quantify_primary	0	11292.614337	11066.183491	421.639360	222.500000	3	769633	21216	quantify_primary.stdout.log	quantify_primary.stderr.log
read_stage_resources	quantify_reported_28Gb_depth_sensitivity	0	11482.605452	11238.121902	414.783217	187.234375	3	672525	21764	quantify_reported_28Gb_depth_sensitivity.stdout.log	quantify_reported_28Gb_depth_sensitivity.stderr.log
