method	paired_executions	baseline_median_runtime_seconds	replay_median_runtime_seconds	median_runtime_change_percent	median_runtime_speedup	paired_runtime_geometric_mean_ratio	baseline_median_peak_rss_mib	replay_median_peak_rss_mib	median_peak_rss_change_percent	warning
baseline_total_bases	27	1.5891012498177588	1.488111749989912	-6.355133119392398	1.0678641908637114	1.0068185182869285	78.09375	71.375	-8.603441376550624	same_machine_single_replay;descriptive_engineering_resources_not_publication_timing
oracle_error_survival	27	4.658363084075972	1.9444709999952465	-58.258491987407	2.395696867727706	0.4097109298646376	75.5	77.09375	2.1109271523178874	same_machine_single_replay;descriptive_engineering_resources_not_publication_timing
empirical_controls	27	1.7708560000173748	1.751069749938324	-1.117326879139613	1.011299521381	0.9978001646681655	74.546875	76.703125	2.8924753720394047	same_machine_single_replay;descriptive_engineering_resources_not_publication_timing
empirical_controls_plus_oracle_error	27	4.933863749960437	2.17849729093723	-55.84601842815991	2.2648014163184005	0.46565761921653576	77.0625	73.28125	-4.906731549067311	same_machine_single_replay;descriptive_engineering_resources_not_publication_timing
