scenario	dataset_id	tool	seed	split	successful_runs	attempted_runs	deterministic	median_runtime_seconds	median_peak_rss_mib	array_recall	array_precision	array_f1	read_detection_recall	read_detection_precision	negative_read_call_rate	sequence_family_recall	matched_period_mae_bp	matched_boundary_mae_bp	cyclic_monomer_recall	homologous_consensus_fraction	mean_best_cyclic_edit_similarity	base_union_recall	base_union_precision	base_union_f1	duplicate_bp_fraction
clean_421	clean_421_s3103	tidehunter	3103	heldout	3	3	True	0.4655231249053031	74.125	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	6.557142857142857	1.0	1.0	1.0	0.9998939599592807	0.9962261439897223	0.998056682218854	0.0
clean_421	clean_421_s3103	trf	3103	heldout	3	3	True	0.7524099580477923	38.40625	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.37142857142857144	1.0	1.0	1.0	1.0	0.9997794853527386	0.9998897305183514	0.0
clean_60	clean_60_s3101	tandemx	3101	heldout	3	3	True	0.6001702919602394	28.515625	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.25	1.0	1.0	1.0	1.0	0.9986130374479889	0.9993060374739764	0.0
clean_60	clean_60_s3101	tidehunter	3101	heldout	3	3	True	0.19942016690038145	52.84375	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0214285714285714	1.0	1.0	1.0	0.9998730158730159	0.998992950654582	0.9994327895252488	0.0
clean_60	clean_60_s3101	trf	3101	heldout	3	3	True	0.6465633751358837	38.234375	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.42857142857142855	1.0	1.0	1.0	1.0	0.9995240361732508	0.9997619614377529	0.0
clean_60	clean_60_s3102	tandemx	3102	heldout	3	3	True	0.5618052908685058	28.078125	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.9428571428571428	1.0	1.0	1.0	1.0	0.9989534773094852	0.999476464708962	0.0
clean_60	clean_60_s3102	tidehunter	3102	heldout	3	3	True	0.20323020801879466	56.71875	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.8142857142857143	1.0	1.0	1.0	0.9998015873015873	0.9992940093920548	0.9995477339088485	0.0
clean_60	clean_60_s3102	trf	3102	heldout	3	3	True	0.607944583054632	38.234375	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.32142857142857145	1.0	1.0	1.0	1.0	0.9996429846483399	0.9998214604534904	0.0
clean_60	clean_60_s3103	tandemx	3103	heldout	3	3	True	0.5821007078047842	28.875	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.8357142857142857	1.0	1.0	1.0	1.0	0.9990722900164133	0.9995359297469032	0.0
clean_60	clean_60_s3103	tidehunter	3103	heldout	3	3	True	0.2154107498936355	60.421875	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.4714285714285714	1.0	1.0	1.0	0.9997936507936508	0.9996825749519894	0.9997381097875515	0.0
clean_60	clean_60_s3103	trf	3103	heldout	3	3	True	0.6792722919490188	38.296875	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.39285714285714285	1.0	1.0	1.0	1.0	0.9995636825195351	0.9997817936561465	0.0
clean_729	clean_729_s3101	tandemx	3101	heldout	3	3	True	0.6911742091178894	29.625	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.36428571428571427	1.0	1.0	1.0	1.0	0.999833459055419	0.9999167225931604	0.0
clean_729	clean_729_s3101	tidehunter	3101	heldout	3	3	True	0.6812418750487268	108.15625	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	4.128571428571429	1.0	1.0	1.0	0.9999379449996734	0.9981774908711528	0.99905694240496	0.0
clean_729	clean_729_s3101	trf	3101	heldout	3	3	True	0.5190602911170572	38.625	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.3142857142857143	1.0	1.0	1.0	1.0	0.9998563143319923	0.9999281520042325	0.0
clean_729	clean_729_s3102	tandemx	3102	heldout	3	3	True	0.6726187909953296	29.65625	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.36428571428571427	1.0	1.0	1.0	1.0	0.999833459055419	0.9999167225931604	0.0
clean_729	clean_729_s3102	tidehunter	3102	heldout	3	3	True	0.6684190409723669	101.84375	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	3.0285714285714285	1.0	1.0	1.0	0.9999248807890784	0.9986919277918045	0.9993080239841499	0.0
clean_729	clean_729_s3102	trf	3102	heldout	3	3	True	0.49708295799791813	38.609375	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.3357142857142857	1.0	1.0	1.0	1.0	0.999846519085515	0.9999232536532078	0.0
clean_729	clean_729_s3103	tandemx	3103	heldout	3	3	True	0.677072332939133	29.421875	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.37142857142857144	1.0	1.0	1.0	1.0	0.9998301941012043	0.9999150898414793	0.0
clean_729	clean_729_s3103	tidehunter	3103	heldout	3	3	True	0.6775075420737267	120.796875	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	2.4642857142857144	1.0	1.0	1.0	0.999928146841727	0.9989461010633612	0.9994368827132787	0.0
clean_729	clean_729_s3103	trf	3103	heldout	3	3	True	0.48373816697858274	38.609375	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.45714285714285713	1.0	1.0	1.0	1.0	0.999791016313789	0.9998954972372082	0.0
dispersed_control	dispersed_control_s3101	tandemx	3101	heldout	3	3	True	0.8231909999158233	26.703125	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dispersed_control	dispersed_control_s3101	tidehunter	3101	heldout	3	3	True	0.6228041250724345	92.234375	NA	0.0	0.0	NA	0.0	0.79	NA	NA	NA	NA	0.0	NA	NA	0.0	0.0	0.013717277486910994
dispersed_control	dispersed_control_s3101	trf	3101	heldout	3	3	True	0.19742704113014042	39.078125	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
