dimension	bin_start_percent	bin_end_percent	read_count	total_bases	any_mapped_reads	primary_mapped_reads	primary_mapq20_reads	any_alignment_span_bp	primary_span_bp	primary_mapq20_span_bp	organelle_primary_reads
gc	25	30	16	234655	16	16	16	234636	234636	234636	8
gc	30	35	236	3681606	235	235	235	3666177	3666177	3624136	70
gc	35	40	411	6462288	411	411	404	6461741	6461704	6253894	75
gc	40	45	59	915184	59	59	47	914969	914969	725123	22
gc	45	50	9	134324	9	9	2	134316	134316	29499	7
gc	50	55	21	337811	21	21	13	337804	337788	208197	0
max_purine_pyrimidine	50	55	718	11235378	717	717	685	11219168	11219152	10576614	181
max_purine_pyrimidine	55	60	34	530490	34	34	32	530475	530438	498871	1
