family_id	monomer_length	diagnostic_kmer_count	median_kmer_depth	haploid_depth	estimated_copy_number	estimated_bp	depth_mad	copy_number_interval_low	copy_number_interval_high	normalization_method	raw_median_kmer_depth	kmer_survival_probability	single_copy_control_kmer_count	single_copy_control_mean_depth	single_copy_control_median_depth	single_copy_control_depth_mad	single_copy_control_zero_fraction	quality_window_count	confidence	warning
TXF000022	113	10	0.0000	107.0000	0.0000	0.0000	0.0000	0.0000	19.7359	explicit_haploid_depth	0.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000023	534	0	0.0000	107.0000	0.0000	0.0000	0.0000	0.0000	0.0000	explicit_haploid_depth	0.0000	0.95129835	0	NA	NA	NA	NA	18620038709	low	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;no_diagnostic_kmers
TXF000024	93	21	4626.3089	107.0000	43.2365	4020.9975	3010.6223	0.0000	74.6054	explicit_haploid_depth	4401.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000025	890	23	37629.6250	107.0000	351.6787	312994.0770	962.8946	100.2133	4184.0957	explicit_haploid_depth	35797.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000026	113	13	42.0478	107.0000	0.3930	44.4056	39.9454	0.0196	328.7922	explicit_haploid_depth	40.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000027	61	20	0.0000	107.0000	0.0000	0.0000	0.0000	0.0000	0.0481	explicit_haploid_depth	0.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000028	114	12	0.0000	107.0000	0.0000	0.0000	0.0000	0.0000	0.1778	explicit_haploid_depth	0.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000029	32	25	12629.0559	107.0000	118.0286	3776.9139	640.1777	96.3622	128.8745	explicit_haploid_depth	12014.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000030	178	0	0.0000	107.0000	0.0000	0.0000	0.0000	0.0000	0.0000	explicit_haploid_depth	0.0000	0.95129835	0	NA	NA	NA	NA	18620038709	low	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;no_diagnostic_kmers
TXF000031	61	61	16295.6238	107.0000	152.2955	9290.0285	994.4304	0.0000	161.7760	explicit_haploid_depth	15502.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000032	96	29	593.9251	107.0000	5.5507	532.8674	181.8567	3.8197	13.4081	explicit_haploid_depth	565.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000033	169	88	2245.8780	107.0000	20.9895	3547.2278	362.1367	16.1255	28.4432	explicit_haploid_depth	2136.5000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000034	34	34	3759.5987	107.0000	35.1364	1194.6388	1111.6386	17.8045	45.5158	explicit_haploid_depth	3576.5000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000035	155	30	10116.7000	107.0000	94.5486	14655.0328	227.0581	0.2751	96.9329	explicit_haploid_depth	9624.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000036	227	0	0.0000	107.0000	0.0000	0.0000	0.0000	0.0000	0.0000	explicit_haploid_depth	0.0000	0.95129835	0	NA	NA	NA	NA	18620038709	low	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;no_diagnostic_kmers
TXF000037	84	69	3892.5748	107.0000	36.3792	3055.8531	383.6862	21.8884	39.7627	explicit_haploid_depth	3703.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000038	178	21	12844.5509	107.0000	120.0425	21367.5706	5512.4662	68.5242	221.7235	explicit_haploid_depth	12219.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000039	890	0	0.0000	107.0000	0.0000	0.0000	0.0000	0.0000	0.0000	explicit_haploid_depth	0.0000	0.95129835	0	NA	NA	NA	NA	18620038709	low	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;no_diagnostic_kmers
TXF000040	156	42	1377.0654	107.0000	12.8698	2007.6841	703.7750	4.9858	32.1027	explicit_haploid_depth	1310.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000041	110	19	0.0000	107.0000	0.0000	0.0000	0.0000	0.0000	0.0000	explicit_haploid_depth	0.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000042	497	51	10.5119	107.0000	0.0982	48.8265	9.4608	0.0098	2.1122	explicit_haploid_depth	10.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000043	30	30	1962.0553	107.0000	18.3370	550.1090	983.9185	9.0344	46.7968	explicit_haploid_depth	1866.5000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000044	31	23	778.9354	107.0000	7.2798	225.6729	365.8158	3.3108	23.7079	explicit_haploid_depth	741.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000045	63	40	1243.0380	107.0000	11.6172	731.8822	350.5735	7.9596	21.2322	explicit_haploid_depth	1182.5000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000046	131	61	3199.8374	107.0000	29.9050	3917.5579	163.9864	10.9246	35.1119	explicit_haploid_depth	3044.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000047	732	19	1858.5126	107.0000	17.3693	12714.3108	1080.6284	0.0963	20.3912	explicit_haploid_depth	1768.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000048	502	97	13133.6295	107.0000	122.7442	61617.5888	2345.2159	89.9371	709.6666	explicit_haploid_depth	12494.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000049	711	4	16862.2179	107.0000	157.5908	112047.0741	5552.4116	102.4453	249.3218	explicit_haploid_depth	16041.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000050	59	14	2090.3011	107.0000	19.5355	1152.5959	161.3584	16.9802	20.4541	explicit_haploid_depth	1988.5000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000051	66	66	1162.0960	107.0000	10.8607	716.8069	31.5358	0.0000	11.8186	explicit_haploid_depth	1105.5000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000052	53	44	1861.1406	107.0000	17.3938	921.8734	591.2971	11.2321	28.6200	explicit_haploid_depth	1770.5000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000053	63	63	872.4918	107.0000	8.1541	513.7101	308.0001	1.8470	11.3097	explicit_haploid_depth	830.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000054	30	22	38339.1816	107.0000	358.3101	10749.3032	386.8397	354.7203	366.7825	explicit_haploid_depth	36472.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000055	30	30	2425.1067	107.0000	22.6645	679.9365	32.0614	11.5386	23.0222	explicit_haploid_depth	2307.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000056	45	38	3503.6327	107.0000	32.7442	1473.4904	890.8877	20.2586	85.3747	explicit_haploid_depth	3333.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000057	328	201	776.8331	107.0000	7.2601	2381.3200	569.7477	2.7704	18.1650	explicit_haploid_depth	739.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000058	112	20	0.0000	107.0000	0.0000	0.0000	0.0000	0.0000	0.0157	explicit_haploid_depth	0.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000059	35	35	2.1024	107.0000	0.0196	0.6877	2.1024	0.0000	17.7249	explicit_haploid_depth	2.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000060	66	34	889.8365	107.0000	8.3162	548.8711	9.4608	8.2258	21.2273	explicit_haploid_depth	846.5000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000061	356	30	18240.8601	107.0000	170.4753	60689.2167	1672.4511	144.8193	670.4217	explicit_haploid_depth	17352.5000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000062	82	23	67967.1107	107.0000	635.2066	52086.9447	771.5771	316.4195	651.0276	explicit_haploid_depth	64657.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000063	42	42	1376.5398	107.0000	12.8649	540.3240	501.9456	7.3318	20.4728	explicit_haploid_depth	1309.5000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000064	227	182	1095.3451	107.0000	10.2369	2323.7696	166.0888	0.7270	13.0368	explicit_haploid_depth	1042.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000065	117	51	162.9352	107.0000	1.5228	178.1628	162.9352	0.0000	11.5730	explicit_haploid_depth	155.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000066	105	88	1222.0141	107.0000	11.4207	1199.1727	583.9388	0.0953	25.8142	explicit_haploid_depth	1162.5000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000067	177	32	0.0000	107.0000	0.0000	0.0000	0.0000	0.0000	0.0481	explicit_haploid_depth	0.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000068	53	11	1929.9939	107.0000	18.0373	955.9783	215.4950	11.3372	19.6190	explicit_haploid_depth	1836.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
