panel,source_file,selection,metric,evidence_boundary
A,paper/evidence/cascade_native_screen_heldout_v1/run/summary.tsv,"13 positive scenarios; TandemX, TideHunter and TRF; heldout seeds",array_f1,mean across three held-out simulation seeds
B,paper/evidence/cascade_native_screen_heldout_v1/run/summary.tsv,"three negative controls; TandemX, TideHunter and TRF; heldout seeds",negative_read_call_rate,mean across three held-out simulation seeds
