material	tool	prediction_unit	source_rows	nonempty_consensus_rows	distinct_canonical_consensus_count	length_compatible_consensus_count	selected_query_count	recovered_query_count	selected_query_recall	homologous_consensus_fraction	threshold	warning
Mo17	tandemx	family_catalog	4219	4219	4219	153	1	1	1.0	0.006535947712418301	0.9	posthoc_source_query_recovery_not_donor_presence_or_complete_family_recall;homologous_consensus_fraction_not_precision;prediction_units_differ
Mo17	tandemx_candidates	family_catalog	8401	8401	6302	167	1	1	1.0	0.03592814371257485	0.9	posthoc_source_query_recovery_not_donor_presence_or_complete_family_recall;homologous_consensus_fraction_not_precision;prediction_units_differ
Mo17	tidehunter	array_consensus	11571	11571	9302	239	1	1	1.0	0.02092050209205021	0.9	posthoc_source_query_recovery_not_donor_presence_or_complete_family_recall;homologous_consensus_fraction_not_precision;prediction_units_differ
Mo17	trf	array_consensus	10938	10938	8572	502	1	1	1.0	0.01195219123505976	0.9	posthoc_source_query_recovery_not_donor_presence_or_complete_family_recall;homologous_consensus_fraction_not_precision;prediction_units_differ
