panel,source_file,selection,metric,evidence_boundary
A,paper/evidence/tidecluster_factorial_validation_v3/results/summary.tsv,status=ok TideCluster cells,array_recall;array_precision,technical seeds on planted factorial assembly
B,paper/evidence/tidecluster_factorial_validation_v3/results/cell_fates.tsv,all seed-by-setting cells,status,completion status only; unavailable accuracy is not zero
