method	coverage	error_model	independent_genomes	family_conditions	mean_signed_relative_error	mean_absolute_relative_error	mean_estimator_minus_sampling_oracle	diagnostic_spread_truth_coverage	mean_diagnostic_spread_relative_width	median_runtime_seconds	median_peak_rss_mib	warning
baseline_total_bases	1	error_free	3	165	-0.13781742363636362	0.5487659872727273	-0.20083455351909058	0.07272727272727272	0.10635590303030304	0.49138200003653765	53.171875	dependent_families_within_three_genomes;diagnostic_spread_not_sampling_CI;single_resource_execution_per_condition
baseline_total_bases	1	iid_high_indel	3	165	-0.4293978287878788	0.5468539106060606	-0.49241495867060575	0.07878787878787878	0.1521403117171717	0.44094420899637043	50.375	dependent_families_within_three_genomes;diagnostic_spread_not_sampling_CI;single_resource_execution_per_condition
baseline_total_bases	1	iid_low_indel	3	165	-0.19061387171717173	0.5395361868686869	-0.25363100159989865	0.07272727272727272	0.12497379777777778	0.44473312492482364	52.40625	dependent_families_within_three_genomes;diagnostic_spread_not_sampling_CI;single_resource_execution_per_condition
baseline_total_bases	5	error_free	3	165	-0.14399529636363637	0.28849533575757574	-0.18946133766465179	0.07878787878787878	0.08744993858585857	1.5833179999608546	77.6875	dependent_families_within_three_genomes;diagnostic_spread_not_sampling_CI;single_resource_execution_per_condition
baseline_total_bases	5	iid_high_indel	3	165	-0.43078913282828285	0.439602647979798	-0.47625517412929824	0.03636363636363636	0.09262219393939394	1.4952845829539	80.59375	dependent_families_within_three_genomes;diagnostic_spread_not_sampling_CI;single_resource_execution_per_condition
baseline_total_bases	5	iid_low_indel	3	165	-0.19588988282828285	0.30235723434343437	-0.24135592412929827	0.06060606060606061	0.09235456616161615	1.6445885840803385	75.59375	dependent_families_within_three_genomes;diagnostic_spread_not_sampling_CI;single_resource_execution_per_condition
baseline_total_bases	20	error_free	3	165	-0.16850220232323232	0.24411134474747476	-0.17538954585142225	0.030303030303030304	0.07936431101010101	5.147592958062887	97.515625	dependent_families_within_three_genomes;diagnostic_spread_not_sampling_CI;single_resource_execution_per_condition
baseline_total_bases	20	iid_high_indel	3	165	-0.4473894521212121	0.4473894521212121	-0.45427679564940204	0	0.06908185222222223	5.288858042098582	96.4375	dependent_families_within_three_genomes;diagnostic_spread_not_sampling_CI;single_resource_execution_per_condition
baseline_total_bases	20	iid_low_indel	3	165	-0.2183984723232323	0.2599665814141414	-0.22528581585142224	0.03636363636363636	0.07955990474747475	5.219914915971458	100.5	dependent_families_within_three_genomes;diagnostic_spread_not_sampling_CI;single_resource_execution_per_condition
empirical_controls	1	error_free	3	165	-0.07252051343434344	0.5773143295959596	-0.13553764331707038	0.06666666666666667	0.11502131212121211	0.5040009999647737	54.734375	dependent_families_within_three_genomes;diagnostic_spread_not_sampling_CI;single_resource_execution_per_condition
empirical_controls	1	iid_high_indel	3	165	-0.08696706434343436	0.5700689758585858	-0.1499841942261613	0.13333333333333333	0.24481801585858584	0.5354790838900954	53.515625	dependent_families_within_three_genomes;diagnostic_spread_not_sampling_CI;single_resource_execution_per_condition
empirical_controls	1	iid_low_indel	3	165	-0.07714116404040404	0.5742748125252526	-0.140158293923131	0.09696969696969697	0.14297654383838385	0.5267290000338107	51.203125	dependent_families_within_three_genomes;diagnostic_spread_not_sampling_CI;single_resource_execution_per_condition
empirical_controls	5	error_free	3	165	-0.10919565535353536	0.2843853583838384	-0.1546616966545508	0.09696969696969697	0.09109204747474747	1.6716902090702206	76.578125	dependent_families_within_three_genomes;diagnostic_spread_not_sampling_CI;single_resource_execution_per_condition
empirical_controls	5	iid_high_indel	3	165	-0.10655265818181818	0.28370426424242423	-0.1520186994828336	0.17575757575757575	0.14543586373737374	1.859554334077984	75.3125	dependent_families_within_three_genomes;diagnostic_spread_not_sampling_CI;single_resource_execution_per_condition
empirical_controls	5	iid_low_indel	3	165	-0.11039993555555555	0.28497669616161614	-0.15586597685657097	0.12727272727272726	0.10228364444444445	1.7708560000173748	72.4375	dependent_families_within_three_genomes;diagnostic_spread_not_sampling_CI;single_resource_execution_per_condition
empirical_controls	20	error_free	3	165	-0.15026367424242426	0.23902947424242424	-0.15715101777061416	0.024242424242424242	0.08118391090909091	6.451134457951412	97.703125	dependent_families_within_three_genomes;diagnostic_spread_not_sampling_CI;single_resource_execution_per_condition
empirical_controls	20	iid_high_indel	3	165	-0.15316033474747476	0.23867463474747475	-0.16004767827566466	0.09090909090909091	0.10593692282828283	7.236995375016704	89.65625	dependent_families_within_three_genomes;diagnostic_spread_not_sampling_CI;single_resource_execution_per_condition
empirical_controls	20	iid_low_indel	3	165	-0.15180449292929293	0.23912362626262626	-0.15869183645748286	0.03636363636363636	0.08643360202020202	6.030817957827821	98.015625	dependent_families_within_three_genomes;diagnostic_spread_not_sampling_CI;single_resource_execution_per_condition
empirical_controls_plus_oracle_error	1	error_free	3	165	-0.07252051343434344	0.5773143295959596	-0.13553764331707038	0.06666666666666667	0.11502131212121211	1.1313958750106394	51.578125	dependent_families_within_three_genomes;diagnostic_spread_not_sampling_CI;single_resource_execution_per_condition
empirical_controls_plus_oracle_error	1	iid_high_indel	3	165	-0.08696706434343436	0.5700689758585858	-0.1499841942261613	0.13333333333333333	0.24481801585858584	1.167514625005424	50.921875	dependent_families_within_three_genomes;diagnostic_spread_not_sampling_CI;single_resource_execution_per_condition
empirical_controls_plus_oracle_error	1	iid_low_indel	3	165	-0.07714116404040404	0.5742748125252526	-0.140158293923131	0.09696969696969697	0.14297654383838385	1.1534273750148714	51.421875	dependent_families_within_three_genomes;diagnostic_spread_not_sampling_CI;single_resource_execution_per_condition
empirical_controls_plus_oracle_error	5	error_free	3	165	-0.10919565535353536	0.2843853583838384	-0.1546616966545508	0.09696969696969697	0.09109204747474747	4.760073374956846	77.0625	dependent_families_within_three_genomes;diagnostic_spread_not_sampling_CI;single_resource_execution_per_condition
