seed	condition_id	coverage	error_model	method	family_id	period	unit_substitution_rate	truth_copies	estimated_copy_number	signed_relative_error	absolute_relative_error	sampling_oracle_copy_estimate	estimator_minus_sampling_oracle	interval_low	interval_high	interval_contains_truth	interval_relative_width	normalization_method	kmer_survival_probability	control_mean_depth	control_zero_fraction
6301	condition_001	1	error_free	baseline_total_bases	f023	171	0	20.0	39.9714	0.9985700000000002	0.9985700000000002	39.97142842296327	-1.4211481634163192e-06	37.9729	39.9714	False	0.099925	total_read_bases_divided_by_genome_size	1.00000000	NA	NA
6301	condition_001	1	error_free	baseline_total_bases	f024	171	0.02	20.0	12.9907	-0.35046499999999997	0.35046499999999997	19.985714211481636	-0.34975071057408175	10.9921	15.9886	False	0.24982499999999996	total_read_bases_divided_by_genome_size	1.00000000	NA	NA
6301	condition_001	1	error_free	baseline_total_bases	f025	171	0	80.0	92.9336	0.16166999999999998	0.16166999999999998	93.24913499199194	-0.003944187399899235	91.9343	92.9336	False	0.012491250000000065	total_read_bases_divided_by_genome_size	1.00000000	NA	NA
6301	condition_001	1	error_free	baseline_total_bases	f026	171	0.02	80.0	33.9757	-0.57530375	0.57530375	50.67138243501674	-0.20869603043770918	31.9771	36.9736	False	0.06245624999999997	total_read_bases_divided_by_genome_size	1.00000000	NA	NA
6301	condition_001	1	error_free	baseline_total_bases	f027	171	0	80.0	0.0	-1.0	1.0	0.0	0.0	0.0	0.0	False	0.0	total_read_bases_divided_by_genome_size	1.00000000	NA	NA
6301	condition_001	1	error_free	baseline_total_bases	f028	171	0.02	80.0	22.9836	-0.712705	0.712705	34.15102744207563	-0.13959284302594538	19.9857	27.98	False	0.09992874999999998	total_read_bases_divided_by_genome_size	1.00000000	NA	NA
6301	condition_001	1	error_free	baseline_total_bases	f029	171	0	80.0	67.9514	-0.15060749999999992	0.15060749999999992	68.23192957112852	-0.0035066196391063897	67.9514	68.9507	False	0.012491249999999888	total_read_bases_divided_by_genome_size	1.00000000	NA	NA
6301	condition_001	1	error_free	baseline_total_bases	f030	171	0.02	80.0	113.9186	0.4239825	0.4239825	167.8741556003605	-0.6744444450045062	96.9307	124.9107	False	0.34975000000000006	total_read_bases_divided_by_genome_size	1.00000000	NA	NA
6301	condition_001	1	error_free	baseline_total_bases	f031	171	0	200.0	88.9364	-0.555318	0.555318	89.11174152365014	-0.0008767076182506628	88.9364	88.9364	False	0.0	total_read_bases_divided_by_genome_size	1.00000000	NA	NA
6301	condition_001	1	error_free	baseline_total_bases	f032	171	0.02	200.0	0.0	-1.0	1.0	0.0	0.0	0.0	0.0	False	0.0	total_read_bases_divided_by_genome_size	1.00000000	NA	NA
6301	condition_001	1	error_free	baseline_total_bases	f033	171	0	200.0	129.9071	-0.35046449999999996	0.35046449999999996	130.36880068536368	-0.0023085034268183337	129.9071	130.9064	False	0.004996499999999884	total_read_bases_divided_by_genome_size	1.00000000	NA	NA
6301	condition_001	1	error_free	baseline_total_bases	f034	171	0.02	200.0	120.9136	-0.395432	0.395432	182.25568854610796	-0.3067104427305398	111.92	129.9071	False	0.08993550000000006	total_read_bases_divided_by_genome_size	1.00000000	NA	NA
